phase,policy_role,terrain,episode,episode_in_terrain,steps,episode_return,ended,terminated_by_target,truncated_by_episode_length,success,remaining_distance_cm,forward_progress_cm,final_z_cm,target_z_cm,individual_alpha,population_alpha,individual_replay_size,population_replay_size,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg
train,individual,carpet,1,1,175,21.159860974925344,True,False,True,False,60.594791412353516,14.648069381713867,-24.405208587646484,-85.0,0.009999999776482582,0.009999999776482582,175,175,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,2,2,175,-66.57696574322274,True,False,True,False,72.54396057128906,8.079266548156738,-12.456036567687988,-85.0,0.009738849475979805,0.00968586839735508,350,350,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,3,3,175,86.98301044013681,True,False,True,False,82.72833251953125,-5.22488808631897,-2.2716705799102783,-85.0,0.009292662143707275,0.009155483916401863,525,525,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,4,4,175,13.261732443263718,True,False,True,False,78.16473388671875,-2.850475788116455,-6.835268497467041,-85.0,0.008912388235330582,0.008726048283278942,700,700,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,5,5,175,99.4829123722375,True,False,True,False,71.68632507324219,4.570619583129883,-13.313672065734863,-85.0,0.008341272361576557,0.0083534000441432,875,875,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,6,6,175,92.60192363345816,True,False,True,False,80.4328842163086,-2.093808174133301,-4.567116737365723,-85.0,0.00826986599713564,0.009509352967143059,1050,1050,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,7,7,175,94.68637707371055,True,False,True,False,76.91383361816406,0.6955962181091309,-8.08616828918457,-85.0,0.009261872619390488,0.00995202548801899,1225,1225,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,8,8,175,101.44950936308076,True,False,True,False,78.55986022949219,-0.03912353515625,-6.440138816833496,-85.0,0.007862135767936707,0.011303933337330818,1400,1400,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,9,9,175,109.26141618878931,True,False,True,False,79.08662414550781,-0.10046768188476562,-5.913372993469238,-85.0,0.007880858145654202,0.01290289405733347,1575,1575,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,10,10,175,114.02557962090937,True,False,True,False,78.18326568603516,-0.17797422409057617,-6.816732883453369,-85.0,0.009325403720140457,0.013160021975636482,1750,1750,homogeneous,0.63,0.0,0.63,0.0
