phase,policy_role,terrain,episode,episode_in_terrain,steps,episode_return,ended,terminated_by_target,truncated_by_episode_length,success,remaining_distance_cm,forward_progress_cm,final_z_cm,target_z_cm,individual_alpha,population_alpha,individual_replay_size,population_replay_size,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg
train,individual,carpet,1,1,175,112.50927955098216,True,False,True,False,53.494117736816406,23.90766668319702,-31.50588035583496,-85.0,0.0099999997764825,0.0099999997764825,175,175,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,2,2,175,119.60033036934716,True,False,True,False,59.08012390136719,17.452176094055176,-25.91987609863281,-85.0,0.0099999997764825,0.0099999997764825,350,350,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,3,3,175,96.38554213256144,True,False,True,False,60.12116241455078,17.61475944519043,-24.87883949279785,-85.0,0.0099999997764825,0.0099999997764825,525,525,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,4,4,175,117.45511836455894,True,False,True,False,52.284156799316406,24.010382652282715,-32.715843200683594,-85.0,0.0099999997764825,0.0099999997764825,700,700,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,5,5,175,25.37535932207216,True,False,True,False,102.9869384765625,-26.734952926635746,17.986942291259766,-85.0,0.0096561471000313,0.0096560781821608,875,875,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,6,6,175,98.84541416356124,True,False,True,False,75.9543685913086,1.9663848876953125,-9.045631408691406,-85.0,0.0092498771846294,0.0092532997950911,1050,1050,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,7,7,175,116.4691986731906,True,False,True,False,52.69939804077149,24.22435474395752,-32.30060195922852,-85.0,0.0087983673438429,0.0088006369769573,1225,1225,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,8,8,175,61.93703006425856,True,False,True,False,82.92106628417969,-5.068132400512695,-2.078937530517578,-85.0,0.0083690527826547,0.0083703063428401,1400,1400,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,9,9,175,120.1950038628797,True,False,True,False,53.86043167114258,21.94388771057129,-31.139568328857425,-85.0,0.0079607283696532,0.0079612974077463,1575,1575,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,10,10,175,111.52168148168867,True,False,True,False,71.39031219482422,6.239759922027588,-13.609684944152832,-85.0,0.0075723258778452,0.0075789438560605,1750,1750,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,11,11,175,137.8577066036502,True,False,True,False,53.420501708984375,23.575318336486816,-31.579498291015625,-85.0,0.0072028734721243,0.0072299167513847,1925,1925,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,12,12,175,89.20126315880316,True,False,True,False,79.96690368652344,-4.8500075340271,-5.0330986976623535,-85.0,0.0068816482089459,0.0068817269057035,2100,2100,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,13,13,175,108.54849457382554,True,False,True,False,65.9081802368164,11.774471282958984,-19.09181785583496,-85.0,0.0066102072596549,0.0065432130359113,2275,2275,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,14,14,175,52.41007901631544,True,False,True,False,118.98341369628906,-41.98109722137451,33.98341369628906,-85.0,0.0062852324917912,0.0062216804362833,2450,2450,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,15,15,175,139.3410153551911,True,False,True,False,43.069480895996094,33.35343647003174,-41.93051910400391,-85.0,0.0059902914799749,0.0059162299148738,2625,2625,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,16,16,175,135.10642358821613,True,False,True,False,51.79965972900391,24.26158142089844,-33.200340270996094,-85.0,0.0056964750401675,0.0056260083802044,2800,2800,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,17,17,175,126.58377510720058,True,False,True,False,62.22362518310547,14.302193641662598,-22.776376724243164,-85.0,0.0054523083381354,0.0053703589364886,2975,2975,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,18,18,175,125.70014655078111,True,False,True,False,59.413604736328125,16.702455520629883,-25.586397171020508,-85.0,0.0051866597495973,0.00516450824216,3150,3150,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,19,19,175,124.77220547777192,True,False,True,False,62.772422790527344,13.04893398284912,-22.227577209472656,-85.0,0.0049332156777381,0.0049390858039259,3325,3325,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,20,20,175,145.09295296724335,True,False,True,False,51.23782730102539,24.753093719482425,-33.76217269897461,-85.0,0.0047358889132738,0.0049055288545787,3500,3500,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,21,21,175,152.1659024030791,True,False,True,False,41.47077560424805,34.937737464904785,-43.52922439575195,-85.0,0.0046074124984443,0.0050220708362758,3675,3675,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,22,22,175,237.37738837607387,True,False,True,False,6.01507568359375,70.74968910217285,-78.98492431640625,-85.0,0.0045373332686722,0.0051836189813911,3850,3850,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,23,23,175,78.46894777610171,True,False,True,False,84.99853515625,-8.309195578098297,-0.0014647841453552,-85.0,0.0046410169452428,0.0054121748544275,4025,4025,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,24,24,164,279.74529510158555,True,True,False,True,-0.2686080932617187,77.05278778076172,-85.26860809326172,-85.0,0.0046686395071446,0.005640142597258,4189,4189,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,25,25,175,188.12999271662565,True,False,True,False,21.04821014404297,55.49049472808838,-63.95178985595703,-85.0,0.004888592287898,0.0059328493662178,4364,4364,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,26,26,175,201.2488634922425,True,False,True,False,32.91865539550781,43.31562042236328,-52.08134460449219,-85.0,0.0051408936269581,0.0062457486055791,4539,4539,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,27,27,145,273.5779260014706,True,True,False,True,-0.495330810546875,77.5666880607605,-85.49533081054688,-85.0,0.0054129851050674,0.0065473546274006,4684,4684,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,28,28,175,157.09331477967913,True,False,True,False,27.956859588623047,48.662160873413086,-57.04314041137695,-85.0,0.0056683658622205,0.0065689762122929,4859,4859,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,29,29,175,100.03922897813034,True,False,True,False,84.2538070678711,-6.214392304420471,-0.7461942434310913,-85.0,0.0058725411072373,0.0068842181935906,5034,5034,homogeneous,0.63,0.0,0.63,0.0
train,individual,carpet,30,30,175,146.7166797539227,True,False,True,False,48.27983856201172,28.023881912231445,-36.72016143798828,-85.0,0.0060261632315814,0.0071393782272934,5209,5209,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,31,1,175,97.49472769517772,True,False,True,False,67.1512680053711,12.799112319946287,-17.848730087280273,-85.0,0.007460699416697,0.007460699416697,175,5384,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,32,2,175,101.7178471689352,True,False,True,False,67.54215240478516,13.684483289718628,-17.457849502563477,-85.0,0.007460699416697,0.007460699416697,350,5559,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,33,3,175,107.61599672531054,True,False,True,False,69.0537109375,11.986327409744264,-15.946287155151367,-85.0,0.007460699416697,0.007460699416697,525,5734,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,34,4,175,112.9537090126983,True,False,True,False,55.37106704711914,26.80514883995056,-29.62893295288086,-85.0,0.007460699416697,0.007460699416697,700,5909,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,35,5,175,125.11247936685292,True,False,True,False,54.50368881225586,26.694475173950195,-30.49631118774414,-85.0,0.007676261011511,0.0077980370260775,875,6084,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,36,6,175,87.69071737214003,True,False,True,False,91.89161682128906,-9.329288721084597,6.89161491394043,-85.0,0.0080308550968766,0.0081195356324315,1050,6259,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,37,7,175,96.36307947134648,True,False,True,False,82.77347564697266,-1.0102474689483645,-2.226527690887451,-85.0,0.0084551367908716,0.0084338961169123,1225,6434,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,38,8,175,96.8637441882318,True,False,True,False,78.52235412597656,4.294041395187378,-6.477649688720703,-85.0,0.0088971108198165,0.00880375970155,1400,6609,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,39,9,175,112.0662785753558,True,False,True,False,61.91593551635742,19.00075674057007,-23.084064483642575,-85.0,0.0093364063650369,0.0090905921533703,1575,6784,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,40,10,175,84.14068701637366,True,False,True,False,84.26338958740234,-4.731214225292206,-0.7366073727607727,-85.0,0.0097205368801951,0.0091599989682435,1750,6959,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,41,11,175,100.99287396348603,True,False,True,False,79.0859146118164,2.5954744815826416,-5.914084434509277,-85.0,0.0099208923056721,0.0092682261019945,1925,7134,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,42,12,175,86.01657914028816,True,False,True,False,85.5500717163086,-3.904348492622376,0.5500704050064087,-85.0,0.0100658852607011,0.0093436567112803,2100,7309,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,43,13,175,77.3310646454635,True,False,True,False,96.1916732788086,-15.7782883644104,11.191676139831545,-85.0,0.0101405726745724,0.0093313548713922,2275,7484,homogeneous,0.63,0.0,0.63,0.0
train,individual,cardboard,44,14,175,103.04862028728192,True,False,True,False,60.99293518066406,18.231685161590576,-24.007062911987305,-85.0,0.0102763129398226,0.0091454656794667,2450,7659,homogeneous,0.63,0.0,0.63,0.0
