phase,policy_role,terrain,episode,episode_in_terrain,steps,episode_return,ended,terminated_by_target,truncated_by_episode_length,success,remaining_distance_cm,forward_progress_cm,final_z_cm,target_z_cm,individual_alpha,population_alpha,individual_replay_size,population_replay_size,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg
train,individual,carpet,1,1,175,121.04737769666902,True,False,True,False,46.06670379638672,32.81998348236084,-38.93329620361328,-85.0,0.009999999776482582,0.009999999776482582,175,175,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,2,2,175,114.87272489673211,True,False,True,False,56.729095458984375,21.79308843612671,-28.270906448364258,-85.0,0.009999999776482582,0.009999999776482582,350,350,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,3,3,175,116.7767216842256,True,False,True,False,47.78207778930664,33.1227707862854,-37.21792221069336,-85.0,0.009999999776482582,0.009999999776482582,525,525,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,4,4,175,127.56725827156019,True,False,True,False,42.8380126953125,38.298396825790405,-42.1619873046875,-85.0,0.009999999776482582,0.009999999776482582,700,700,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,5,5,175,14.075740823279627,True,False,True,False,89.57621765136719,-11.328231811523438,4.5762200355529785,-85.0,0.009656078182160854,0.009656078182160854,875,875,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,6,6,175,81.75155695898633,True,False,True,False,83.1719741821289,-4.118869423866272,-1.8280271291732788,-85.0,0.00924969557672739,0.00924969557672739,1050,1050,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,7,7,175,110.7941610971809,True,False,True,False,54.82017517089844,26.12135934829712,-30.179824829101562,-85.0,0.008798615075647831,0.008798615075647831,1225,1225,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,8,8,175,119.24961182666584,True,False,True,False,60.196678161621094,20.544926643371582,-24.803321838378906,-85.0,0.008369531482458115,0.008369531482458115,1400,1400,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,9,9,175,123.962704619115,True,False,True,False,50.89786911010742,31.098814249038696,-34.10213088989258,-85.0,0.007961373776197433,0.007963184267282486,1575,1575,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,10,10,175,115.86498257217528,True,False,True,False,64.8272476196289,15.284337997436523,-20.172752380371094,-85.0,0.007573120296001434,0.007574525196105242,1750,1750,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,11,11,175,129.63020992211906,True,False,True,False,57.47816848754883,23.74185347557068,-27.521831512451172,-85.0,0.007203801069408655,0.007204793859273195,1925,1925,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,12,12,175,118.18282445239396,True,False,True,False,54.53713607788086,26.644400358200073,-30.46286392211914,-85.0,0.0068524922244250774,0.006853123195469379,2100,2100,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,13,13,175,112.80945188307702,True,False,True,False,60.58362579345703,23.02684736251831,-24.416372299194336,-85.0,0.006518315989524126,0.0065243919380009174,2275,2275,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,14,14,175,115.88976172025195,True,False,True,False,62.48927307128906,19.53686261177063,-22.510725021362305,-85.0,0.006200436502695084,0.006256541702896357,2450,2450,homogeneous,0.9,0.0,0.9,0.0
