role,episode,terrain,update_in_episode,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
individual,4,carpet,1,700,0.683552622795105,0.683006763458252,-0.04624468460679054,0.009990004822611809,-53.5463981628418,-7.0,7.0,0.784069299697876,0.26242491602897644,0.00011110139166703448,0.0001749353250488639,1
individual,4,carpet,2,700,0.8828343749046326,0.8817374110221863,-0.051230061799287796,0.00998002104461193,-53.445796966552734,-7.0,7.0,0.9163699150085449,0.22993910312652588,0.0025974034797400236,-0.0021046106703579426,2
individual,4,carpet,3,700,0.8327977657318115,0.8293253183364868,-0.05838199704885483,0.009970046579837799,-53.463417053222656,-7.0,7.0,0.882249116897583,0.2750660479068756,0.004423110280185938,-0.005931415129452944,3
individual,4,carpet,4,700,0.8320159912109375,0.8264660835266113,-0.07207846641540527,0.009960082359611988,-54.78086853027344,-7.0,7.0,0.9167447090148926,0.18514497578144073,0.006424992810934782,-0.011511183343827724,4
individual,4,carpet,5,700,0.7900601029396057,0.7783716320991516,-0.0854121670126915,0.009950127452611923,-53.364532470703125,-7.0,7.0,0.8948006629943848,0.24242578446865082,0.007436123210936785,-0.017450431361794472,5
individual,4,carpet,6,700,0.7859911322593689,0.7669537663459778,-0.11074616014957428,0.009940183721482754,-54.13264846801758,-7.0,7.0,0.898399829864502,0.29925331473350525,0.008799481205642223,-0.026999715715646744,6
individual,4,carpet,7,700,0.7847660779953003,0.7558935880661011,-0.14664460718631744,0.009930248372256756,-54.306861877441406,-7.0,7.0,0.9565320014953613,0.2267884463071823,0.01216115616261959,-0.04029938578605652,7
individual,4,carpet,8,700,0.49809250235557556,0.45925843715667725,-0.19600626826286316,0.009920324198901653,-54.566619873046875,-7.0,7.0,0.8162186145782471,0.22568395733833313,0.01636815443634987,-0.04931691661477089,8
individual,4,carpet,9,700,0.4176751971244812,0.3685618042945862,-0.27267321944236755,0.009910409338772297,-54.5899658203125,-7.0,7.0,0.8228751420974731,0.24037867784500122,0.02205606922507286,-0.05812280252575874,9
individual,4,carpet,10,700,0.4122462570667267,0.3367753028869629,-0.3633500039577484,0.009900504723191261,-54.150482177734375,-7.0,7.0,0.907037615776062,0.24285274744033813,0.027200298383831978,-0.058846089988946915,10
individual,4,carpet,11,700,0.2289685606956482,0.16632038354873657,-0.49897322058677673,0.009890610352158546,-54.36606979370117,-7.0,7.0,0.9068238139152527,0.18283991515636444,0.033398404717445374,-0.058351781219244,11
individual,4,carpet,12,700,0.16422295570373535,0.09582622349262238,-0.6748954653739929,0.009880725294351578,-54.05868911743164,-7.0,7.0,0.9417276978492737,0.24973732233047485,0.04621012881398201,-0.06316457688808441,12
individual,4,carpet,13,700,0.10930308699607849,0.11729666590690613,-0.8922272324562073,0.00987085048109293,-54.53060531616211,-7.0,7.0,0.91423499584198,0.31322529911994934,0.0639483854174614,-0.06495893001556396,13
individual,4,carpet,14,700,0.13219121098518372,0.246183842420578,-1.1808438301086426,0.009860984981060028,-53.650550842285156,-7.0,7.0,0.8908234238624573,0.2707529664039612,0.09289363771677017,-0.06679005175828934,14
individual,4,carpet,15,700,0.3977971374988556,0.3943539261817932,-1.357578992843628,0.009851129725575447,-54.22941589355469,-7.0,7.0,0.8030820488929749,0.3048751652240753,0.12244895845651627,-0.05851650610566139,15
individual,4,carpet,16,700,0.2614685297012329,0.22570498287677765,-1.3004460334777832,0.009841283783316612,-52.76827621459961,-7.0,7.0,0.9188054800033569,0.3156125247478485,0.1728750318288803,-0.04964088276028633,16
individual,4,carpet,17,700,0.20348773896694183,0.14128683507442474,-1.1630051136016846,0.009831448085606098,-51.56776428222656,-7.0,7.0,0.893731415271759,0.2768116593360901,0.2326849400997162,-0.029105981811881065,17
individual,4,carpet,18,700,0.1276291161775589,0.09677571803331375,-1.0423455238342285,0.009821622632443905,-51.59893035888672,-7.0,7.0,0.8413742184638977,0.26513513922691345,0.30591028928756714,0.003185975132510066,18
individual,4,carpet,19,700,0.11245691031217575,0.09530860185623169,-0.9058580994606018,0.009811806492507458,-49.72501754760742,-7.0,7.0,0.7691790461540222,0.3007100224494934,0.4086548388004303,0.05451658368110657,19
individual,4,carpet,20,700,0.06956301629543304,0.08795478194952011,-0.7900088429450989,0.009802000597119331,-43.99846649169922,-7.0,7.0,0.8964537978172302,0.2483050376176834,0.5410831570625305,0.12250572443008423,20
individual,4,carpet,21,700,0.08078674972057343,0.0907171294093132,-0.7038654685020447,0.009792204014956951,-42.28760528564453,-7.0,7.0,0.7798784971237183,0.26967301964759827,0.673610270023346,0.18628887832164764,21
individual,4,carpet,22,700,0.11665792763233185,0.13307103514671326,-0.6483015418052673,0.009782417677342892,-38.6519889831543,-7.0,7.0,0.837333083152771,0.2860563099384308,0.7681007385253906,0.23148766160011292,22
individual,4,carpet,23,700,0.1513904333114624,0.16762350499629974,-0.6114233732223511,0.009772640652954578,-34.93808364868164,-7.0,7.0,0.8855701684951782,0.2615741193294525,0.784490168094635,0.24694089591503143,23
individual,4,carpet,24,700,0.20048630237579346,0.2135898470878601,-0.6040873527526855,0.009762873873114586,-37.81719970703125,-7.0,7.0,0.9344629049301147,0.2719852030277252,0.7493959665298462,0.22603675723075867,24
individual,4,carpet,25,700,0.14577504992485046,0.15135174989700317,-0.6090037822723389,0.00975311640650034,-39.34900665283203,-7.0,7.0,0.8650628328323364,0.24210719764232635,0.7286626100540161,0.19050560891628265,25
individual,4,carpet,26,700,0.21165341138839722,0.20432047545909882,-0.6332461833953857,0.00974336825311184,-42.993858337402344,-7.0,7.0,0.9099562168121338,0.33568835258483887,0.6637958884239197,0.14092180132865906,26
individual,4,carpet,27,700,0.20934927463531494,0.19682085514068604,-0.6644026637077332,0.009733631275594234,-45.0245361328125,-7.0,7.0,0.9605214595794678,0.2817077934741974,0.5801624059677124,0.09456157684326172,27
individual,4,carpet,28,700,0.11189871281385422,0.09924706071615219,-0.7222864031791687,0.009723902679979801,-47.6702766418457,-7.0,7.0,0.84215247631073,0.277670294046402,0.5394583940505981,0.0580764003098011,28
individual,4,carpet,29,700,0.07860848307609558,0.068571075797081,-0.7792683839797974,0.009714184328913689,-48.3099365234375,-7.0,7.0,0.7904055118560791,0.2735886871814728,0.5192239880561829,0.027129555121064186,29
individual,4,carpet,30,700,0.07578718662261963,0.06228906661272049,-0.8403451442718506,0.009704476222395897,-50.1381950378418,-7.0,7.0,0.9373350143432617,0.21272259950637817,0.5303887724876404,0.0030541694723069668,30
individual,4,carpet,31,700,0.07714498043060303,0.07786248624324799,-0.9186606407165527,0.009694776497781277,-47.08190155029297,-7.0,7.0,0.8446681499481201,0.29260119795799255,0.5630889534950256,-0.01962367817759514,31
individual,4,carpet,32,700,0.07608292996883392,0.07882856577634811,-1.0065609216690063,0.009685087949037552,-45.491485595703125,-7.0,7.0,0.8988582491874695,0.2909109592437744,0.6168712973594666,-0.04255171865224838,32
individual,4,carpet,33,700,0.099907785654068,0.11122503131628036,-1.0880815982818604,0.009675407782196999,-41.9859733581543,-7.0,7.0,0.8226625919342041,0.27048951387405396,0.714989185333252,-0.0696868747472763,33
