phase,policy_role,terrain,episode,episode_in_terrain,steps,episode_return,ended,terminated_by_target,truncated_by_episode_length,success,remaining_distance_cm,forward_progress_cm,final_z_cm,target_z_cm,individual_alpha,population_alpha,individual_replay_size,population_replay_size,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg
train,individual,carpet,1,1,175,137.97543996714373,True,False,True,False,33.50105667114258,44.518431186676025,-51.49894332885742,-85.0,0.0099999997764825,0.0099999997764825,175,175,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,2,2,175,158.36167548941685,True,False,True,False,32.74184799194336,40.96900653839111,-52.25815200805664,-85.0,0.0099999997764825,0.0099999997764825,350,350,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,3,3,175,142.85278631525108,True,False,True,False,34.900169372558594,40.35784912109375,-50.099830627441406,-85.0,0.0099999997764825,0.0099999997764825,525,525,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,4,4,175,144.1479044209753,True,False,True,False,37.63310241699219,35.89985752105713,-47.36689758300781,-85.0,0.0099999997764825,0.0099999997764825,700,700,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,5,5,175,-36.45028839899622,True,False,True,False,141.25082397460938,-65.32189273834229,56.25081634521485,-85.0,0.0096560781821608,0.0096560781821608,875,875,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,6,6,175,-25.710496111321927,True,False,True,False,162.55868530273438,-86.58356380462646,77.55867767333984,-85.0,0.0092496955767273,0.0092671206220984,1050,1050,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,7,7,175,102.22843747945689,True,False,True,False,69.13265991210938,5.670991897583008,-15.86734390258789,-85.0,0.0088950907811522,0.0088117057457566,1225,1225,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,8,8,175,146.17685105517666,True,False,True,False,34.749595642089844,42.51563310623169,-50.25040435791016,-85.0,0.0083904219791293,0.0082850744947791,1400,1400,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,9,9,175,158.45763013827025,True,False,True,False,39.59137725830078,36.72028827667236,-45.40862274169922,-85.0,0.0078152753412723,0.0077831032685935,1575,1575,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,10,10,175,185.66798843454623,True,False,True,False,21.74139404296875,54.021023750305176,-63.25860595703125,-85.0,0.0072380332276225,0.0077589619904756,1750,1750,homogeneous,0.9,0.0,0.9,0.0
