phase,terrain,policy_role,episode,episode_in_terrain,step,reward,individual_alpha,population_alpha,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg,Target_Delta_X_Norm,Target_Delta_Y_Norm,Target_Forward_Remaining_Norm,Theta_X_Norm,Theta_Y_Norm,Theta_Z_Norm,Motor1_Norm,Motor2_Norm,Motor3_Norm,Motor4_Norm,Motor5_Norm,Motor6_Norm,Motor7_Norm,A_Width_Norm,A_Angle_Norm,B_Width_Norm,B_Angle_Norm,Delta_Width_Norm,Delta_Angle_Norm,Terrain_Carpet,Terrain_Cardboard,Motor1_Action,Motor2_Action,Motor3_Action,Motor4_Action,Motor5_Action,Motor6_Action,Motor7_Action,position_x_cm,position_y_cm,position_z_cm,orientation_x_rad,orientation_y_rad,orientation_z_rad,start_x_cm,start_y_cm,start_z_cm,dmax_cm,delta_x_cm,delta_y_cm,delta_forward_cm,forward_scale_cm,position_observation_mode,theta_x_rad,theta_y_rad,theta_z_rad,target_x_cm,target_y_cm,target_z_cm,motor1_deg,motor2_deg,motor3_deg,motor4_deg,motor5_deg,motor6_deg,motor7_deg,motor1_angle_deg,motor2_angle_deg,motor3_angle_deg,motor4_angle_deg,motor5_angle_deg,motor6_angle_deg,motor7_angle_deg,forward_curr_cm,forward_target_cm,distance_error_cm,forward_reward,yaw_reward,yaw_penalty_rad,yaw_rad,success_bonus,time_penalty,yaw_penalty_axis,terminated_by_target,truncated_by_episode_length
train,carpet,individual,1,1,1,0.29900933549924624,0.009999999776482582,0.009999999776482582,homogeneous,0.9,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5734824538230896,-0.3290734589099884,0.2939297556877136,0.8913738131523132,-0.7507987022399902,-0.14217253029346466,0.44888177514076233,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,-0.21595166623592377,-0.03209030255675316,0.42331647872924805,-0.12964704632759094,0.9681916832923889,0.7309373021125793,0.8913991451263428,195.79714965820312,5.591771602630615,3.6181044578552246,-2.9349873065948486,1.8489757776260376,-0.010655147023499012,179.24327087402344,5.732716083526611,-6.9805121421813965,40.0,-16.553878784179688,0.1409444808959961,88.61810302734375,40.0,target_relative,0.16364717483520508,-0.9885547161102295,-0.10254454612731934,179.24327087402344,5.732716083526611,-85.0,-10.718849182128906,-0.26357826590538025,24.952075958251953,-9.488818168640137,11.685303688049316,36.46166229248047,48.4984016418457,-10.718849182128906,-0.26357826590538025,24.952075958251953,-9.488818168640137,11.685303688049316,36.46166229248047,48.4984016418457,-10.598616600036621,78.0194878578186,88.61810445785522,0.2965757503323151,0.0034335851669311523,0.9885547161102295,-0.9885547161102295,0.0,-0.001,y,False,False
train,carpet,individual,1,1,2,0.6698686129070813,0.009999999776482582,0.009999999776482582,homogeneous,0.9,0.0,0.9,0.0,-0.4138469696044922,0.003523611929267645,1.0,0.05209051072597504,-0.3146667182445526,-0.03264094144105911,-0.1948881596326828,-0.00479233218356967,0.4536741077899933,-0.17252396047115326,0.21246007084846497,0.6629393100738525,0.8817891478538513,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,-0.5983203649520874,0.00873978529125452,0.6071288585662842,0.24543048441410065,0.5855081081390381,0.4556332528591156,-0.8052137494087219,190.08934020996094,5.678187847137451,-6.280116558074951,-3.0896241664886475,2.8076155185699463,0.1096365824341774,179.24327087402344,5.732716083526611,-6.9805121421813965,40.0,-10.8460693359375,0.054528236389160156,78.71988677978516,40.0,target_relative,0.00901031494140625,-0.02991485595703125,0.017747163772583008,179.24327087402344,5.732716083526611,-85.0,-31.541534423828125,0.615015983581543,30.047922134399414,-4.568689823150635,23.194889068603516,25.215654373168945,-18.977636337280273,-31.541534423828125,0.615015983581543,30.047922134399414,-4.568689823150635,23.194889068603516,25.215654373168945,-18.977636337280273,-0.7003955841064453,78.0194878578186,78.71988344192505,0.37984306969419074,0.2910255432128906,0.02991485595703125,-0.02991485595703125,0.0,-0.001,y,False,False
train,carpet,individual,1,1,3,0.4970690026040801,0.009999999776482582,0.009999999776482582,homogeneous,0.9,0.0,0.9,0.0,-0.27115172147750854,0.0013632059562951326,1.0,0.0028680721297860146,-0.009522194042801857,0.005649097729474306,-0.5734824538230896,0.011182108893990517,0.5463258624076843,-0.08306708931922913,0.42172524333000183,0.45846644043922424,-0.3450479209423065,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,-0.005690183024853468,-0.13223320245742798,0.2675534188747406,0.9811708927154541,0.636496901512146,0.899967610836029,0.012561420910060406,199.54815673828125,5.5642852783203125,-0.6602132320404053,-2.9806711673736572,2.397575616836548,0.10949710756540298,179.24327087402344,5.732716083526611,-6.9805121421813965,40.0,-20.304885864257812,0.16843080520629883,84.33979034423828,40.0,target_relative,0.11796331405639648,-0.4399547576904297,0.017607927322387695,179.24327087402344,5.732716083526611,-85.0,0.08785942196846008,-7.028754234313965,13.442492485046387,6.940894603729248,25.830671310424805,40.5910530090332,-1.054313063621521,0.08785942196846008,-7.028754234313965,13.442492485046387,6.940894603729248,25.830671310424805,40.5910530090332,-1.054313063621521,-6.320298910140991,78.0194878578186,84.3397867679596,0.330055429911209,0.1680135726928711,0.4399547576904297,-0.4399547576904297,0.0,-0.001,y,False,False
train,carpet,individual,1,1,4,0.5588755258054893,0.009999999776482582,0.009999999776482582,homogeneous,0.9,0.0,0.9,0.0,-0.5076221227645874,0.004210770130157471,1.0,0.037548888474702835,-0.14004194736480713,0.00560477701947093,0.00159744406118989,-0.1277955323457718,0.24440895020961761,0.12619808316230774,0.4696485698223114,0.7380191683769226,-0.01916932873427868,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,-0.170924574136734,-0.3211418092250824,-0.4923148453235626,0.05917021259665489,-0.8634058237075806,-0.9178296327590942,-0.10554151982069016,197.10568237304688,5.5593767166137695,-3.710577964782715,-3.071268320083618,2.516416311264038,0.08256706595420837,179.24327087402344,5.732716083526611,-6.9805121421813965,40.0,-17.862411499023438,0.1733393669128418,81.28942108154297,40.0,target_relative,0.027366161346435547,-0.32111406326293945,-0.009322166442871094,179.24327087402344,5.732716083526611,-85.0,-6.589457035064697,-8.610222816467285,-3.6900956630706787,11.597444534301758,-0.8785942792892456,16.869009017944336,-3.60223650932312,-6.589457035064697,-8.610222816467285,-3.6900956630706787,11.597444534301758,-0.8785942792892456,16.869009017944336,-3.60223650932312,-3.2699341773986816,78.0194878578186,81.28942203521729,0.35620974478437106,0.20366578102111815,0.32111406326293945,-0.32111406326293945,0.0,-0.001,y,False,False
train,carpet,individual,1,1,5,0.6558771762808617,0.009999999776482582,0.009999999776482582,homogeneous,0.9,0.0,0.9,0.0,-0.4465602934360504,0.00433348398655653,1.0,0.008710919879376888,-0.1022137776017189,-0.0029673376120626926,-0.11980830878019333,-0.15654949843883514,-0.0670926496386528,0.21086262166500092,-0.015974441543221474,0.30670925974845886,-0.06549520790576935,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.667604386806488,0.9126083254814148,0.4897798001766205,-0.5362967848777771,0.8113976716995239,0.10583914816379547,-0.4147535264492035,192.5359344482422,5.690184593200684,-5.069933891296387,-3.1250524520874023,2.8763504028320312,0.09294578433036804,179.24327087402344,5.732716083526611,-6.9805121421813965,40.0,-13.29266357421875,0.042531490325927734,79.93006896972656,40.0,target_relative,-0.026417970657348633,0.03882002830505371,0.0010564327239990234,179.24327087402344,5.732716083526611,-85.0,36.28594207763672,31.805112838745117,21.613418579101562,-28.905752182006836,44.10543441772461,6.325878620147705,-22.052717208862305,36.28594207763672,31.805112838745117,21.613418579101562,-28.905752182006836,44.10543441772461,6.325878620147705,-22.052717208862305,-1.9105782508850098,78.0194878578186,79.93006610870361,0.36852318477237783,0.2883539915084839,0.03882002830505371,0.03882002830505371,0.0,-0.001,y,False,False
train,carpet,individual,1,1,6,0.6557296242947507,0.009999999776482582,0.009999999776482582,homogeneous,0.9,0.0,0.9,0.0,-0.3323165774345398,0.0010632872581481934,1.0,-0.008409100584685802,0.01235679816454649,0.00033627296215854585,0.659744381904602,0.5782747864723206,0.3929712474346161,-0.52555912733078,0.8019170165061951,0.11501597613096237,-0.40095850825309753,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.699411153793335,-0.9929036498069763,-0.8724591732025146,0.8260758519172668,0.4086829125881195,0.7086409330368042,-0.4454158544540405,194.41371154785156,5.58573579788208,-4.549704551696777,-3.1022157669067383,2.814091444015503,0.13387605547904968,179.24327087402344,5.732716083526611,-6.9805121421813965,40.0,-15.170440673828125,0.14698028564453125,80.4502944946289,40.0,target_relative,-0.0035812854766845703,-0.02343893051147461,0.041986703872680664,179.24327087402344,5.732716083526611,-85.0,39.80031967163086,18.53833770751953,-24.776357650756836,32.6837043762207,18.011180877685547,35.583065032958984,-25.391372680664062,39.80031967163086,18.53833770751953,-24.776357650756836,32.6837043762207,18.011180877685547,35.583065032958984,-25.391372680664062,-2.430807590484619,78.0194878578186,80.45029544830322,0.3637613034481931,0.2929683208465576,0.02343893051147461,-0.02343893051147461,0.0,-0.001,y,False,False
train,carpet,individual,1,1,7,0.5002020411386939,0.009999999776482582,0.009999999776482582,homogeneous,0.9,0.0,0.9,0.0,-0.3792610168457031,0.0036745071411132812,1.0,-0.0011399585055187345,-0.007460843306034803,0.013364782556891441,0.7236421704292297,0.33706068992614746,-0.4504792392253876,0.5942491888999939,0.32747602462768555,0.6469648480415344,-0.46166130900382996,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,-0.06316880136728287,-0.6152654886245728,-0.2839777171611786,0.8836949467658997,-0.025423040613532066,-0.7458882927894592,-0.6853113770484924,181.0043182373047,5.820308685302734,-6.649941444396973,3.102649450302124,-2.8384242057800293,0.10998524725437164,179.24327087402344,5.732716083526611,-6.9805121421813965,40.0,-1.76104736328125,-0.08759260177612305,78.35005950927734,40.0,target_relative,-0.08190178871154785,0.6072306632995605,0.018095970153808594,179.24327087402344,5.732716083526611,-85.0,-3.4265177249908447,-31.01437759399414,-12.739616394042969,48.67412185668945,1.4936102628707886,-17.57188606262207,-36.373802185058594,-3.4265177249908447,-31.01437759399414,-12.739616394042969,48.67412185668945,1.4936102628707886,-17.57188606262207,-36.373802185058594,-0.33057069778442383,78.0194878578186,78.35005855560303,0.38337124012856216,0.11783080101013182,0.6072306632995605,0.6072306632995605,0.0,-0.001,y,False,False
train,carpet,individual,1,1,8,0.6415548749681647,0.009999999776482582,0.009999999776482582,homogeneous,0.9,0.0,0.9,0.0,-0.04402618482708931,-0.002189815044403076,1.0,-0.02607014775276184,0.19328752160072327,0.005760125815868378,-0.06230032071471214,-0.5638977885246277,-0.2316293865442276,0.884984016418457,0.02715655043721199,-0.3194888234138489,-0.6613418459892273,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,-0.8637893199920654,0.8089479804039001,0.5283726453781128,0.8982330560684204,-0.9188330769538879,-0.2586645483970642,0.5270276069641113,186.0645294189453,5.600934982299805,-7.3884429931640625,-3.0761194229125977,2.6776633262634277,0.1167646124958992,179.24327087402344,5.732716083526611,-6.9805121421813965,40.0,-6.821258544921875,0.13178110122680664,77.61155700683594,40.0,target_relative,0.022515058517456055,-0.1598670482635498,0.024875402450561523,179.24327087402344,5.732716083526611,-85.0,-49.11341857910156,10.015974044799805,22.755590438842773,49.02555847167969,-40.151756286621094,-13.003194808959961,28.11501693725586,-49.11341857910156,10.015974044799805,22.755590438842773,49.02555847167969,-40.151756286621094,-13.003194808959961,28.11501693725586,0.407930850982666,78.0194878578186,77.61155700683594,0.3905149894472296,0.25203988552093504,0.1598670482635498,-0.1598670482635498,0.0,-0.001,y,False,False
train,carpet,individual,1,1,9,0.6515731332112039,0.009999999776482582,0.009999999776482582,homogeneous,0.9,0.0,0.9,0.0,-0.1705314666032791,0.003294527530670166,1.0,0.007166765630245209,-0.05088726058602333,0.007918085902929306,-0.8929712176322937,0.18210862576961517,0.4137380123138428,0.8913738131523132,-0.7300319075584412,-0.23642171919345856,0.5111821293830872,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.8393274545669556,-0.2495085895061493,0.28829482197761536,0.8919200301170349,-0.7372839450836182,-0.12010060250759125,0.4457530379295349,185.80653381347656,5.767564296722412,-7.494229316711426,-3.099637746810913,2.7076103687286377,0.02450130507349968,179.24327087402344,5.732716083526611,-6.9805121421813965,40.0,-6.563262939453125,-0.03484821319580078,77.50576782226562,40.0,target_relative,-0.001003265380859375,-0.12992000579833984,-0.06738805770874023,179.24327087402344,5.732716083526611,-85.0,27.675718307495117,-15.023961067199707,18.099040985107422,49.904151916503906,-40.5910530090332,-7.028754234313965,24.60063934326172,27.675718307495117,-15.023961067199707,18.099040985107422,49.904151916503906,-40.5910530090332,-7.028754234313965,24.60063934326172,0.5137171745300293,78.0194878578186,77.50577068328857,0.39154913495070587,0.26102399826049805,0.12992000579833984,-0.12992000579833984,0.0,-0.001,y,False,False
train,carpet,individual,1,1,10,0.5160489882456951,0.009999999776482582,0.009999999776482582,homogeneous,0.9,0.0,0.9,0.0,-0.16408157348632812,-0.0008712053531780839,1.0,-0.0003193492884747684,-0.041354820132255554,-0.021450284868478775,0.5031948685646057,-0.27316293120384216,0.3290734589099884,0.9073482155799866,-0.7380191683769226,-0.1277955323457718,0.4472843408584595,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.9817501902580261,0.517013669013977,0.2838457524776459,0.7133750319480896,-0.9842818975448608,0.7866216897964478,-0.903243899345398,179.41812133789062,5.88477087020874,-6.160144329071045,3.109802007675171,-2.9068000316619873,0.11474140733480453,179.24327087402344,5.732716083526611,-6.9805121421813965,40.0,-0.1748504638671875,-0.1520547866821289,78.83985900878906,40.0,target_relative,-0.07474923133850098,0.5388550758361816,0.022852182388305664,179.24327087402344,5.732716083526611,-85.0,52.012779235839844,22.84345054626465,13.530350685119629,39.273162841796875,-51.66134262084961,43.490413665771484,-49.11341857910156,52.012779235839844,22.84345054626465,13.530350685119629,39.273162841796875,-51.66134262084961,43.490413665771484,-49.11341857910156,-0.8203678131103516,78.0194878578186,78.83985567092896,0.3787055109965496,0.1383434772491455,0.5388550758361816,0.5388550758361816,0.0,-0.001,y,False,False
