phase,policy_role,terrain,episode,episode_in_terrain,steps,episode_return,ended,terminated_by_target,truncated_by_episode_length,success,remaining_distance_cm,forward_progress_cm,final_z_cm,target_z_cm,individual_alpha,population_alpha,individual_replay_size,population_replay_size,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg
train,individual,carpet,1,1,175,117.97933309219952,True,False,True,False,46.91593933105469,34.671027183532715,-38.08406066894531,-85.0,0.009999999776482582,0.009999999776482582,175,175,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,2,2,175,133.12608393862286,True,False,True,False,41.61288070678711,36.957767486572266,-43.38711929321289,-85.0,0.009999999776482582,0.009999999776482582,350,350,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,3,3,175,116.55850885047725,True,False,True,False,45.70246124267578,35.1057767868042,-39.29753875732422,-85.0,0.009999999776482582,0.009999999776482582,525,525,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,4,4,175,125.86146170000646,True,False,True,False,42.912967681884766,35.518630027770996,-42.087032318115234,-85.0,0.009999999776482582,0.009999999776482582,700,700,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,5,5,175,36.0332075789059,True,False,True,False,84.28526306152344,-3.691715359687805,-0.7147339582443237,-85.0,0.009656078182160854,0.009656078182160854,875,875,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,6,6,175,127.63909880172035,True,False,True,False,46.393611907958984,31.721027851104736,-38.606388092041016,-85.0,0.009250886738300323,0.00924969557672739,1050,1050,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,7,7,175,28.400066849151667,True,False,True,False,102.46192169189453,-22.15827178955078,17.4619197845459,-85.0,0.008897678926587105,0.008798615075647831,1225,1225,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,8,8,175,1.1381881461881005,True,False,True,False,123.82661437988281,-44.43783378601074,38.82661056518555,-85.0,0.008462751284241676,0.008374030701816082,1400,1400,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,9,9,175,95.65924619955818,True,False,True,False,64.05876159667969,15.19603157043457,-20.941240310668945,-85.0,0.008047337643802166,0.008174372836947441,1575,1575,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,10,10,175,107.65174395159696,True,False,True,False,54.090885162353516,26.479231357574463,-30.909114837646484,-85.0,0.007652877829968929,0.007901199162006378,1750,1750,homogeneous,0.9,0.0,0.9,0.0
