role,episode,terrain,update_in_episode,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
individual,4,carpet,1,700,0.6022791266441345,0.6017328500747681,-0.04853987693786621,0.009990004822611809,-54.58922576904297,-7.0,7.0,0.7448980808258057,0.21794915199279785,9.980425238609314e-05,0.00017795615713112056,1
individual,4,carpet,2,700,0.5832054615020752,0.5822907090187073,-0.05168884992599487,0.00998002104461193,-53.615238189697266,-7.0,7.0,0.7310658693313599,0.2381811887025833,0.002775361528620124,-0.00044907667324878275,2
individual,4,carpet,3,700,0.6483818292617798,0.645922839641571,-0.058877132833004,0.009970046579837799,-53.582889556884766,-7.0,7.0,0.7852146029472351,0.2272200882434845,0.004885535221546888,-0.0027179333847016096,3
individual,4,carpet,4,700,0.6213240027427673,0.6161906719207764,-0.06814804673194885,0.009960082359611988,-53.04029846191406,-7.0,7.0,0.7787990570068359,0.22409506142139435,0.008530118502676487,-0.006455051712691784,4
individual,4,carpet,5,700,0.5030661821365356,0.4943163990974426,-0.08643485605716705,0.009950127452611923,-53.86888885498047,-7.0,7.0,0.7197929620742798,0.2019921988248825,0.013193576596677303,-0.012868273071944714,5
individual,4,carpet,6,700,0.5355843901634216,0.5196205377578735,-0.1119212806224823,0.009940183721482754,-53.96708679199219,-7.0,7.0,0.7532382607460022,0.24878808856010437,0.021485870704054832,-0.02234615571796894,6
individual,4,carpet,7,700,0.6071851849555969,0.5761743783950806,-0.1479540765285492,0.009930248372256756,-53.93498229980469,-7.0,7.0,0.853260338306427,0.19941556453704834,0.03158446028828621,-0.034323252737522125,7
individual,4,carpet,8,700,0.35202115774154663,0.31759706139564514,-0.19798198342323303,0.009920324198901653,-54.18325424194336,-7.0,7.0,0.6978461742401123,0.23400992155075073,0.045071762055158615,-0.05097382888197899,8
individual,4,carpet,9,700,0.2727760374546051,0.22702836990356445,-0.26824676990509033,0.009910409338772297,-53.59169006347656,-7.0,7.0,0.7274529933929443,0.1422552913427353,0.05248263478279114,-0.05906599760055542,9
individual,4,carpet,10,700,0.19318851828575134,0.14103949069976807,-0.37161070108413696,0.009900504723191261,-54.41816711425781,-7.0,7.0,0.7286216616630554,0.17579065263271332,0.05996323004364967,-0.06483571976423264,10
individual,4,carpet,11,700,0.11766613274812698,0.06824421137571335,-0.5101000070571899,0.009890610352158546,-53.87447738647461,-7.0,7.0,0.7441047430038452,0.17334336042404175,0.0721147432923317,-0.07098377496004105,11
individual,4,carpet,12,700,0.06262781471014023,0.05512667074799538,-0.6870108842849731,0.009880725294351578,-53.6070671081543,-7.0,7.0,0.7413903474807739,0.23889844119548798,0.08484935760498047,-0.07184312492609024,12
individual,4,carpet,13,700,0.08080390095710754,0.13479328155517578,-0.9320572018623352,0.00987085048109293,-53.67543411254883,-7.0,7.0,0.7259085178375244,0.2532232105731964,0.10213623940944672,-0.07002178579568863,13
