phase,policy_role,terrain,episode,episode_in_terrain,steps,episode_return,ended,terminated_by_target,truncated_by_episode_length,success,remaining_distance_cm,forward_progress_cm,final_z_cm,target_z_cm,individual_alpha,population_alpha,individual_replay_size,population_replay_size,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg
train,individual,carpet,1,1,175,45.93285239837711,True,False,True,False,126.32196044921875,-37.33189630508423,41.321964263916016,-85.0,0.009999999776482582,0.009999999776482582,175,175,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,2,2,175,66.47229726570536,True,False,True,False,125.44632720947266,-33.61600875854492,40.446327209472656,-85.0,0.009999999776482582,0.009999999776482582,350,350,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,3,3,175,56.024954761701274,True,False,True,False,135.3909454345703,-46.658361196517944,50.39094161987305,-85.0,0.009999999776482582,0.009999999776482582,525,525,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,4,4,175,95.39942493048602,True,False,True,False,75.76509857177734,13.245594501495361,-9.234904289245605,-85.0,0.009999999776482582,0.009999999776482582,700,700,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,5,5,175,20.083411775079345,True,False,True,False,88.88126373291016,0.632298469543457,3.8812665939331055,-85.0,0.009656078182160854,0.009656078182160854,875,875,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,6,6,175,91.56075380724577,True,False,True,False,73.89175415039062,15.918523788452148,-11.108245849609375,-85.0,0.00924969557672739,0.00924969557672739,1050,1050,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,7,7,175,89.19326203171438,True,False,True,False,81.71214294433594,6.057447910308838,-3.287855863571167,-85.0,0.008781036362051964,0.008781036362051964,1225,1225,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,8,8,175,110.91215093038099,True,False,True,False,50.976722717285156,37.964476108551025,-34.023277282714844,-85.0,0.008261439390480518,0.008261439390480518,1400,1400,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,9,9,175,113.07553675846086,True,False,True,False,59.880943298339844,28.965517282485962,-25.119056701660156,-85.0,0.007702954579144716,0.007705084979534149,1575,1575,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,10,10,175,98.57446731367963,True,False,True,False,73.07649993896484,14.530178308486938,-11.923502922058105,-85.0,0.007124999072402716,0.007126439828425646,1750,1750,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,11,11,175,110.63970984337679,True,False,True,False,71.21873474121094,17.1309232711792,-13.781264305114746,-85.0,0.0065313647501170635,0.006532143335789442,1925,1925,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,12,12,175,122.35327339454601,True,False,True,False,56.47281265258789,30.664503574371338,-28.52718734741211,-85.0,0.005933551117777824,0.005933898966759443,2100,2100,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,13,13,175,100.33702600531912,True,False,True,False,76.92962646484375,11.820555448532104,-8.070375442504883,-85.0,0.005375029519200325,0.005369414109736681,2275,2275,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,14,14,175,106.79051275837097,True,False,True,False,78.20462036132812,10.575113296508789,-6.795381546020508,-85.0,0.004862867295742035,0.004932331386953592,2450,2450,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,15,15,175,93.44402667555393,True,False,True,False,95.9466323852539,-8.342899560928345,10.946629524230957,-85.0,0.0044512818567454815,0.0046198382042348385,2625,2625,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,16,16,175,93.13662816135648,True,False,True,False,84.3787612915039,4.987699866294861,-0.6212362051010132,-85.0,0.004220589064061642,0.004334622994065285,2800,2800,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,17,17,175,134.65035648693745,True,False,True,False,70.61656951904297,17.977852821350098,-14.383432388305664,-85.0,0.004114231094717979,0.004156508482992649,2975,2975,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,18,18,175,121.38362132802493,True,False,True,False,62.90134811401367,23.927184224128723,-22.098651885986328,-85.0,0.004112987779080868,0.003980625886470079,3150,3150,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,19,19,175,106.02296074811744,True,False,True,False,66.27660369873047,21.36623525619507,-18.7233943939209,-85.0,0.0038140572141855955,0.0037570875138044357,3325,3325,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,20,20,175,195.29200053136896,True,False,True,False,14.293479919433594,74.92789554595947,-70.7065200805664,-85.0,0.003641987219452858,0.003912319429218769,3500,3500,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,21,21,175,154.90194322283276,True,False,True,False,36.270713806152344,53.09677314758301,-48.729286193847656,-85.0,0.003851379966363311,0.00396893173456192,3675,3675,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,22,22,175,138.7201522623041,True,False,True,False,46.93916320800781,41.385833740234375,-38.06083679199219,-85.0,0.004232632927596569,0.004287035204470158,3850,3850,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,23,23,175,159.3126802725952,True,False,True,False,33.2177619934082,54.013527393341064,-51.7822380065918,-85.0,0.004644202534109354,0.004591702483594418,4025,4025,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,24,24,175,132.58835327348245,True,False,True,False,50.62198257446289,35.62485659122467,-34.37801742553711,-85.0,0.004922894760966301,0.004538144916296005,4200,4200,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,25,25,175,223.70363722552312,True,False,True,False,3.8730926513671875,84.4963321685791,-81.12690734863281,-85.0,0.00507025932893157,0.004575103521347046,4375,4375,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,26,26,175,104.57612479446205,True,False,True,False,70.94943237304688,15.14694082736969,-14.050570487976074,-85.0,0.0053402394987642765,0.004725789651274681,4550,4550,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,27,27,167,257.2567955080947,True,True,False,True,-0.26505279541015625,89.58521699905396,-85.26505279541016,-85.0,0.005752536468207836,0.005145580507814884,4717,4717,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,28,28,175,152.63620793347246,True,False,True,False,31.55929183959961,56.01858472824097,-53.44070816040039,-85.0,0.00610224436968565,0.0056229508481919765,4892,4892,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,29,29,151,247.19411746768085,True,True,False,True,-3.4970703125,93.31445980072021,-88.4970703125,-85.0,0.006560968700796366,0.0056269848719239235,5043,5043,homogeneous,0.9,0.0,0.9,0.0
train,individual,carpet,30,30,175,91.911492874505,True,False,True,False,74.51431274414062,13.949007749557495,-10.485686302185059,-85.0,0.007008698768913746,0.005907705053687096,5218,5218,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,31,1,175,50.99318922911209,True,False,True,False,136.48623657226562,-45.49097967147827,51.486236572265625,-85.0,0.009999999776482582,0.006153005640953779,175,5393,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,32,2,175,43.11141747474036,True,False,True,False,125.228759765625,-34.18809795379639,40.228755950927734,-85.0,0.009999999776482582,0.006153005640953779,350,5568,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,33,3,175,44.78594697282027,True,False,True,False,112.71737670898438,-21.567854404449463,27.717376708984375,-85.0,0.009999999776482582,0.006153005640953779,525,5743,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,34,4,175,52.499851166653,True,False,True,False,104.02362060546875,-13.95962381362915,19.023622512817383,-85.0,0.009999999776482582,0.006153005640953779,700,5918,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,35,5,175,54.421642340931314,True,False,True,False,119.88192749023438,-27.489919662475586,34.88193130493164,-85.0,0.009656078182160854,0.006817894987761974,875,6093,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,36,6,175,53.92339249616075,True,False,True,False,125.74075317382812,-34.392927169799805,40.74074935913086,-85.0,0.00924969557672739,0.007530578412115574,1050,6268,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,37,7,175,67.33633237801672,True,False,True,False,103.66310119628906,-13.749884605407715,18.663103103637695,-85.0,0.008781036362051964,0.008373994380235672,1225,6443,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,38,8,175,70.64769102066535,True,False,True,False,114.22270202636719,-23.339365005493164,29.222702026367188,-85.0,0.008261439390480518,0.009237971156835556,1400,6618,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,39,9,175,78.34927303059375,True,False,True,False,105.05050659179688,-14.35413646697998,20.05050277709961,-85.0,0.007702954579144716,0.010171827860176563,1575,6793,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,40,10,175,85.00252405271623,True,False,True,False,92.07666778564453,-0.03998279571533203,7.076666355133057,-85.0,0.007124999072402716,0.010745410807430744,1750,6968,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,41,11,175,87.55892440860512,True,False,True,False,96.37141418457031,-5.776017665863037,11.371417999267578,-85.0,0.0065313647501170635,0.010879604145884514,1925,7143,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,42,12,175,85.76340830129348,True,False,True,False,100.02686309814453,-8.318082809448242,15.026861190795898,-85.0,0.005933551117777824,0.011106877587735653,2100,7318,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,43,13,175,90.53435039984433,True,False,True,False,97.2196273803711,-6.646511554718018,12.21962833404541,-85.0,0.005368937738239765,0.011810644529759884,2275,7493,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,44,14,175,91.663649359474,True,False,True,False,91.2205581665039,2.4265432357788086,6.220560073852539,-85.0,0.004858050961047411,0.012072193436324596,2450,7668,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,45,15,175,95.64311869020456,True,False,True,False,87.5616683959961,3.712038516998291,2.56166934967041,-85.0,0.00439577829092741,0.011776183731853962,2625,7843,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,46,16,175,91.86624687181954,True,False,True,False,92.677734375,-0.047292232513427734,7.677734851837158,-85.0,0.00397749338299036,0.012125684879720211,2800,8018,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,47,17,175,93.14120288834786,True,False,True,False,91.37995910644531,-0.5447850227355957,6.379959583282471,-85.0,0.003599011106416583,0.012441889382898808,2975,8193,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,48,18,175,92.04814833095024,True,False,True,False,91.76026916503906,-0.18798065185546875,6.760265827178955,-85.0,0.0032588813919574022,0.012599552050232887,3150,8368,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,49,19,175,89.35346016554928,True,False,True,False,100.0353012084961,-7.032930374145508,15.035301208496094,-85.0,0.0029987182933837175,0.012415907345712185,3325,8543,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,50,20,175,83.97851229350081,True,False,True,False,95.60391235351562,-3.873267650604248,10.603911399841309,-85.0,0.0027799189556390047,0.012519982643425465,3500,8718,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,51,21,175,96.70597320555726,True,False,True,False,90.3542251586914,0.9128131866455078,5.354224681854248,-85.0,0.002652534982189536,0.012107538059353828,3675,8893,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,52,22,175,92.19560710613129,True,False,True,False,95.11151123046875,-4.947722434997559,10.111509323120117,-85.0,0.0024376825895160437,0.011502000503242016,3850,9068,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,53,23,175,94.6195382039211,True,False,True,False,91.93889617919922,-0.014529705047607422,6.938894271850586,-85.0,0.0022420124150812626,0.011369055137038231,4025,9243,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,54,24,175,89.42014958793358,True,False,True,False,97.6256103515625,-5.5840277671813965,12.625609397888184,-85.0,0.002157533308491111,0.0112177524715662,4200,9418,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,55,25,175,91.22080301473616,True,False,True,False,91.5069580078125,0.9493536949157715,6.506957054138184,-85.0,0.0021043047308921814,0.011217907071113586,4375,9593,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,56,26,175,92.46694766329675,True,False,True,False,94.79949951171875,-4.023442268371582,9.799500465393066,-85.0,0.0020169541239738464,0.011059699580073357,4550,9768,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,57,27,175,98.79387441533113,True,False,True,False,61.453041076660156,27.573389530181885,-23.54695701599121,-85.0,0.0019279096741229296,0.011410592123866081,4725,9943,homogeneous,0.9,0.0,0.9,0.0
train,individual,cardboard,58,28,175,90.68460720246198,True,False,True,False,94.79873657226562,-3.028507709503174,9.798739433288574,-85.0,0.0019334269454702735,0.011145373806357384,4900,10118,homogeneous,0.9,0.0,0.9,0.0
