phase,policy_role,terrain,episode,episode_in_terrain,steps,episode_return,ended,terminated_by_target,truncated_by_episode_length,success,remaining_distance_cm,forward_progress_cm,final_z_cm,target_z_cm,individual_alpha,population_alpha,individual_replay_size,population_replay_size,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg
train,individual,carpet,1,1,175,116.28742023840431,True,False,True,False,50.62203598022461,33.546011447906494,-34.37796401977539,-85.0,0.009999999776482582,0.009999999776482582,175,175,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,2,2,175,130.1017854731038,True,False,True,False,44.90873336791992,39.378285467624664,-40.09126663208008,-85.0,0.009999999776482582,0.009999999776482582,350,350,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,3,3,175,115.54063200933699,True,False,True,False,51.39814758300781,34.43212044239044,-33.60185241699219,-85.0,0.009999999776482582,0.009999999776482582,525,525,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,4,4,175,113.14414441192022,True,False,True,False,51.18486785888672,34.77270984649658,-33.81513214111328,-85.0,0.009999999776482582,0.009999999776482582,700,700,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,5,5,175,80.67968820543963,True,False,True,False,84.84757995605469,-0.9914214760065079,-0.1524178832769394,-85.0,0.009656078182160854,0.009656078182160854,875,875,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,6,6,175,97.99121424328675,True,False,True,False,75.8023910522461,10.165687561035156,-9.197611808776855,-85.0,0.00924969557672739,0.00924969557672739,1050,1050,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,7,7,175,85.35956468165917,True,False,True,False,74.63542175292969,10.016067028045654,-10.364580154418945,-85.0,0.008781036362051964,0.008781036362051964,1225,1225,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,8,8,175,130.99115775918315,True,False,True,False,46.32969665527344,39.654680132865906,-38.67030334472656,-85.0,0.008261439390480518,0.008261439390480518,1400,1400,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,9,9,175,99.70736196763404,True,False,True,False,86.9430160522461,-3.2555172443389893,1.9430180788040161,-85.0,0.007704971358180046,0.007702954579144716,1575,1575,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,10,10,175,113.12923630251662,True,False,True,False,65.30995178222656,20.22378170490265,-19.690048217773438,-85.0,0.007127520628273487,0.007139565423130989,1750,1750,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,11,11,175,99.07710118358615,True,False,True,False,83.60355377197266,1.8439418375492096,-1.3964488506317139,-85.0,0.006533096544444561,0.006570057012140751,1925,1925,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,12,12,175,97.572703112997,True,False,True,False,81.03274536132812,4.02193258702755,-3.9672532081604004,-85.0,0.005944221746176481,0.006150350905954838,2100,2100,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,13,13,175,143.5274475608316,True,False,True,False,39.653419494628906,44.82015573978424,-45.346580505371094,-85.0,0.005425585433840752,0.0058034732937812805,2275,2275,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,14,14,175,107.396323031291,True,False,True,False,69.9128189086914,16.136924982070923,-15.087183952331543,-85.0,0.004940185695886612,0.005402299575507641,2450,2450,homogeneous,0.63,30.0,0.63,30.0
train,individual,carpet,15,15,175,83.80167872730492,True,False,True,False,88.50833892822266,-3.0457451939582825,3.5083394050598145,-85.0,0.004697049502283335,0.004953709430992603,2625,2625,homogeneous,0.63,30.0,0.63,30.0
