role,episode,terrain,update_in_episode,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
individual,4,carpet,1,700,0.4926730990409851,0.49151623249053955,-0.04606574401259422,0.009990004822611809,-62.756980895996094,-9.0,9.0,0.6861095428466797,0.14719174802303314,8.447409345535561e-05,0.00010644386929925531,1
individual,4,carpet,2,700,0.4663713574409485,0.46376076340675354,-0.050804413855075836,0.00998002104461193,-62.657981872558594,-9.0,9.0,0.6744893789291382,0.13428135216236115,0.0024337819777429104,-0.002088016364723444,2
individual,4,carpet,3,700,0.580370306968689,0.5736196041107178,-0.05772443860769272,0.009970046579837799,-62.673885345458984,-9.0,9.0,0.7603052258491516,0.1407061666250229,0.004479364491999149,-0.005735759623348713,3
individual,4,carpet,4,700,0.5118041038513184,0.5010295510292053,-0.0705331414937973,0.009960082359611988,-63.99987030029297,-9.0,9.0,0.7261804342269897,0.12713752686977386,0.005881244782358408,-0.011073863133788109,4
individual,4,carpet,5,700,0.5121121406555176,0.49141329526901245,-0.08301030844449997,0.009950127452611923,-62.574981689453125,-9.0,9.0,0.7362002730369568,0.15441834926605225,0.006389327812939882,-0.016652105376124382,5
individual,4,carpet,6,700,0.427173912525177,0.39770185947418213,-0.10821743309497833,0.009940183721482754,-63.343597412109375,-9.0,9.0,0.6896081566810608,0.17835751175880432,0.007132717873901129,-0.02570464089512825,6
individual,4,carpet,7,700,0.4492672383785248,0.40190261602401733,-0.14272816479206085,0.009930248372256756,-63.54124069213867,-9.0,9.0,0.7412267923355103,0.18177242577075958,0.008865649811923504,-0.03919665887951851,7
individual,4,carpet,8,700,0.35650113224983215,0.29115915298461914,-0.19209438562393188,0.009920324198901653,-63.765357971191406,-9.0,9.0,0.7231239080429077,0.13959115743637085,0.01176045835018158,-0.04744753614068031,8
individual,4,carpet,9,700,0.2558014988899231,0.18465453386306763,-0.26517564058303833,0.009910409338772297,-63.86310958862305,-9.0,9.0,0.7031200528144836,0.13649457693099976,0.017329851165413857,-0.05668560788035393,9
individual,4,carpet,10,700,0.23063752055168152,0.1346232295036316,-0.35744261741638184,0.009900504723191261,-63.3557243347168,-9.0,9.0,0.7623100876808167,0.14896559715270996,0.021157806739211082,-0.05550109222531319,10
individual,4,carpet,11,700,0.09302840381860733,0.030456677079200745,-0.49978190660476685,0.009890610352158546,-63.573551177978516,-9.0,9.0,0.7397526502609253,0.12267192453145981,0.025918694213032722,-0.05330998823046684,11
individual,4,carpet,12,700,0.044808488339185715,0.02189512737095356,-0.6650545597076416,0.009880725294351578,-63.23723220825195,-9.0,9.0,0.7802346348762512,0.12958869338035583,0.03492959588766098,-0.05449581891298294,12
individual,4,carpet,13,700,0.04540664330124855,0.137954980134964,-0.8892457485198975,0.00987085048109293,-63.65318298339844,-9.0,9.0,0.7317622303962708,0.16716647148132324,0.049049101769924164,-0.05626437067985535,13
individual,4,carpet,14,700,0.15135934948921204,0.21048082411289215,-1.1211519241333008,0.009860984981060028,-63.04589080810547,-9.0,9.0,0.7074099779129028,0.15589383244514465,0.07223246246576309,-0.058744095265865326,14
individual,4,carpet,15,700,0.200234517455101,0.14236460626125336,-1.0765730142593384,0.009851129725575447,-63.41807556152344,-9.0,9.0,0.7022044658660889,0.15019477903842926,0.098220095038414,-0.05325755476951599,15
individual,4,carpet,16,700,0.1109243705868721,0.058769866824150085,-0.9755414724349976,0.009841283783316612,-62.391910552978516,-9.0,9.0,0.7362016439437866,0.13122686743736267,0.13560590147972107,-0.04733084887266159,16
individual,4,carpet,17,700,0.04566997289657593,0.01925458200275898,-0.8488847017288208,0.009831448085606098,-61.5537109375,-9.0,9.0,0.7673025727272034,0.13432340323925018,0.18014894425868988,-0.03348748758435249,17
