phase,terrain,policy_role,episode,episode_in_terrain,step,reward,individual_alpha,population_alpha,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg,Target_Delta_X_Norm,Target_Delta_Y_Norm,Target_Forward_Remaining_Norm,Theta_X_Norm,Theta_Y_Norm,Theta_Z_Norm,Motor1_Norm,Motor2_Norm,Motor3_Norm,Motor4_Norm,Motor5_Norm,Motor6_Norm,Motor7_Norm,A_Width_Norm,A_Angle_Norm,B_Width_Norm,B_Angle_Norm,Delta_Width_Norm,Delta_Angle_Norm,Terrain_Carpet,Terrain_Cardboard,Motor1_Action,Motor2_Action,Motor3_Action,Motor4_Action,Motor5_Action,Motor6_Action,Motor7_Action,position_x_cm,position_y_cm,position_z_cm,orientation_x_rad,orientation_y_rad,orientation_z_rad,start_x_cm,start_y_cm,start_z_cm,dmax_cm,delta_x_cm,delta_y_cm,delta_forward_cm,forward_scale_cm,position_observation_mode,theta_x_rad,theta_y_rad,theta_z_rad,target_x_cm,target_y_cm,target_z_cm,motor1_deg,motor2_deg,motor3_deg,motor4_deg,motor5_deg,motor6_deg,motor7_deg,motor1_angle_deg,motor2_angle_deg,motor3_angle_deg,motor4_angle_deg,motor5_angle_deg,motor6_angle_deg,motor7_angle_deg,forward_curr_cm,forward_target_cm,distance_error_cm,forward_reward,yaw_reward,yaw_penalty_rad,yaw_rad,success_bonus,time_penalty,yaw_penalty_axis,terminated_by_target,truncated_by_episode_length
train,carpet,individual,1,1,1,0.464364246298982,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.63,0.0,0.9,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.017571885138750076,-0.00958466436713934,0.00958466436713934,0.02715655043721199,0.014376997016370296,-0.00958466436713934,-0.20000000298023224,-1.0,1.0,1.0,0.6000000238418579,1.0,1.0,0.0,-0.21586763858795166,-0.0318402424454689,0.42312437295913696,-0.12972375750541687,0.9681797623634338,0.7308602333068848,0.8913805484771729,-98.90866088867188,6.874179840087891,-2.212860345840454,-3.0560109615325928,2.716775894165039,0.008977058343589306,-106.86624145507812,6.7717180252075195,-4.888597011566162,40.0,-7.95758056640625,-0.1024618148803711,82.78713989257812,40.0,target_relative,0.07075929641723633,-0.592515230178833,0.10623288154602051,-106.86624145507812,6.7717180252075195,-85.0,-12.036741256713867,-2.8993611335754395,18.27475929260254,-9.576677322387695,17.132587432861328,10.630990982055664,36.98881912231445,-12.036741256713867,-2.8993611335754395,18.27475929260254,-9.576677322387695,17.132587432861328,10.630990982055664,36.98881912231445,-2.675736665725708,80.11140298843384,82.78713965415955,0.3431188153526319,0.1222454309463501,0.592515230178833,-0.592515230178833,0.0,-0.001,y,False,False
train,carpet,individual,1,1,2,0.5995218652533691,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.63,0.0,0.9,30.0,-0.1989395171403885,-0.002561545465141535,1.0,0.022523382678627968,-0.1886034458875656,0.03381497412919998,-0.21884983777999878,-0.05271565541625023,0.3322683572769165,-0.1741214096546173,0.3115015923976898,0.19329074025154114,0.6725239753723145,-0.20000000298023224,-1.0,1.0,1.0,0.6000000238418579,1.0,1.0,0.0,-0.598191499710083,0.008966446854174137,0.6071637272834778,0.245337575674057,0.5854673981666565,0.45561525225639343,-0.8051398396492004,-99.01541137695312,6.7893476486206055,-3.3861284255981445,-3.134812831878662,3.1332569122314453,-0.0617978572845459,-106.86624145507812,6.7717180252075195,-4.888597011566162,40.0,-7.850830078125,-0.017629623413085938,81.6138687133789,40.0,target_relative,-0.008042573928833008,-0.17603421211242676,0.03545784950256348,-106.86624145507812,6.7717180252075195,-85.0,-32.15654754638672,-1.3178913593292236,23.98562240600586,-8.34664535522461,18.099040985107422,24.073482513427734,-9.928114891052246,-32.15654754638672,-1.3178913593292236,23.98562240600586,-8.34664535522461,18.099040985107422,24.073482513427734,-9.928114891052246,-1.5024685859680176,80.11140298843384,81.61387157440186,0.3533321288870972,0.24718973636627195,0.17603421211242676,-0.17603421211242676,0.0,-0.001,y,False,False
train,carpet,individual,1,1,3,0.5637247547897214,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.63,0.0,0.9,30.0,-0.19627074897289276,-0.00044074057950638235,1.0,-0.0025600306689739227,-0.0560334287583828,0.011286583729088306,-0.584664523601532,-0.023961661383509636,0.4361022114753723,-0.15175719559192657,0.3290734589099884,0.43769967555999756,-0.18051117658615112,-0.20000000298023224,-1.0,1.0,1.0,0.6000000238418579,1.0,1.0,0.0,-0.005679870489984751,-0.13205085694789886,0.2675948143005371,0.9811649918556213,0.6364403963088989,0.8999384641647339,0.01251910999417305,-96.3726806640625,6.772617340087891,-2.812868356704712,-3.135601282119751,3.0306921005249023,-0.05583754926919937,-106.86624145507812,6.7717180252075195,-4.888597011566162,40.0,-10.493560791015625,-0.0008993148803710938,82.1871337890625,40.0,target_relative,-0.008831024169921875,-0.2785990238189697,0.04141831398010254,-106.86624145507812,6.7717180252075195,-85.0,-1.669329047203064,-7.907348155975342,13.969648361206055,-7.64376974105835,20.383386611938477,30.047922134399414,-2.5479233264923096,-1.669329047203064,-7.907348155975342,13.969648361206055,-7.64376974105835,20.383386611938477,30.047922134399414,-2.5479233264923096,-2.07572865486145,80.11140298843384,82.18713164329529,0.3483044619354123,0.21642029285430908,0.2785990238189697,-0.2785990238189697,0.0,-0.001,y,False,False
train,carpet,individual,1,1,4,0.5839983582206841,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.63,0.0,0.9,30.0,-0.2623390257358551,-2.2482872736873105e-05,1.0,-0.0028110023122280836,-0.08868081867694855,0.01318385824561119,-0.030351437628269196,-0.14376996457576752,0.25399360060691833,-0.13897763192653656,0.37060701847076416,0.5463258624076843,-0.04632587730884552,-0.20000000298023224,-1.0,1.0,1.0,0.6000000238418579,1.0,1.0,0.0,-0.1708669811487198,-0.3209795653820038,-0.4922173321247101,0.05908750370144844,-0.8633925914764404,-0.9178309440612793,-0.10554756969213486,-97.11540985107422,6.74067497253418,-3.6547791957855225,-3.1363940238952637,3.073575258255005,-0.08324839174747467,-106.86624145507812,6.7717180252075195,-4.888597011566162,40.0,-9.750831604003906,0.031043052673339844,81.34522247314453,40.0,target_relative,-0.00962376594543457,-0.2357161045074463,0.014007329940795898,-106.86624145507812,6.7717180252075195,-85.0,-7.380191326141357,-12.036741256713867,-3.075079917907715,6.15015983581543,-14.233226776123047,7.907348155975342,-4.041533946990967,-7.380191326141357,-12.036741256713867,-3.075079917907715,6.15015983581543,-14.233226776123047,7.907348155975342,-4.041533946990967,-1.2338178157806396,80.11140298843384,81.34522080421448,0.3557131895729181,0.2292851686477661,0.2357161045074463,-0.2357161045074463,0.0,-0.001,y,False,False
train,carpet,individual,1,1,5,0.6352866317651508,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.63,0.0,0.9,30.0,-0.2437707930803299,0.0007760763401165605,1.0,-0.003063339740037918,-0.07503076642751694,0.004458671435713768,-0.1341852992773056,-0.21884983777999878,-0.055910542607307434,0.11182108521461487,-0.2587859332561493,0.14376996457576752,-0.0734824389219284,-0.20000000298023224,-1.0,1.0,1.0,0.6000000238418579,1.0,1.0,0.0,0.6675255298614502,0.9126491546630859,0.4897715151309967,-0.5363209247589111,0.8113481402397156,0.10580317676067352,-0.41468894481658936,-99.67952728271484,6.946261405944824,-2.942896604537964,-3.1238484382629395,-2.9300546646118164,-0.034106381237506866,-106.86624145507812,6.7717180252075195,-4.888597011566162,40.0,-7.186714172363281,-0.1745433807373047,82.0571060180664,40.0,target_relative,0.0029218196868896484,0.04383969306945801,0.06314945220947266,-106.86624145507812,6.7717180252075195,-85.0,20.822683334350586,-0.615015983581543,9.840255737304688,-28.2028751373291,35.758785247802734,5.2715654373168945,-22.140575408935547,20.822683334350586,-0.615015983581543,9.840255737304688,-28.2028751373291,35.758785247802734,5.2715654373168945,-22.140575408935547,-1.9457004070281982,80.11140298843384,82.05710339546204,0.3494385396859882,0.28684809207916256,0.04383969306945801,0.04383969306945801,0.0,-0.001,y,False,False
train,carpet,individual,1,1,6,0.6306829286789511,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.63,0.0,0.9,30.0,-0.1796678602695465,-0.004363584332168102,1.0,0.0009300440433435142,0.013954607769846916,0.020101094618439674,0.3785942494869232,-0.011182108893990517,0.17891374230384827,-0.5127795338630676,0.6501597166061401,0.09584664553403854,-0.402555912733078,-0.20000000298023224,-1.0,1.0,1.0,0.6000000238418579,1.0,1.0,0.0,0.6993484497070312,-0.9929049611091614,-0.8724221587181091,0.8260403275489807,0.4086255729198456,0.7085508108139038,-0.44539716839790344,-99.4395523071289,6.809732913970947,-2.818429946899414,-3.085012435913086,-2.918327808380127,0.015665942803025246,-106.86624145507812,6.7717180252075195,-4.888597011566162,40.0,-7.426689147949219,-0.038014888763427734,82.18157196044922,40.0,target_relative,0.041757822036743164,0.05556654930114746,0.11292171478271484,-106.86624145507812,6.7717180252075195,-85.0,39.80031967163086,-12.30031967163086,-13.003194808959961,11.24600601196289,17.22044563293457,29.52076530456543,-25.391372680664062,39.80031967163086,-12.30031967163086,-13.003194808959961,11.24600601196289,17.22044563293457,29.52076530456543,-25.391372680664062,-2.070167064666748,80.11140298843384,82.18157005310059,0.34835289346929543,0.2833300352096558,0.05556654930114746,0.05556654930114746,0.0,-0.001,y,False,False
train,carpet,individual,1,1,7,0.5509084328132096,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.63,0.0,0.9,30.0,-0.1856672316789627,-0.000950372195802629,1.0,0.013291927054524422,0.01768738217651844,0.035944096744060516,0.7236421704292297,-0.22364217042922974,-0.23642171919345856,0.2044728398323059,0.3130989968776703,0.5367411971092224,-0.46166130900382996,-0.20000000298023224,-1.0,1.0,1.0,0.6000000238418579,1.0,1.0,0.0,-0.06314416229724884,-0.6151899695396423,-0.2838921546936035,0.8836628198623657,-0.02545539103448391,-0.7459023594856262,-0.6852251291275024,-101.7501220703125,6.922789573669434,-1.7762905359268188,-3.0797340869903564,-2.68227481842041,-0.0984460860490799,-106.86624145507812,6.7717180252075195,-4.888597011566162,40.0,-5.116119384765625,-0.15107154846191406,83.22370910644531,40.0,target_relative,0.047036170959472656,0.29161953926086426,-0.001190185546875,-106.86624145507812,6.7717180252075195,-85.0,9.752396583557129,-17.57188606262207,-13.618210792541504,41.9089469909668,-1.4936102628707886,-0.9664536714553833,-35.23162841796875,9.752396583557129,-17.57188606262207,-13.618210792541504,41.9089469909668,-1.4936102628707886,-0.9664536714553833,-35.23162841796875,-3.1123064756393433,80.11140298843384,83.22370946407318,0.3393942945914689,0.2125141382217407,0.29161953926086426,0.29161953926086426,0.0,-0.001,y,False,False
train,carpet,individual,1,1,8,0.5577966146291062,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.63,0.0,0.9,30.0,-0.12790298461914062,-0.0037767887115478516,1.0,0.014972077682614326,0.09282538294792175,-0.0003788478206843138,0.1773163080215454,-0.3194888234138489,-0.24760383367538452,0.7619808316230774,-0.02715655043721199,-0.017571885138750076,-0.6405750513076782,-0.20000000298023224,-1.0,1.0,1.0,0.6000000238418579,1.0,1.0,0.0,-0.8637553453445435,0.8089962005615234,0.5282533168792725,0.8982203006744385,-0.9188109040260315,-0.25870904326438904,0.5269293189048767,-99.53018188476562,6.806408405303955,-2.840151309967041,-3.114319086074829,3.010138988494873,-0.025860674679279327,-106.86624145507812,6.7717180252075195,-4.888597011566162,40.0,-7.3360595703125,-0.03469038009643555,82.15985107421875,40.0,target_relative,0.012451171875,-0.2991516590118408,0.0713951587677002,-106.86624145507812,6.7717180252075195,-85.0,-43.929710388183594,5.710862636566162,2.723642349243164,46.565494537353516,-30.5750789642334,-9.928114891052246,20.47124671936035,-43.929710388183594,5.710862636566162,2.723642349243164,46.565494537353516,-30.5750789642334,-9.928114891052246,20.47124671936035,-2.048445701599121,80.11140298843384,82.15984869003296,0.34854211233265847,0.21025450229644777,0.2991516590118408,-0.2991516590118408,0.0,-0.001,y,False,False
train,carpet,individual,1,1,9,0.5246815872947593,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.63,0.0,0.9,30.0,-0.18340149521827698,-0.0008672595140524209,1.0,0.003963330760598183,-0.09522292762994766,0.022725785151124,-0.7987220287322998,0.103833869099617,0.049520768225193024,0.8466453552246094,-0.5559105277061462,-0.18051117658615112,0.3722044825553894,-0.20000000298023224,-1.0,1.0,1.0,0.6000000238418579,1.0,1.0,0.0,0.8392608761787415,-0.24939440190792084,0.28817281126976013,0.8918866515159607,-0.7372769713401794,-0.12016674131155014,0.4456264078617096,-99.20671081542969,6.84499979019165,-2.1207125186920166,-3.1277639865875244,2.9204649925231934,-0.0334818959236145,-106.86624145507812,6.7717180252075195,-4.888597011566162,40.0,-7.6595306396484375,-0.07328176498413086,82.87928771972656,40.0,target_relative,-0.0009937286376953125,-0.3888256549835205,0.06377387046813965,-106.86624145507812,6.7717180252075195,-85.0,-12.30031967163086,-15.902556419372559,14.584665298461914,48.41054153442383,-38.30670928955078,-5.974441051483154,25.039936065673828,-12.30031967163086,-15.902556419372559,14.584665298461914,48.41054153442383,-38.30670928955078,-5.974441051483154,25.039936065673828,-2.7678844928741455,80.11140298843384,82.87928748130798,0.34232928378981553,0.18335230350494386,0.3888256549835205,-0.3888256549835205,0.0,-0.001,y,False,False
train,carpet,individual,1,1,10,0.6184543299759955,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.63,0.0,0.9,30.0,-0.19148826599121094,-0.0018320441013202071,1.0,-0.00031631364254280925,-0.12376704812049866,0.02029985375702381,-0.22364217042922974,-0.2891373932361603,0.2651757299900055,0.8801916837692261,-0.6964856386184692,-0.10862620174884796,0.45527157187461853,-0.20000000298023224,-1.0,1.0,1.0,0.6000000238418579,1.0,1.0,0.0,0.9817362427711487,0.5171240568161011,0.283756285905838,0.7132939100265503,-0.984268307685852,0.7865761518478394,-0.9032400846481323,-102.4760971069336,6.843262672424316,-1.3200329542160034,-3.1130847930908203,-2.9202587604522705,-0.0965496152639389,-106.86624145507812,6.7717180252075195,-4.888597011566162,40.0,-4.390144348144531,-0.07154464721679688,83.67996978759766,40.0,target_relative,0.013685464859008789,0.053635597229003906,0.0007061958312988281,-106.86624145507812,6.7717180252075195,-85.0,17.747602462768555,-15.814696311950684,13.530350685119629,39.185302734375,-52.80351257324219,41.11820983886719,-27.763578414916992,17.747602462768555,-15.814696311950684,13.530350685119629,39.185302734375,-52.80351257324219,41.11820983886719,-27.763578414916992,-3.5685640573501587,80.11140298843384,83.679967045784,0.33554500914469665,0.28390932083129883,0.053635597229003906,0.053635597229003906,0.0,-0.001,y,False,False
