phase,policy_role,terrain,episode,episode_in_terrain,steps,episode_return,ended,terminated_by_target,truncated_by_episode_length,success,remaining_distance_cm,forward_progress_cm,final_z_cm,target_z_cm,individual_alpha,population_alpha,individual_replay_size,population_replay_size,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg
train,individual,carpet,1,1,175,68.8453527267357,True,False,True,False,70.27239227294922,311.1270523071289,-14.727607727050781,-85.0,0.009999999776482582,0.009999999776482582,175,175,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,2,2,175,98.65980932682145,True,False,True,False,84.93770599365234,-2.8874170556664467,-0.06229188293218613,-85.0,0.009999999776482582,0.009999999776482582,350,350,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,3,3,175,84.6155246058606,True,False,True,False,83.22032928466797,-0.7161473035812378,-1.7796722650527954,-85.0,0.009999999776482582,0.009999999776482582,525,525,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,4,4,175,111.8316123769192,True,False,True,False,61.485435485839844,20.005922079086304,-23.514562606811523,-85.0,0.009999999776482582,0.009999999776482582,700,700,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,5,5,175,24.172914700115907,True,False,True,False,104.54515075683594,-23.291259765625,19.545146942138672,-85.0,0.009656078182160854,0.009656078182160854,875,875,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,6,6,175,-45.05479499451585,True,False,True,False,166.13287353515625,-86.53792953491211,81.13288116455078,-85.0,0.00924969557672739,0.00924969557672739,1050,1050,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,7,7,175,110.40718345821301,True,False,True,False,61.58171844482422,19.71465492248535,-23.418283462524414,-85.0,0.008781036362051964,0.008781036362051964,1225,1225,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,8,8,175,94.27925954589888,True,False,True,False,82.50594329833984,-1.6548354625701904,-2.494058847427368,-85.0,0.008261439390480518,0.008261439390480518,1400,1400,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,9,9,175,116.13731424951317,True,False,True,False,55.451416015625,25.97909688949585,-29.548585891723633,-85.0,0.007702954579144716,0.007702954579144716,1575,1575,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,10,10,175,113.75698635550802,True,False,True,False,66.4111557006836,15.660162925720215,-18.588844299316406,-85.0,0.007124999072402716,0.007124999072402716,1750,1750,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,11,11,175,114.24577369145507,True,False,True,False,66.20323181152344,15.010277032852173,-18.796770095825195,-85.0,0.006532909814268351,0.006533532869070768,1925,1925,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,12,12,175,104.56659895314533,True,False,True,False,70.90924072265625,10.696341276168823,-14.090755462646484,-85.0,0.005944147706031799,0.005970363970845938,2100,2100,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,13,13,175,99.71801710027667,True,False,True,False,68.85746765136719,12.567823648452759,-16.142534255981445,-85.0,0.005385468248277903,0.005418038461357355,2275,2275,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,14,14,175,86.37948170095851,True,False,True,False,86.98090362548828,-6.71084201335907,1.98090398311615,-85.0,0.005337968468666077,0.004898682236671448,2450,2450,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,15,15,175,116.70987314844369,True,False,True,False,60.238861083984375,19.077520847320557,-24.761138916015625,-85.0,0.005058214534074068,0.004543354269117117,2625,2625,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,16,16,175,148.9107550888355,True,False,True,False,36.25575256347656,44.51928663253784,-48.74424743652344,-85.0,0.004670781549066305,0.0041840337216854095,2800,2800,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,17,17,175,143.82978704238235,True,False,True,False,43.7267951965332,37.231231689453125,-41.2732048034668,-85.0,0.004698713775724173,0.003956179600208998,2975,2975,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,18,18,175,129.17447871947488,True,False,True,False,54.512184143066406,26.064395904541016,-30.48781394958496,-85.0,0.004674999509006739,0.0037247987929731607,3150,3150,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,19,19,175,157.86102806023763,True,False,True,False,32.60914993286133,47.67183971405029,-52.39085006713867,-85.0,0.0043589710257947445,0.003634012769907713,3325,3325,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,20,20,175,115.57371611247169,True,False,True,False,68.74989318847656,12.860472202301025,-16.250102996826172,-85.0,0.004138982854783535,0.00381618388928473,3500,3500,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,21,21,175,194.36143977350486,True,False,True,False,25.207069396972656,56.60599875450134,-59.792930603027344,-85.0,0.004207708407193422,0.004139882978051901,3675,3675,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,22,22,175,194.02071256736522,True,False,True,False,22.699283599853516,58.50065279006958,-62.300716400146484,-85.0,0.004444880411028862,0.004583152011036873,3850,3850,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,23,23,175,148.64661041000772,True,False,True,False,43.4421501159668,37.93253993988037,-41.5578498840332,-85.0,0.00491446303203702,0.005068659316748381,4025,4025,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,24,24,175,187.36083111887376,True,False,True,False,21.770366668701172,59.41814947128296,-63.22963333129883,-85.0,0.005402114242315292,0.005624664481729269,4200,4200,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,25,25,175,169.62746724488755,True,False,True,False,32.04937744140625,49.617103099823,-52.95062255859375,-85.0,0.00584806501865387,0.006102151237428188,4375,4375,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,26,26,175,166.56433495196197,True,False,True,False,32.96969223022461,47.044543743133545,-52.03030776977539,-85.0,0.006322644650936127,0.006633759941905737,4550,4550,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,27,27,175,149.77818304382524,True,False,True,False,38.70502853393555,43.00311231613159,-46.29497146606445,-85.0,0.00683178473263979,0.007258376572281122,4725,4725,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,28,28,175,115.79963395382464,True,False,True,False,64.44862365722656,16.974368572235107,-20.551372528076172,-85.0,0.007008798886090517,0.007817702367901802,4900,4900,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,29,29,175,95.43801486044406,True,False,True,False,74.2832260131836,6.962496280670166,-10.716771125793457,-85.0,0.00669205654412508,0.008236038498580456,5075,5075,homogeneous,0.9,23.5,0.9,23.5
train,individual,carpet,30,30,175,92.80179006801401,True,False,True,False,82.84833526611328,-2.4675345420837402,-2.151662826538086,-85.0,0.006758080329746008,0.007798118516802788,5250,5250,homogeneous,0.9,23.5,0.9,23.5
train,individual,cardboard,31,1,175,115.21150155313505,True,False,True,False,49.6308708190918,31.087440490722656,-35.3691291809082,-85.0,0.009999999776482582,0.00850131269544363,175,5425,homogeneous,0.9,23.5,0.9,23.5
train,individual,cardboard,32,2,175,109.38460119900482,True,False,True,False,60.89326477050781,21.447888374328613,-24.10673713684082,-85.0,0.009999999776482582,0.00850131269544363,350,5600,homogeneous,0.9,23.5,0.9,23.5
train,individual,cardboard,33,3,175,101.77633811297156,True,False,True,False,60.323883056640625,21.682739734649658,-24.676116943359375,-85.0,0.009999999776482582,0.00850131269544363,525,5775,homogeneous,0.9,23.5,0.9,23.5
train,individual,cardboard,34,4,175,84.46336526686491,True,False,True,False,79.08145141601562,2.637877941131592,-5.918548107147217,-85.0,0.009999999776482582,0.00850131269544363,700,5950,homogeneous,0.9,23.5,0.9,23.5
train,individual,cardboard,35,5,175,57.228485752667446,True,False,True,False,113.93107604980469,-32.13485050201416,28.931072235107422,-85.0,0.009656078182160854,0.008840235881507397,875,6125,homogeneous,0.9,23.5,0.9,23.5
train,individual,cardboard,36,6,175,75.45375896234688,True,False,True,False,68.0743408203125,12.535035610198975,-16.9256591796875,-85.0,0.00924969557672739,0.009365009143948555,1050,6300,homogeneous,0.9,23.5,0.9,23.5
train,individual,cardboard,37,7,175,95.29613318104101,True,False,True,False,67.62704467773438,13.96108078956604,-17.372955322265625,-85.0,0.008781036362051964,0.010004243813455105,1225,6475,homogeneous,0.9,23.5,0.9,23.5
train,individual,cardboard,38,8,175,108.5587284730005,True,False,True,False,70.20537567138672,9.877432346343994,-14.794622421264648,-85.0,0.008261439390480518,0.010809989646077156,1400,6650,homogeneous,0.9,23.5,0.9,23.5
train,individual,cardboard,39,9,175,131.4213098456256,True,False,True,False,49.385345458984375,31.143183708190918,-35.614654541015625,-85.0,0.007702954579144716,0.011664766818284988,1575,6825,homogeneous,0.9,23.5,0.9,23.5
train,individual,cardboard,40,10,175,60.852351157371395,True,False,True,False,112.75169372558594,-33.13840675354004,27.75169563293457,-85.0,0.007128176279366016,0.011748380959033966,1750,7000,homogeneous,0.9,23.5,0.9,23.5
