phase,terrain,policy_role,episode,episode_in_terrain,step,reward,individual_alpha,population_alpha,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg,Target_Delta_X_Norm,Target_Delta_Y_Norm,Target_Forward_Remaining_Norm,Theta_X_Norm,Theta_Y_Norm,Theta_Z_Norm,Motor1_Norm,Motor2_Norm,Motor3_Norm,Motor4_Norm,Motor5_Norm,Motor6_Norm,Motor7_Norm,A_Width_Norm,A_Angle_Norm,B_Width_Norm,B_Angle_Norm,Delta_Width_Norm,Delta_Angle_Norm,Terrain_Carpet,Terrain_Cardboard,Motor1_Action,Motor2_Action,Motor3_Action,Motor4_Action,Motor5_Action,Motor6_Action,Motor7_Action,position_x_cm,position_y_cm,position_z_cm,orientation_x_rad,orientation_y_rad,orientation_z_rad,start_x_cm,start_y_cm,start_z_cm,dmax_cm,delta_x_cm,delta_y_cm,delta_forward_cm,forward_scale_cm,position_observation_mode,theta_x_rad,theta_y_rad,theta_z_rad,target_x_cm,target_y_cm,target_z_cm,motor1_deg,motor2_deg,motor3_deg,motor4_deg,motor5_deg,motor6_deg,motor7_deg,motor1_angle_deg,motor2_angle_deg,motor3_angle_deg,motor4_angle_deg,motor5_angle_deg,motor6_angle_deg,motor7_angle_deg,forward_curr_cm,forward_target_cm,distance_error_cm,forward_reward,yaw_reward,yaw_penalty_rad,yaw_rad,success_bonus,time_penalty,yaw_penalty_axis,terminated_by_target,truncated_by_episode_length
train,carpet,individual,1,1,1,0.0613757220350345,0.009999999776482582,0.009999999776482582,homogeneous,0.9,23.5,0.9,23.5,0.0,0.0,1.0,0.0,0.0,0.0,0.06070287525653839,-0.05271565541625023,0.03194888308644295,0.023961661383509636,0.0,0.043130990117788315,-0.014376997016370296,1.0,0.5666666626930237,1.0,0.5666666626930237,0.0,0.0,1.0,0.0,-0.21586918830871582,-0.03191765770316124,0.42324018478393555,-0.12966547906398773,0.9681735038757324,0.7308595180511475,0.8914014101028442,-120.40765380859375,6.728089809417725,0.33470261096954346,2.8828892707824707,2.7126681804656982,-0.28584253787994385,66.21520233154297,11.402642250061035,296.3994445800781,40.0,186.62286376953125,4.6745524406433105,85.33470153808594,40.0,target_relative,-0.07624411582946777,-1.8652384281158447,-0.2724177837371826,66.21520233154297,11.402642250061035,-85.0,-10.10383415222168,-3.075079917907715,17.39616584777832,-9.313098907470703,13.969648361206055,10.367412567138672,36.373802185058594,-10.10383415222168,-3.075079917907715,17.39616584777832,-9.313098907470703,13.969648361206055,10.367412567138672,36.373802185058594,296.0647419691086,381.3994445800781,85.33470261096954,0.32194725046978795,-0.25957152843475345,1.8652384281158447,-1.8652384281158447,0.0,-0.001,y,False,False
train,carpet,individual,1,1,2,0.22875901176611518,0.009999999776482582,0.009999999776482582,homogeneous,0.9,23.5,0.9,23.5,1.0,0.11686380952596664,1.0,-0.024269254878163338,-0.5937238335609436,-0.0867132693529129,-0.18370607495307922,-0.055910542607307434,0.3162939250469208,-0.16932907700538635,0.25399360060691833,0.18849840760231018,0.6613418459892273,1.0,0.5666666626930237,1.0,0.5666666626930237,0.0,0.0,1.0,0.0,-0.5981341600418091,0.008813729509711266,0.6072999238967896,0.24542607367038727,0.5854457020759583,0.4556632339954376,-0.8051376342773438,-122.02776336669922,6.95416259765625,-0.17281372845172882,3.080113172531128,-3.026275873184204,-0.10374574363231659,66.21520233154297,11.402642250061035,296.3994445800781,40.0,188.2429656982422,4.448479652404785,84.82718658447266,40.0,target_relative,0.12097978591918945,-1.3209969997406006,-0.09032106399536133,66.21520233154297,11.402642250061035,-85.0,-30.223644256591797,-1.230031967163086,19.15335464477539,-7.028754234313965,18.53833770751953,25.039936065673828,-37.7795524597168,-30.223644256591797,-1.230031967163086,19.15335464477539,-7.028754234313965,18.53833770751953,25.039936065673828,-37.7795524597168,296.57225830852985,381.3994445800781,84.82718627154827,0.32605811168829535,-0.09629909992218016,1.3209969997406006,-1.3209969997406006,0.0,-0.001,y,False,False
train,carpet,individual,1,1,3,0.17439693790660432,0.009999999776482582,0.009999999776482582,homogeneous,0.9,23.5,0.9,23.5,1.0,0.11121199280023575,1.0,0.0385090596973896,-0.4204863905906677,-0.028750086203217506,-0.5495207905769348,-0.022364217787981033,0.3482428193092346,-0.1277955323457718,0.33706068992614746,0.45527157187461853,-0.6869009733200073,1.0,0.5666666626930237,1.0,0.5666666626930237,0.0,0.0,1.0,0.0,-0.00562624353915453,-0.13220520317554474,0.2677467465400696,0.981166660785675,0.6364300847053528,0.8999291062355042,0.012486918829381466,-118.99668884277344,6.936338424682617,0.23009181022644043,3.080010175704956,3.0865955352783203,-0.051589302718639374,66.21520233154297,11.402642250061035,296.3994445800781,40.0,185.21188354492188,4.466303825378418,85.23009490966797,40.0,target_relative,0.12087678909301758,-1.4913113117218018,-0.038164615631103516,66.21520233154297,11.402642250061035,-85.0,-2.723642349243164,-8.34664535522461,13.881789207458496,-5.535143852233887,18.977636337280273,29.169330596923828,-4.920127868652344,-2.723642349243164,-8.34664535522461,13.881789207458496,-5.535143852233887,18.977636337280273,29.169330596923828,-4.920127868652344,296.1693527698517,381.3994445800781,85.23009181022644,0.32279033142314484,-0.14739339351654052,1.4913113117218018,-1.4913113117218018,0.0,-0.001,y,False,False
train,carpet,individual,1,1,4,0.19539086716957887,0.009999999776482582,0.009999999776482582,homogeneous,0.9,23.5,0.9,23.5,1.0,0.11165759712457657,1.0,0.03847627714276314,-0.47469910979270935,-0.012148174457252026,-0.049520768225193024,-0.15175719559192657,0.2523961663246155,-0.1006389781832695,0.3450479209423065,0.530351459980011,-0.08945687115192413,1.0,0.5666666626930237,1.0,0.5666666626930237,0.0,0.0,1.0,0.0,-0.17081567645072937,-0.3210848569869995,-0.49211788177490234,0.05915185809135437,-0.8633890748023987,-0.9178028106689453,-0.10558662563562393,-121.24097442626953,6.874492645263672,-0.9823357462882996,3.087815046310425,3.123462438583374,-0.08720690757036209,66.21520233154297,11.402642250061035,296.3994445800781,40.0,187.4561767578125,4.528149604797363,84.01766204833984,40.0,target_relative,0.12868165969848633,-1.454444169998169,-0.07378220558166504,66.21520233154297,11.402642250061035,-85.0,-7.028754234313965,-11.86102294921875,-1.5814696550369263,6.238018989562988,-12.388178825378418,5.183706283569336,-4.041533946990967,-7.028754234313965,-11.86102294921875,-1.5814696550369263,6.238018989562988,-12.388178825378418,5.183706283569336,-4.041533946990967,297.3817803263664,381.3994445800781,84.0176642537117,0.3327241181690296,-0.1363332509994507,1.454444169998169,-1.454444169998169,0.0,-0.001,y,False,False
train,carpet,individual,1,1,5,0.2675759855443902,0.009999999776482582,0.009999999776482582,homogeneous,0.9,23.5,0.9,23.5,1.0,0.1132037416100502,1.0,0.040960643440485,-0.46296393871307373,-0.02348560467362404,-0.1277955323457718,-0.21565496921539307,-0.028753994032740593,0.11341852694749832,-0.2252396196126938,0.09424920380115509,-0.0734824389219284,1.0,0.5666666626930237,1.0,0.5666666626930237,0.0,0.0,1.0,0.0,0.6675015091896057,0.9126149415969849,0.48994940519332886,-0.5363180637359619,0.8113378882408142,0.10580048710107803,-0.41470858454704285,-124.21451568603516,7.0576019287109375,-0.24734246730804443,3.090782880783081,-2.8989129066467285,-0.1774502843618393,66.21520233154297,11.402642250061035,296.3994445800781,40.0,190.42971801757812,4.345040321350098,84.75265502929688,40.0,target_relative,0.13164949417114258,-1.193634033203125,-0.16402554512023926,66.21520233154297,11.402642250061035,-85.0,22.140575408935547,-1.054313063621521,14.321086883544922,-28.905752182006836,31.980831146240234,5.183706283569336,-21.789138793945312,22.140575408935547,-1.054313063621521,14.321086883544922,-28.905752182006836,31.980831146240234,5.183706283569336,-21.789138793945312,296.64678704738617,381.3994445800781,84.75265753269196,0.3266661955053277,-0.0580902099609375,1.193634033203125,-1.193634033203125,0.0,-0.001,y,False,False
train,carpet,individual,1,1,6,0.2812537243615903,0.009999999776482582,0.009999999776482582,homogeneous,0.9,23.5,0.9,23.5,1.0,0.10862600803375244,1.0,0.04190533608198166,-0.3799455165863037,-0.05221094936132431,0.402555912733078,-0.01916932873427868,0.26038339734077454,-0.52555912733078,0.5814696550369263,0.09424920380115509,-0.3961661458015442,1.0,0.5666666626930237,1.0,0.5666666626930237,0.0,0.0,1.0,0.0,0.6993547677993774,-0.9929023385047913,-0.8723967671394348,0.826084554195404,0.40856340527534485,0.708530604839325,-0.44540295004844666,-124.41641998291016,7.02069616317749,0.14648069441318512,3.1069366931915283,-2.8426523208618164,-0.17432792484760284,66.21520233154297,11.402642250061035,296.3994445800781,40.0,190.63162231445312,4.381946086883545,85.146484375,40.0,target_relative,0.14780330657958984,-1.137373447418213,-0.1609032154083252,66.21520233154297,11.402642250061035,-85.0,39.624603271484375,-15.2875394821167,-11.333866119384766,7.819489002227783,17.044729232788086,24.161340713500977,-25.918529510498047,39.624603271484375,-15.2875394821167,-11.333866119384766,7.819489002227783,17.044729232788086,24.161340713500977,-25.918529510498047,296.25296388566494,381.3994445800781,85.14648069441319,0.3234657585870542,-0.04121203422546388,1.137373447418213,-1.137373447418213,0.0,-0.001,y,False,False
train,carpet,individual,1,1,7,0.37029931056561194,0.009999999776482582,0.009999999776482582,homogeneous,0.9,23.5,0.9,23.5,1.0,0.1095486506819725,1.0,0.04704725369811058,-0.36203721165657043,-0.051217082887887955,0.7204473614692688,-0.2779552638530731,-0.20607028901576996,0.14217253029346466,0.30990415811538696,0.4392971098423004,-0.47124600410461426,1.0,0.5666666626930237,1.0,0.5666666626930237,0.0,0.0,1.0,0.0,-0.06303457170724869,-0.6151875853538513,-0.2837345600128174,0.883695125579834,-0.02545447088778019,-0.7458489537239075,-0.6852701902389526,-130.19737243652344,7.274979591369629,1.6306679248809814,3.0666239261627197,-2.5065598487854004,0.31991156935691833,66.21520233154297,11.402642250061035,296.3994445800781,40.0,196.41256713867188,4.127662658691406,86.63066864013672,40.0,target_relative,0.10749053955078125,-0.8012809753417969,0.33333635330200195,66.21520233154297,11.402642250061035,-85.0,12.036741256713867,-19.065494537353516,-13.793930053710938,38.39456558227539,-2.372204542160034,-8.522364616394043,-35.583065032958984,12.036741256713867,-19.065494537353516,-13.793930053710938,38.39456558227539,-2.372204542160034,-8.522364616394043,-35.583065032958984,294.76877665519714,381.3994445800781,86.63066792488098,0.311683603168151,0.05961570739746094,0.8012809753417969,-0.8012809753417969,0.0,-0.001,y,False,False
train,carpet,individual,1,1,8,0.23703561130861955,0.009999999776482582,0.009999999776482582,homogeneous,0.9,23.5,0.9,23.5,1.0,0.1031915694475174,1.0,0.034215301275253296,-0.25505563616752625,0.10610425472259521,0.21884983777999878,-0.3466453552246094,-0.2507987320423126,0.6980829834938049,-0.043130990117788315,-0.15495207905769348,-0.6469648480415344,1.0,0.5666666626930237,1.0,0.5666666626930237,0.0,0.0,1.0,0.0,-0.8636886477470398,0.8089392781257629,0.5284115672111511,0.8982475399971008,-0.9188045263290405,-0.2587268352508545,0.5269621014595032,-128.66921997070312,6.9506516456604,0.12468419969081879,3.0966837406158447,-2.990633726119995,-0.11534242331981659,66.21520233154297,11.402642250061035,296.3994445800781,40.0,194.88442993164062,4.451990604400635,85.12468719482422,40.0,target_relative,0.13755035400390625,-1.2853548526763916,-0.10191774368286133,66.21520233154297,11.402642250061035,-85.0,-42.611820220947266,10.015974044799805,3.4265177249908447,46.301918029785156,-36.46166229248047,-13.881789207458496,20.2955265045166,-42.611820220947266,10.015974044799805,3.4265177249908447,46.301918029785156,-36.46166229248047,-13.881789207458496,20.2955265045166,296.2747603803873,381.3994445800781,85.12468419969082,0.32364206711153704,-0.08560645580291748,1.2853548526763916,-1.2853548526763916,0.0,-0.001,y,False,False
train,carpet,individual,1,1,9,0.1648877584426553,0.009999999776482582,0.009999999776482582,homogeneous,0.9,23.5,0.9,23.5,1.0,0.11129976809024811,1.0,0.04378363490104675,-0.4091411530971527,-0.03244142606854439,-0.774760365486145,0.18210862576961517,0.06230032071471214,0.8418530821800232,-0.6629393100738525,-0.2523961663246155,0.3690095841884613,1.0,0.5666666626930237,1.0,0.5666666626930237,0.0,0.0,1.0,0.0,0.839246928691864,-0.24955439567565918,0.28841254115104675,0.8918931484222412,-0.7372562289237976,-0.12014754861593246,0.4456433951854706,-126.82556915283203,6.878826141357422,0.7604687809944153,3.0894522666931152,3.06907057762146,-0.0797034427523613,66.21520233154297,11.402642250061035,296.3994445800781,40.0,193.040771484375,4.523816108703613,85.76046752929688,40.0,target_relative,0.13031888008117676,-1.508836030960083,-0.06627869606018066,66.21520233154297,11.402642250061035,-85.0,-0.08785942196846008,-15.814696311950684,14.584665298461914,47.00479507446289,-40.5910530090332,-6.589457035064697,24.512779235839844,-0.08785942196846008,-15.814696311950684,14.584665298461914,47.00479507446289,-40.5910530090332,-6.589457035064697,24.512779235839844,295.6389757990837,381.3994445800781,85.76046878099442,0.3185385677306802,-0.15265080928802488,1.508836030960083,-1.508836030960083,0.0,-0.001,y,False,False
train,carpet,individual,1,1,10,0.3115329253072578,0.009999999776482582,0.009999999776482582,homogeneous,0.9,23.5,0.9,23.5,1.0,0.11309540271759033,1.0,0.04148178547620773,-0.480277419090271,-0.02109716273844242,-0.00159744406118989,-0.28753992915153503,0.2651757299900055,0.8546326160430908,-0.7380191683769226,-0.11980830878019333,0.4456869065761566,1.0,0.5666666626930237,1.0,0.5666666626930237,0.0,0.0,1.0,0.0,0.9817280173301697,0.5169818997383118,0.28399738669395447,0.7133127450942993,-0.9842665195465088,0.7865286469459534,-0.9032465815544128,-130.51312255859375,7.378330707550049,2.7148284912109375,3.1279561519622803,-2.674666404724121,0.11680592596530914,66.21520233154297,11.402642250061035,296.3994445800781,40.0,196.72833251953125,4.024311542510986,87.71482849121094,40.0,target_relative,0.1688227653503418,-0.9693875312805176,0.13023066520690918,66.21520233154297,11.402642250061035,-85.0,34.08945846557617,-15.814696311950684,12.915335655212402,39.185302734375,-51.837059020996094,40.5910530090332,-40.23961639404297,34.08945846557617,-15.814696311950684,12.915335655212402,39.185302734375,-51.837059020996094,40.5910530090332,-40.23961639404297,293.6846160888672,381.3994445800781,87.71482849121094,0.3033491846914131,0.009183740615844704,0.9693875312805176,-0.9693875312805176,0.0,-0.001,y,False,False
