phase,policy_role,terrain,episode,episode_in_terrain,steps,episode_return,ended,terminated_by_target,truncated_by_episode_length,success,remaining_distance_cm,forward_progress_cm,final_z_cm,target_z_cm,individual_alpha,population_alpha,individual_replay_size,population_replay_size,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg
train,individual,carpet,1,1,175,128.74295903868205,True,False,True,False,43.69673538208008,33.21333694458008,-41.30326461791992,-85.0,0.009999999776482582,0.009999999776482582,175,175,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,2,2,175,124.53392091976313,True,False,True,False,51.00032043457031,28.359169960021973,-33.99967956542969,-85.0,0.009999999776482582,0.009999999776482582,350,350,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,3,3,175,126.43170085348878,True,False,True,False,49.13433074951172,29.385627269744873,-35.86566925048828,-85.0,0.009999999776482582,0.009999999776482582,525,525,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,4,4,175,121.67346605576145,True,False,True,False,47.91862487792969,29.829262256622314,-37.08137512207031,-85.0,0.009999999776482582,0.009999999776482582,700,700,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,5,5,175,53.640298767919326,True,False,True,False,83.29230499267578,-4.457172632217407,-1.7076961994171143,-85.0,0.009656078182160854,0.009656078182160854,875,875,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,6,6,175,-36.6922379554426,True,False,True,False,98.27207946777344,-19.591876983642578,13.27208137512207,-85.0,0.00924969557672739,0.00924969557672739,1050,1050,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,7,7,175,103.78770794912495,True,False,True,False,80.57726287841797,-1.9194297790527344,-4.422737121582031,-85.0,0.008781036362051964,0.008796881884336472,1225,1225,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,8,8,175,52.622168150919684,True,False,True,False,66.52909851074219,10.967522144317627,-18.470903396606445,-85.0,0.008261439390480518,0.00827592983841896,1400,1400,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,9,9,175,132.27169278394726,True,False,True,False,43.610443115234375,35.17601251602173,-41.389556884765625,-85.0,0.007702954579144716,0.007713131606578827,1575,1575,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,10,10,175,142.7410519751817,True,False,True,False,49.46522521972656,28.05361843109131,-35.53477478027344,-85.0,0.007124999072402716,0.007131926715373993,1750,1750,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,11,11,175,141.0630792135965,True,False,True,False,46.72853088378906,32.326388359069824,-38.27146911621094,-85.0,0.0065313647501170635,0.006536446046084166,1925,1925,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,12,12,175,96.19019895688857,True,False,True,False,68.69296264648438,8.078828811645508,-16.307037353515625,-85.0,0.005933551117777824,0.005937804933637381,2100,2100,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,13,13,175,113.14229919390327,True,False,True,False,58.119407653808594,19.80797529220581,-26.880592346191406,-85.0,0.005368937738239765,0.00563584640622139,2275,2275,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,14,14,175,101.92463585167721,True,False,True,False,72.82953643798828,4.198343753814697,-12.170462608337402,-85.0,0.005139930639415979,0.005368453916162252,2450,2450,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,15,15,175,134.526395810642,True,False,True,False,47.802589416503906,28.91846466064453,-37.197410583496094,-85.0,0.004681062418967485,0.004968049004673958,2625,2625,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,16,16,175,68.62620594313519,True,False,True,False,62.60961151123047,16.037610054016113,-22.39038848876953,-85.0,0.004249774385243654,0.004488641396164894,2800,2800,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,17,17,175,119.00949620310423,True,False,True,False,62.52104187011719,15.267924785614014,-22.478958129882812,-85.0,0.004036282654851675,0.004061173647642136,2975,2975,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,18,18,175,146.58629818238435,True,False,True,False,45.495845794677734,32.49877643585205,-39.504154205322266,-85.0,0.003744092769920826,0.0036744866520166397,3150,3150,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,19,19,175,133.40095444560183,True,False,True,False,52.612545013427734,25.649556159973145,-32.387454986572266,-85.0,0.003388635814189911,0.0033320935908704996,3325,3325,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,20,20,175,82.00029342555152,True,False,True,False,79.8545150756836,-1.1806902885437012,-5.145483016967773,-85.0,0.0031847315840423107,0.0031633866019546986,3500,3500,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,21,21,175,26.22840125666314,True,False,True,False,80.11398315429688,-3.6333694458007812,-4.886013031005859,-85.0,0.002936626086011529,0.0030130702070891857,3675,3675,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,22,22,175,131.76709233124004,True,False,True,False,52.03538513183594,27.238652229309082,-32.96461486816406,-85.0,0.0027678203769028187,0.00292994175106287,3850,3850,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,23,23,175,113.11523514104178,True,False,True,False,62.6590576171875,15.753159523010254,-22.340940475463867,-85.0,0.002642721636220813,0.0027502726297825575,4025,4025,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,24,24,175,99.27163234337928,True,False,True,False,80.62989807128906,-3.4681568145751953,-4.3701043128967285,-85.0,0.0024639605544507504,0.0026206469628959894,4200,4200,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,25,25,175,106.53993839229318,True,False,True,False,81.94769287109375,-5.241006374359131,-3.052309513092041,-85.0,0.0023138599935919046,0.002696290612220764,4375,4375,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,26,26,175,120.67636170296272,True,False,True,False,65.19465637207031,10.844042778015137,-19.805339813232422,-85.0,0.002231414197012782,0.002778078196570277,4550,4550,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,27,27,175,87.0250281176763,True,False,True,False,78.82331848144531,-2.437178134918213,-6.1766839027404785,-85.0,0.00211886502802372,0.002821529284119606,4725,4725,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,28,28,175,120.4921393918983,True,False,True,False,62.1184196472168,13.654982566833496,-22.881580352783203,-85.0,0.0020258158911019564,0.0028423357289284468,4900,4900,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,29,29,175,122.90164867359897,True,False,True,False,64.43846130371094,13.056485652923584,-20.56153678894043,-85.0,0.0020349854603409767,0.002772821579128504,5075,5075,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,carpet,30,30,175,92.05788550060902,True,False,True,False,82.33454895019531,-4.146783351898193,-2.66544771194458,-85.0,0.0021119413431733847,0.0028171695303171873,5250,5250,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,31,1,175,90.08795879006051,True,False,True,False,79.6822509765625,-0.700411319732666,-5.317748546600342,-85.0,0.009999999776482582,0.002803884446620941,175,5425,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,32,2,175,99.76282247293597,True,False,True,False,72.54743194580078,6.912932872772217,-12.452569961547852,-85.0,0.009999999776482582,0.002803884446620941,350,5600,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,33,3,175,90.73492977997772,True,False,True,False,77.87867736816406,1.98652982711792,-7.121325492858887,-85.0,0.009999999776482582,0.002803884446620941,525,5775,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,34,4,175,67.38999834130502,True,False,True,False,109.75652313232422,-30.06554651260376,24.75652503967285,-85.0,0.009999999776482582,0.002803884446620941,700,5950,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,35,5,175,60.55569608086621,True,False,True,False,98.02053833007812,-18.224255084991455,13.020541191101074,-85.0,0.009656078182160854,0.002767413854598999,875,6125,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,36,6,175,42.82471468482694,True,False,True,False,110.76407623291016,-29.99705743789673,25.764074325561523,-85.0,0.00924969557672739,0.0028437944129109383,1050,6300,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,37,7,175,77.16212787583426,True,False,True,False,99.37969970703125,-20.18854570388794,14.379703521728516,-85.0,0.008781036362051964,0.0028165369294583797,1225,6475,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,38,8,175,79.46845774871606,True,False,True,False,106.03646850585938,-26.380000114440918,21.03647232055664,-85.0,0.008261439390480518,0.0028244650457054377,1400,6650,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,39,9,175,84.619068080649,True,False,True,False,101.91841125488281,-21.954029083251953,16.918413162231445,-85.0,0.007702954579144716,0.002845057053491473,1575,6825,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,40,10,175,87.09630389665288,True,False,True,False,96.46029663085938,-18.000263690948486,11.460297584533691,-85.0,0.007124999072402716,0.002884333021938801,1750,7000,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,41,11,175,100.76177832565855,True,False,True,False,81.66780853271484,-2.7744550704956055,-3.3321895599365234,-85.0,0.0065313647501170635,0.0029402594082057476,1925,7175,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,42,12,175,96.61859419255468,True,False,True,False,79.99752807617188,-1.0657753944396973,-5.00247049331665,-85.0,0.005933551117777824,0.0029251256491988897,2100,7350,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,43,13,175,97.22771919665948,True,False,True,False,88.98622131347656,-7.321499347686768,3.9862189292907715,-85.0,0.005368937738239765,0.0028587770648300648,2275,7525,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,44,14,175,67.6469072508779,True,False,True,False,93.4277114868164,-15.417255878448486,8.427709579467773,-85.0,0.004858050961047411,0.0030061500146985054,2450,7700,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,45,15,175,76.02820742728618,True,False,True,False,83.43738555908203,-3.149886727333069,-1.5626181364059448,-85.0,0.004396734293550253,0.0029562590643763542,2625,7875,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,46,16,175,99.59939084526869,True,False,True,False,80.94156646728516,-0.8714761734008789,-4.058433532714844,-85.0,0.003982756286859512,0.00309383706189692,2800,8050,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,47,17,175,111.33808099505421,True,False,True,False,77.82119750976562,1.4429912567138672,-7.178801536560059,-85.0,0.003603429300710559,0.0031856459099799395,2975,8225,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,48,18,175,103.93487767544156,True,False,True,False,77.62635040283203,1.2552070617675781,-7.373647212982178,-85.0,0.0032602304127067327,0.0032626783940941095,3150,8400,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,49,19,175,110.45150953863995,True,False,True,False,74.48490905761719,5.347322940826416,-10.515088081359863,-85.0,0.0029497186187654734,0.003220192389562726,3325,8575,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,50,20,175,107.47829335473106,True,False,True,False,76.70130920410156,3.312643527984619,-8.298693656921387,-85.0,0.002668817527592182,0.0032179621048271656,3500,8750,heterogeneous_ab,0.75,0.0,0.9,30.0
train,individual,cardboard,51,21,175,95.15399484805765,True,False,True,False,85.98492431640625,-4.529663324356079,0.9849262237548828,-85.0,0.00241474830545485,0.0032129285391420126,3675,8925,heterogeneous_ab,0.75,0.0,0.9,30.0
