role,episode,terrain,update_in_episode,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
individual,4,carpet,1,700,0.5314961075782776,0.530480682849884,-0.0461394377052784,0.009990004822611809,-62.756961822509766,-9.0,9.0,0.713301420211792,0.1499849259853363,8.742137288209051e-05,0.00011386747064534575,1
individual,4,carpet,2,700,0.5775365829467773,0.5752881765365601,-0.050951696932315826,0.00998002104461193,-62.656898498535156,-9.0,9.0,0.7327473163604736,0.2191362828016281,0.0023834712337702513,-0.0020604687742888927,2
individual,4,carpet,3,700,0.6141988039016724,0.6084590554237366,-0.05798918381333351,0.009970046579837799,-62.67405700683594,-9.0,9.0,0.7765786647796631,0.1718188226222992,0.004161173012107611,-0.0055826869793236256,3
individual,4,carpet,4,700,0.5875687599182129,0.5781429409980774,-0.07106708735227585,0.009960082359611988,-64.00054931640625,-9.0,9.0,0.7750169038772583,0.14740492403507233,0.005387250334024429,-0.01070726104080677,4
individual,4,carpet,5,700,0.5453572273254395,0.5265911221504211,-0.08389419317245483,0.009950127452611923,-62.57465362548828,-9.0,9.0,0.7611533999443054,0.15036645531654358,0.006213455460965633,-0.016140200197696686,5
individual,4,carpet,6,700,0.5307719111442566,0.5021159052848816,-0.10915690660476685,0.009940183721482754,-63.33279800415039,-9.0,9.0,0.7531528472900391,0.22947245836257935,0.006830715108662844,-0.024643627926707268,6
individual,4,carpet,7,700,0.553209662437439,0.507524847984314,-0.14367319643497467,0.009930248372256756,-63.539825439453125,-9.0,9.0,0.8203381299972534,0.1747077852487564,0.008501381613314152,-0.03702063113451004,7
individual,4,carpet,8,700,0.400795578956604,0.33874866366386414,-0.1923472285270691,0.009920324198901653,-63.75621032714844,-9.0,9.0,0.7610570192337036,0.13957037031650543,0.011972540058195591,-0.04544907435774803,8
individual,4,carpet,9,700,0.28178438544273376,0.21569478511810303,-0.2651101350784302,0.009910409338772297,-63.882320404052734,-9.0,9.0,0.7191143035888672,0.17186808586120605,0.016883566975593567,-0.053815919905900955,9
individual,4,carpet,10,700,0.24167975783348083,0.15283627808094025,-0.3590549826622009,0.009900504723191261,-63.33790588378906,-9.0,9.0,0.7731218934059143,0.1533314287662506,0.020559275522828102,-0.053546857088804245,10
individual,4,carpet,11,700,0.09775923192501068,0.039394576102495193,-0.4951402544975281,0.009890610352158546,-63.55418395996094,-9.0,9.0,0.736669659614563,0.13157851994037628,0.024556254968047142,-0.051722731441259384,11
individual,4,carpet,12,700,0.07249312102794647,0.029473217204213142,-0.6622263193130493,0.009880725294351578,-63.254638671875,-9.0,9.0,0.8211302757263184,0.17193154990673065,0.033176470547914505,-0.054589029401540756,12
