phase,terrain,policy_role,episode,episode_in_terrain,step,reward,individual_alpha,population_alpha,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg,Target_Delta_X_Norm,Target_Delta_Y_Norm,Target_Forward_Remaining_Norm,Theta_X_Norm,Theta_Y_Norm,Theta_Z_Norm,Motor1_Norm,Motor2_Norm,Motor3_Norm,Motor4_Norm,Motor5_Norm,Motor6_Norm,Motor7_Norm,A_Width_Norm,A_Angle_Norm,B_Width_Norm,B_Angle_Norm,Delta_Width_Norm,Delta_Angle_Norm,Terrain_Carpet,Terrain_Cardboard,Motor1_Action,Motor2_Action,Motor3_Action,Motor4_Action,Motor5_Action,Motor6_Action,Motor7_Action,position_x_cm,position_y_cm,position_z_cm,orientation_x_rad,orientation_y_rad,orientation_z_rad,start_x_cm,start_y_cm,start_z_cm,dmax_cm,delta_x_cm,delta_y_cm,delta_forward_cm,forward_scale_cm,position_observation_mode,theta_x_rad,theta_y_rad,theta_z_rad,target_x_cm,target_y_cm,target_z_cm,motor1_deg,motor2_deg,motor3_deg,motor4_deg,motor5_deg,motor6_deg,motor7_deg,motor1_angle_deg,motor2_angle_deg,motor3_angle_deg,motor4_angle_deg,motor5_angle_deg,motor6_angle_deg,motor7_angle_deg,forward_curr_cm,forward_target_cm,distance_error_cm,forward_reward,yaw_reward,yaw_penalty_rad,yaw_rad,success_bonus,time_penalty,yaw_penalty_axis,terminated_by_target,truncated_by_episode_length
train,carpet,individual,1,1,1,0.5629614228515051,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.75,0.0,0.9,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03194888308644295,-0.011182108893990517,0.05431310087442398,0.05271565541625023,-0.015974441543221474,0.09265175461769104,-0.022364217787981033,0.3333333432674408,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,0.0,-0.21591073274612427,-0.03188074380159378,0.4231279194355011,-0.1296972930431366,0.968177855014801,0.7308993339538574,0.8913866281509399,-137.87977600097656,7.611776828765869,-6.128722190856934,-3.049455165863037,2.848996877670288,0.09233774989843369,-144.48402404785156,8.085272789001465,-8.089927673339844,40.0,-6.604248046875,0.4734959602355957,78.87127685546875,40.0,target_relative,0.36490392684936523,-0.3814890384674072,0.9217321872711182,-144.48402404785156,8.085272789001465,-85.0,-11.333866119384766,-1.9329073429107666,20.119808197021484,-8.961661338806152,13.706070899963379,13.003194808959961,34.616615295410156,-11.333866119384766,-1.9329073429107666,20.119808197021484,-8.961661338806152,13.706070899963379,13.003194808959961,34.616615295410156,-1.9612054824829102,76.91007232666016,78.87127780914307,0.3784081343917272,0.1855532884597778,0.3814890384674072,-0.3814890384674072,0.0,-0.001,y,False,False
train,carpet,individual,1,1,2,-0.00464041655543168,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.75,0.0,0.9,30.0,-0.16510620713233948,0.011837398633360863,1.0,0.11615252494812012,-0.12143173068761826,0.2933964729309082,-0.20607028901576996,-0.03514377027750015,0.3658146858215332,-0.16293929517269135,0.24920128285884857,0.23642171919345856,0.6293929815292358,0.3333333432674408,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,0.0,-0.5982381701469421,0.008952331729233265,0.6071716547012329,0.24537037312984467,0.5854774117469788,0.4556431472301483,-0.8051267862319946,-139.095947265625,8.053488731384277,-7.260975360870361,0.3632599413394928,0.9207765460014343,-1.0322777032852173,-144.48402404785156,8.085272789001465,-8.089927673339844,40.0,-5.3880767822265625,0.0317840576171875,77.73902130126953,40.0,target_relative,-2.505566120147705,-2.3097097873687744,-0.20288348197937012,-144.48402404785156,8.085272789001465,-85.0,-30.48722267150879,-0.9664536714553833,25.30351448059082,-6.7651753425598145,17.39616584777832,24.073482513427734,-18.626197814941406,-30.48722267150879,-0.9664536714553833,25.30351448059082,-6.7651753425598145,17.39616584777832,24.073482513427734,-18.626197814941406,-0.8289523124694824,76.91007232666016,77.73902463912964,0.38927251965520066,-0.39291293621063234,2.3097097873687744,-2.3097097873687744,0.0,-0.001,y,False,False
train,carpet,individual,1,1,3,0.6780316120525473,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.75,0.0,0.9,30.0,-0.1347019225358963,0.0007946014520712197,1.0,-0.7975464463233948,-0.7352034449577332,-0.06457981467247009,-0.5543131232261658,-0.017571885138750076,0.4600639045238495,-0.12300318479537964,0.3162939250469208,0.43769967555999756,-0.3386581540107727,0.3333333432674408,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,0.0,-0.005746406968683004,-0.1321919560432434,0.26756751537323,0.981166422367096,0.6364437341690063,0.8999536633491516,0.012608872726559639,-136.8637237548828,7.417196750640869,-6.816296100616455,3.1111526489257812,-3.0724902153015137,-0.03956056758761406,-144.48402404785156,8.085272789001465,-8.089927673339844,40.0,-7.62030029296875,0.6680760383605957,78.18370056152344,40.0,target_relative,0.2423264980316162,-0.019791126251220703,0.7898337841033936,-144.48402404785156,8.085272789001465,-85.0,-1.8450478315353394,-7.292332649230957,14.848243713378906,-6.677316188812256,20.2955265045166,27.5,-4.129393100738525,-1.8450478315353394,-7.292332649230957,14.848243713378906,-6.677316188812256,20.2955265045166,27.5,-4.129393100738525,-1.2736315727233887,76.91007232666016,78.18370389938354,0.38496894992791353,0.2940626621246338,0.019791126251220703,-0.019791126251220703,0.0,-0.001,y,False,False
train,carpet,individual,1,1,4,0.6857208665077573,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.75,0.0,0.9,30.0,-0.19050750136375427,0.016701901331543922,1.0,0.07713491469621658,-0.0062997108325362206,0.25141188502311707,-0.0335463248193264,-0.13258786499500275,0.26996806263923645,-0.12140575051307678,0.3690095841884613,0.5,-0.07507987320423126,0.3333333432674408,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,0.0,-0.17090605199337006,-0.32099851965904236,-0.4922221601009369,0.05912504345178604,-0.8633884191513062,-0.9178261160850525,-0.10552643239498138,-137.3538055419922,7.340391159057617,-7.3797993659973145,3.135418176651001,-3.0650649070739746,-0.026242442429065704,-144.48402404785156,8.085272789001465,-8.089927673339844,40.0,-7.130218505859375,0.7448816299438477,77.62020111083984,40.0,target_relative,0.26659202575683594,-0.01236581802368164,0.8031518459320068,-144.48402404785156,8.085272789001465,-85.0,-7.380191326141357,-11.86102294921875,0.9664536714553833,6.5015974044799805,-13.178914070129395,3.1629393100738525,-3.865814685821533,-7.380191326141357,-11.86102294921875,0.9664536714553833,6.5015974044799805,-13.178914070129395,3.1629393100738525,-3.865814685821533,-0.7101283073425293,76.91007232666016,77.62020063400269,0.39043061191486184,0.2962902545928955,0.01236581802368164,-0.01236581802368164,0.0,-0.001,y,False,False
train,carpet,individual,1,1,5,0.586309094365505,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.75,0.0,0.9,30.0,-0.17825546860694885,0.01862204074859619,1.0,0.08485887199640274,-0.0039361622184515,0.25565117597579956,-0.1341852992773056,-0.21565496921539307,0.017571885138750076,0.11821085959672928,-0.23961661756038666,0.057507988065481186,-0.0702875405550003,0.3333333432674408,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,0.0,0.6675195097923279,0.9126453399658203,0.489776074886322,-0.5363004207611084,0.81132972240448,0.10584335029125214,-0.4146837890148163,-139.72799682617188,7.653121471405029,-5.965776443481445,-3.1398892402648926,-2.7541635036468506,-0.13801296055316925,-144.48402404785156,8.085272789001465,-8.089927673339844,40.0,-4.7560272216796875,0.43215131759643555,79.03422546386719,40.0,target_relative,0.27446985244750977,0.2985355854034424,0.6913812160491943,-144.48402404785156,8.085272789001465,-85.0,24.42491912841797,0.615015983581543,13.793930053710938,-28.730030059814453,38.921722412109375,5.535143852233887,-22.40415382385254,24.42491912841797,0.615015983581543,13.793930053710938,-28.730030059814453,38.921722412109375,5.535143852233887,-22.40415382385254,-2.1241512298583984,76.91007232666016,79.03422355651855,0.3768697699865378,0.21043932437896729,0.2985355854034424,0.2985355854034424,0.0,-0.001,y,False,False
train,carpet,individual,1,1,6,0.5903918791923083,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.75,0.0,0.9,30.0,-0.11890067905187607,0.010803783312439919,1.0,0.08736646175384521,0.09502682834863663,0.22007347643375397,0.44408944249153137,0.011182108893990517,0.2507987320423126,-0.5223641991615295,0.7076677083969116,0.1006389781832695,-0.40734824538230896,0.3333333432674408,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,0.0,0.6993420720100403,-0.9929043054580688,-0.8724249005317688,0.826049268245697,0.40863656997680664,0.7085745930671692,-0.445377916097641,-139.5479278564453,7.495664119720459,-6.074063301086426,-3.1224424839019775,-2.7643673419952393,-0.15276749432086945,-144.48402404785156,8.085272789001465,-8.089927673339844,40.0,-4.93609619140625,0.5896086692810059,78.92593383789062,40.0,target_relative,0.2919168472290039,0.2883317470550537,0.6766266822814941,-144.48402404785156,8.085272789001465,-85.0,39.44887924194336,-13.442492485046387,-9.928114891052246,11.24600601196289,16.869009017944336,25.830671310424805,-25.654951095581055,39.44887924194336,-13.442492485046387,-9.928114891052246,11.24600601196289,16.869009017944336,25.830671310424805,-25.654951095581055,-2.015864372253418,76.91007232666016,78.92593669891357,0.37789140330882437,0.21350047588348386,0.2883317470550537,0.2883317470550537,0.0,-0.001,y,False,False
train,carpet,individual,1,1,7,0.48605808816753604,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.75,0.0,0.9,30.0,-0.12340240180492401,0.014740216545760632,1.0,0.09292001277208328,0.09177884459495544,0.21537695825099945,0.7172523736953735,-0.24440895020961761,-0.18051117658615112,0.2044728398323059,0.30670925974845886,0.4696485698223114,-0.4664536416530609,0.3333333432674408,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,0.0,-0.06315720826387405,-0.6151997447013855,-0.28389158844947815,0.8836734294891357,-0.02545296400785446,-0.7458948493003845,-0.6852315664291382,-142.11891174316406,7.736467361450195,-3.9477322101593018,3.075434684753418,-2.481799602508545,0.24203220009803772,-144.48402404785156,8.085272789001465,-8.089927673339844,40.0,-2.3651123046875,0.34880542755126953,81.0522689819336,40.0,target_relative,0.20660853385925293,0.570899486541748,1.0714266300201416,-144.48402404785156,8.085272789001465,-85.0,6.7651753425598145,-15.2875394821167,-12.036741256713867,41.64536666870117,-1.054313063621521,-8.785943031311035,-35.583065032958984,6.7651753425598145,-15.2875394821167,-12.036741256713867,41.64536666870117,-1.054313063621521,-8.785943031311035,-35.583065032958984,-4.142195463180542,76.91007232666016,81.0522677898407,0.3583279341300604,0.1287301540374756,0.570899486541748,0.570899486541748,0.0,-0.001,y,False,False
train,carpet,individual,1,1,8,0.6028680825076456,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.75,0.0,0.9,30.0,-0.0591278076171875,0.008720135316252708,1.0,0.06576553732156754,0.18172293901443481,0.34104567766189575,0.12300318479537964,-0.2779552638530731,-0.21884983777999878,0.7571884989738464,-0.01916932873427868,-0.15974441170692444,-0.6469648480415344,0.3333333432674408,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,0.0,-0.8637709617614746,0.8090022206306458,0.528232216835022,0.8982250094413757,-0.9187978506088257,-0.2586912512779236,0.5269044637680054,-136.9879913330078,7.63782262802124,-5.661563873291016,-3.0974459648132324,2.9966647624969482,0.03553638607263565,-144.48402404785156,8.085272789001465,-8.089927673339844,40.0,-7.49603271484375,0.4474501609802246,79.33843994140625,40.0,target_relative,0.3169131278991699,-0.23382115364074707,0.8649303913116455,-144.48402404785156,8.085272789001465,-85.0,-46.03833770751953,10.806709289550781,1.230031967163086,47.00479507446289,-31.01437759399414,-12.65175724029541,27.5,-46.03833770751953,10.806709289550781,1.230031967163086,47.00479507446289,-31.01437759399414,-12.65175724029541,27.5,-2.428363800048828,76.91007232666016,79.33843612670898,0.37401442859986966,0.22985365390777587,0.23382115364074707,-0.23382115364074707,0.0,-0.001,y,False,False
train,carpet,individual,1,1,9,0.5959208280038477,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.75,0.0,0.9,30.0,-0.18740081787109375,0.01118625421077013,1.0,0.1008765771985054,-0.07442758232355118,0.27531588077545166,-0.8370606899261475,0.19648562371730804,0.022364217787981033,0.8546326160430908,-0.5638977885246277,-0.23003195226192474,0.5,0.3333333432674408,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,0.0,0.8392712473869324,-0.2494433969259262,0.28816989064216614,0.8918933272361755,-0.7372581958770752,-0.12013677507638931,0.44561976194381714,-136.96337890625,7.420925617218018,-5.565603256225586,3.10538649559021,2.9764952659606934,-0.12392603605985641,-144.48402404785156,8.085272789001465,-8.089927673339844,40.0,-7.5206451416015625,0.6643471717834473,79.43439483642578,40.0,target_relative,0.23656034469604492,-0.25399136543273926,0.7054681777954102,-144.48402404785156,8.085272789001465,-85.0,-9.664536476135254,-16.166135787963867,14.584665298461914,48.58626174926758,-38.13098907470703,-6.062300205230713,25.039936065673828,-9.664536476135254,-16.166135787963867,14.584665298461914,48.58626174926758,-38.13098907470703,-6.062300205230713,25.039936065673828,-2.524324417114258,76.91007232666016,79.43439674377441,0.3731182376336695,0.22380259037017822,0.25399136543273926,-0.25399136543273926,0.0,-0.001,y,False,False
train,carpet,individual,1,1,10,0.5525719917004198,0.009999999776482582,0.009999999776482582,heterogeneous_ab,0.75,0.0,0.9,30.0,-0.1880161315202713,0.01660867966711521,1.0,0.07529949396848679,-0.08084796369075775,0.22455748915672302,-0.17571884393692017,-0.2939297556877136,0.2651757299900055,0.8833865523338318,-0.6932907104492188,-0.11022364348173141,0.45527157187461853,0.3333333432674408,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,0.0,0.9817395806312561,0.5170836448669434,0.28373757004737854,0.7133208513259888,-0.9842673540115356,0.7865788340568542,-0.9032328724861145,-142.00091552734375,7.494208335876465,-3.7629611492156982,-3.0982799530029297,-2.709017276763916,-0.1495709866285324,-144.48402404785156,8.085272789001465,-8.089927673339844,40.0,-2.4831085205078125,0.591064453125,81.2370376586914,40.0,target_relative,0.31607961654663086,0.34368181228637695,0.6798231601715088,-144.48402404785156,8.085272789001465,-85.0,23.194889068603516,-16.34185218811035,12.915335655212402,39.09744644165039,-53.24281311035156,42.69968032836914,-36.54951858520508,23.194889068603516,-16.34185218811035,12.915335655212402,39.09744644165039,-53.24281311035156,42.69968032836914,-36.54951858520508,-4.3269665241241455,76.91007232666016,81.2370388507843,0.35667653538633287,0.1968954563140869,0.34368181228637695,0.34368181228637695,0.0,-0.001,y,False,False
