Episode,run_id,steps,last_timestep,terrain,terrain_id,terrain_block,episode_in_block,final_cumulative_reward,sum_reward,mean_reward_per_step,sum_progress_cm,sum_raw_progress_cm,mean_progress_reward,sum_progress_reward,start_x,final_x,start_y,final_y,mean_abs_x_position,mean_abs_y_position,no_progress_steps,backward_steps,sum_Progress_Reward,mean_Progress_Reward,sum_X_Drift_Penalty,mean_X_Drift_Penalty,sum_Heading_Penalty,mean_Heading_Penalty,sum_Living_Penalty,mean_Living_Penalty,sum_No_Progress_Penalty,mean_No_Progress_Penalty,sum_Backward_Penalty,mean_Backward_Penalty,mean_abs_Motor1_Action,mean_abs_Motor2_Action,mean_abs_Motor3_Action,mean_abs_Motor4_Action,mean_abs_Motor5_Action,mean_abs_Motor6_Action,mean_abs_Motor7_Action,delta_x,delta_y,reward_sum_delta
0,20260416_161832_958627,121,120,artificial_grass,2,0,0,48.42860716643536,48.428607166435356,0.4002364228631021,106.89564497310212,109.60104763507843,0.41234069933812456,49.89322461991307,1.28760826587677,1.7709681987762451,0.3028879761695862,-0.7703638076782227,1.4533618875771515,0.2784414031073328,10,0,49.89322461991307,0.41234069933812456,1.097626865980695,0.009071296413063595,49.783297237969364,0.4114322085782592,2.42,0.02,0.498463629030774,0.004119534124221273,0.0,0.0,0.4953602264272728,0.5164025604380166,0.4784964280421487,0.523918286885124,0.4616559504099173,0.516687882768595,0.525226184785124,0.4833599328994751,-1.0732517838478088,7.105427357601002e-15
1,20260416_161832_958627,92,91,artificial_grass,2,0,1,41.588039401920256,41.58803940192027,0.4520439065426116,85.2944718920376,88.01225125789642,0.43203461657147424,39.74718472457563,1.1746865510940552,1.7184280157089231,0.1588655114173889,-0.76546710729599,1.357732126246328,0.2758745028961288,0,0,39.74718472457563,0.43203461657147424,2.687701578956447,0.029214147597352684,2.650759366096684,0.028812601805398737,1.84,0.02,0.0,0.0,0.0,0.0,0.5419169144107677,0.47711370045536844,0.5115471500700907,0.47840451204177475,0.46473763470092544,0.5566721354692202,0.4929576912064753,0.5437414646148679,-0.9243326187133789,-1.4210854715202004e-14
2,20260416_161832_958627,95,94,artificial_grass,2,0,2,43.313541809633925,43.31354180963393,0.4559320190487782,90.85691420399837,86.63742691278458,0.43528024381707064,41.35162316262171,1.1323480606079102,1.481379747390747,0.2256522625684738,-0.8061549663543701,1.2490988329837196,0.32126738107518144,0,0,41.35162316262171,0.43528024381707064,0.29647733674504,0.0031208140710004212,2.657614924974707,0.027974893947102182,1.9000000000000001,0.02,0.0,0.0,0.0,0.0,0.5109748370945454,0.5807443971721161,0.5684301232232859,0.5254400220233947,0.5323128461641701,0.552710641312756,0.4988312794728891,0.3490316867828369,-1.031807228922844,-7.105427357601002e-15
3,20260416_161832_958627,98,97,artificial_grass,2,0,3,38.27591101546197,38.27591101546196,0.39057052056593833,84.40815754867165,91.44065082073212,0.3748275861785165,36.73310344549462,1.1028244495391846,1.3906311988830566,0.2488666623830795,-0.7971434593200684,1.2346276507085683,0.2631666357201353,6,0,36.73310344549462,0.3748275861785165,0.18024828452116434,0.001839268209399636,4.279062384560465,0.04366390188327005,1.96,0.02,0.30000000000000004,0.0030612244897959186,0.0,0.0,0.5624742038471966,0.44773010671024727,0.514617283528015,0.4458498041601662,0.5286595999852431,0.4947427328276847,0.563552857913571,0.28780674934387207,-1.0460101217031479,1.4210854715202004e-14
4,20260416_161832_958627,143,142,artificial_grass,2,0,4,43.33896334897884,43.33896334897882,0.30306967376908267,93.67572452017968,89.98081982135773,0.3156947333006065,45.144346861986726,1.2944055795669556,1.877593159675598,0.216539517045021,-0.7917400002479553,1.6084890123847482,0.33083429500148015,6,0,45.144346861986726,0.3156947333006065,29.131840138886208,0.20371916181039307,1.2186445356251698,0.008521989759616572,2.86,0.02,0.269306892833967,0.0018832649848529162,0.0,0.0,0.5547354602274466,0.5482092878970128,0.5412308093961459,0.5053333882384907,0.49902249126649506,0.5490983766015176,0.6679038718941953,0.5831875801086424,-1.0082795172929764,1.4210854715202004e-14
5,20260416_161832_958627,161,160,artificial_grass,2,0,5,46.3439872180108,46.34398721801082,0.28785085228578144,97.80584765637543,96.33985012769699,0.2906460928535677,46.79402094942439,1.238969802856445,1.7989892959594729,0.2672524452209472,-0.7715803384780884,1.4338197263871661,0.30481121045253845,5,0,46.79402094942439,0.2906460928535677,16.209185251489096,0.10067816926390742,0.006605712655065,4.102927114947205e-05,3.22,0.02,0.2277051708684894,0.0014143178314813007,0.0,0.0,0.5636066320315741,0.5066370214433236,0.5086918530627067,0.5300822185803644,0.5692640626745195,0.5962816499844656,0.6886358885210215,0.5600194931030278,-1.0388327836990356,-1.4210854715202004e-14
6,20260416_161832_958627,145,144,artificial_grass,2,0,6,43.27293369477965,43.27293369477966,0.29843402548123904,89.90869023402033,94.08636689186096,0.292700840372379,42.44162185399495,1.3811683654785156,1.3608522415161133,0.2853089570999145,-0.7502033710479736,1.435631593342485,0.29473554172135635,3,0,42.44162185399495,0.292700840372379,2.4525460862429713,0.016914110939606698,3.9890308784068433,0.02751055778211616,2.9,0.02,0.15000000000000002,0.00103448275862069,0.0,0.0,0.4548369325845952,0.5343926353026823,0.5253340364899486,0.48975804669878864,0.5137370857859737,0.6006552232830817,0.7752203562433414,-0.020316123962402344,-1.0355123281478882,-7.105427357601002e-15
7,20260416_161832_958627,114,113,artificial_grass,2,0,7,46.09118214856878,46.0911821485688,0.4043086153383228,92.06204497496431,94.97491121292114,0.38830482041180686,44.26674952694598,1.150410771369934,1.4975188970565796,0.2287667393684387,-0.7569320797920227,1.2902275114728694,0.3398003764205465,1,0,44.26674952694598,0.38830482041180686,1.270580044331925,0.011145438985367764,0.8635589161510878,0.007575078211851647,2.2800000000000002,0.020000000000000004,0.05,0.0004385964912280702,0.0,0.0,0.5124666753731537,0.5293537633036051,0.5675640139696106,0.5368508581897211,0.5509886832973152,0.5688728892393492,0.5455227679115507,0.3471081256866455,-0.9856988191604614,-2.1316282072803006e-14
8,20260416_161832_958627,175,174,carpet,0,1,0,-45.98954807898548,-45.98954807898548,-0.2627974175942027,-70.74553331359084,-83.5641011595726,-0.15496745315370833,-27.119304301898957,1.6642954349517822,2.5916030406951904,0.1901214569807052,1.0207829475402832,2.2322549091066635,0.3807684221437999,118,0,-27.119304301898957,-0.15496745315370833,78.75299621817025,0.45001712124668714,38.566572037206264,0.22038041164117864,3.5,0.02,5.566615553409172,0.0318092317337667,0.0,0.0,0.5518343246089561,0.5638572492344038,0.5270150854917509,0.5984641742493425,0.5217655608317415,0.5349908262384789,0.6116018257875527,0.9273076057434082,0.8306614905595779,0.0
9,20260416_161832_958627,175,174,carpet,0,1,1,-0.4586155911848135,-0.4586155911848129,-0.0026206605210560736,13.903095517336395,12.629198096692566,0.037855602443391125,6.624730427593446,1.5885246992111206,1.685068964958191,0.1974133253097534,0.0217810664325952,1.6783967556272235,0.11037538830856125,74,0,6.624730427593446,0.037855602443391125,0.00022118384539809516,1.2639076879891152e-06,5.122328995096959,0.02927045140055405,3.5,0.02,3.3272074506388702,0.019012614003650688,0.0,0.0,0.5460266577798341,0.5244317214290745,0.4970796962760921,0.6036980691765036,0.5214654798646058,0.49499330394768287,0.5029156916961074,0.09654426574707031,-0.1756322588771582,-6.106226635438361e-16
