Episode,Run_ID,rows,selected
1.0,20260512_134433_195377,1,False
1.0,20260512_134929_073283,1,False
1.0,20260512_144014_950712,13,False
1.0,20260512_174021_057452,1,True
2.0,20260512_134929_073283,1,False
2.0,20260512_144014_950712,12,True
3.0,20260512_135623_891601,1,False
3.0,20260512_144014_950712,11,True
4.0,20260512_135623_891601,1,False
4.0,20260512_144014_950712,10,True
5.0,20260512_135623_891601,1,False
5.0,20260512_144014_950712,9,True
6.0,20260512_142603_229020,1,False
6.0,20260512_144014_950712,8,True
7.0,20260512_142603_229020,1,False
7.0,20260512_144014_950712,7,True
28.0,20260512_151740_376975,1,False
28.0,20260512_155125_851292,22,True
71.0,20260512_181911_514205,1,False
71.0,20260512_182331_394015,2,False
71.0,20260512_182932_429947,3,True
72.0,20260512_182331_394015,1,False
72.0,20260512_182932_429947,2,True
