Episode,Run_ID,rows,first_timestep,last_timestep,terrain,terrain_block,final_cumulative_reward,sum_reward,sum_progress_cm,sum_raw_progress_cm,selected
0,20260512_133036_131976,175,0,174,carpet,0,-18.82122074502744,-18.821220745027436,-37.846716272154794,-40.29145985841751,False
0,20260512_133240_587511,175,0,174,carpet,0,-14.975261632101718,-14.975261632101718,-24.750727232673615,-25.823456048965458,False
0,20260512_133752_773565,175,0,174,carpet,0,-20.607418206347106,-20.60741820634711,-37.16992668507925,-39.57823365926742,False
0,20260512_144014_950712,175,0,174,carpet,0,-18.23660892510194,-18.236608925101933,-33.55632525924295,-36.24849319458007,True
1,20260512_134433_195377,175,0,174,carpet,0,-34.74274305585756,-34.74274305585755,-72.48823907816501,-77.34504044055939,False
1,20260512_134929_073283,175,0,174,carpet,0,-20.41627152854388,-20.416271528543874,-37.740049642519466,-41.49990528821945,False
1,20260512_144014_950712,175,0,174,carpet,0,-29.66337997353905,-29.663379973539055,-55.083052456071556,-57.64138847589493,True
2,20260512_134929_073283,175,0,174,carpet,0,-20.637312695128205,-20.6373126951282,-34.82296607359195,-42.09476262331009,False
2,20260512_144014_950712,175,0,174,carpet,0,-58.19914500196477,-58.19914500196478,-118.91593918401628,-127.93886512517929,True
3,20260512_135623_891601,175,0,174,carpet,0,4.807436424152891,4.807436424152887,15.325544409533903,15.02801813185215,False
3,20260512_144014_950712,175,0,174,carpet,0,-28.43059985921217,-28.430599859212165,-50.424361885027054,-52.22965478897095,True
4,20260512_135623_891601,175,0,174,carpet,0,-0.9028983971749104,-0.9028983971749107,3.3201386378877107,2.808326482772829,False
4,20260512_144014_950712,175,0,174,carpet,0,8.142383491724443,8.142383491724443,19.063175153969635,20.52096016705036,True
5,20260512_135623_891601,175,0,174,carpet,0,5.283949720175041,5.283949720175043,14.29867742614401,14.742318913340569,False
5,20260512_144014_950712,175,0,174,carpet,0,6.74676431449361,6.746764314493611,18.2577738797103,18.467684835195538,True
6,20260512_142603_229020,175,0,174,carpet,0,8.607518256081,8.607518256081,20.640285608381745,22.42755815386772,False
6,20260512_144014_950712,175,0,174,carpet,0,5.049965565291252,5.049965565291254,13.803651416085941,15.880458056926727,True
7,20260512_142603_229020,175,0,174,carpet,0,6.96914587319652,6.9691458731965215,18.03535390343987,17.933594062924385,False
7,20260512_144014_950712,175,0,174,carpet,0,9.2594308928007,9.259430892800692,21.593770358521496,21.420119144022465,True
28,20260512_151740_376975,175,0,174,carpet,0,4.5573374057768525,4.557337405776852,12.71550161865464,13.916748762130739,False
28,20260512_155125_851292,175,0,174,carpet,0,6.691841480665784,6.691841480665782,16.302698630490383,17.580572515726093,True
