Episode,run_id,steps,last_timestep,terrain,terrain_id,terrain_block,episode_in_block,final_cumulative_reward,sum_reward,mean_reward_per_step,sum_progress_cm,sum_raw_progress_cm,mean_progress_reward,sum_progress_reward,start_x,final_x,start_y,final_y,mean_abs_x_position,mean_abs_y_position,no_progress_steps,backward_steps,scale_design_mode,design_config,a_width_ratio,a_attack_angle_deg,a_actual_width,b_width_ratio,b_attack_angle_deg,b_actual_width,width_delta,attack_angle_delta,sum_Progress_Reward,mean_Progress_Reward,sum_X_Drift_Penalty,mean_X_Drift_Penalty,sum_Heading_Penalty,mean_Heading_Penalty,sum_Living_Penalty,mean_Living_Penalty,sum_No_Progress_Penalty,mean_No_Progress_Penalty,sum_Backward_Penalty,mean_Backward_Penalty,mean_abs_Motor1_Action,mean_abs_Motor2_Action,mean_abs_Motor3_Action,mean_abs_Motor4_Action,mean_abs_Motor5_Action,mean_abs_Motor6_Action,mean_abs_Motor7_Action,delta_x,delta_y,reward_sum_delta
0,20260512_144014_950712,175,174,carpet,0,0,0,-18.23660892510194,-18.236608925101933,-0.10420919385772533,-33.55632525924295,-36.24849319458007,-0.07199991448997134,-12.599985035744984,2.0015480518341064,0.9541245698928832,0.2756250202655792,0.6308802962303162,1.583674953324454,0.2954187331880842,93,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-12.599985035744984,-0.07199991448997134,53.80646631399843,0.3074655217942767,15.956085546614533,0.09117763169494018,0.1999999999999925,0.0011428571428571,0.8723669700463323,0.0049849541145504704,0.0,0.0,0.5041120583430997,0.5055844525340945,0.4738269741447376,0.5348227333809649,0.48827838657423855,0.5218208174952971,0.4851931818405033,-1.0474234819412231,0.35525527596473694,-7.105427357601002e-15
1,20260512_144014_950712,175,174,carpet,0,0,1,-29.66337997353905,-29.663379973539055,-0.16950502842022316,-55.083052456071556,-57.64138847589493,-0.12568333062811543,-21.9945828599202,2.0152032375335693,0.9927309155464172,0.2313744276762008,0.7910401225090027,1.4878554681369236,0.36460004610674723,104,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-21.9945828599202,-0.12568333062811543,76.40846476048532,0.43661979863134465,22.51258745252022,0.1286433568715441,0.1999999999999925,0.0011428571428571,0.9945752077588705,0.00568328690147926,0.0,0.0,0.5128777165444834,0.47179482636407816,0.5083896180987358,0.4787104143135782,0.4795132475106844,0.5329146438091993,0.5143789562609579,-1.022472321987152,0.5596656948328018,3.552713678800501e-15
2,20260512_144014_950712,175,174,carpet,0,0,2,-58.19914500196477,-58.19914500196478,-0.3325665428683702,-118.91593918401628,-127.93886512517929,-0.26780980638309215,-46.86671611704112,1.8913185596466064,0.9694255590438844,0.277270644903183,1.5072916746139526,1.271038907255445,0.6200227275916508,136,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-46.86671611704112,-0.26780980638309215,106.63140469014546,0.6093223125151169,46.652863130747285,0.2665877893185559,0.1999999999999925,0.0011428571428571,1.3355874000761063,0.007631928000434893,0.0,0.0,0.5494416555389762,0.5547162267964866,0.5448638625281248,0.49534528784986054,0.5227653005799012,0.5762515675063644,0.5419233591854572,-0.9218930006027221,1.2300210297107697,7.105427357601002e-15
3,20260512_144014_950712,175,174,carpet,0,0,3,-28.43059985921217,-28.430599859212165,-0.16246057062406952,-50.424361885027054,-52.22965478897095,-0.11660864546954425,-20.406512957170243,1.8810341358184808,0.9076998233795166,0.2346480041742324,0.7194293141365051,1.3838677910396031,0.31297812248979295,112,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-20.406512957170243,-0.11660864546954425,78.0986530558899,0.446278017462228,25.77649170817578,0.14729423833243302,0.1999999999999925,0.0011428571428571,1.0683566027208364,0.006104894872690494,0.0,0.0,0.5410526875965297,0.494587764187849,0.5150059317797422,0.5141108619235456,0.5161763023664909,0.5045545403007418,0.5606327314195888,-0.9733343124389642,0.48478130996227276,-3.552713678800501e-15
4,20260512_144014_950712,175,174,carpet,0,0,4,8.142383491724443,8.142383491724443,0.04652790566699682,19.063175153969635,20.52096016705036,0.052182845479253004,9.131997958869276,2.0600976943969727,1.990540623664856,0.2609507441520691,0.0159974060952663,2.006105940682547,0.1379823643288442,63,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,9.131997958869276,0.052182845479253004,0.0,0.0,4.261230326482745,0.024349887579901402,0.1999999999999925,0.0011428571428571,0.5765529508206936,0.0032945882904039632,0.0,0.0,0.4582749094228659,0.5100643977735724,0.49618686853508864,0.5235572973106588,0.4872797290348847,0.5250223462017519,0.5586066740139255,-0.0695570707321167,-0.2449533380568028,0.0
5,20260512_144014_950712,175,174,carpet,0,0,5,6.74676431449361,6.746764314493611,0.03855293893996349,18.2577738797103,18.467684835195538,0.051084656306582515,8.93981485365194,2.0419468879699707,2.1210622787475586,0.3089381754398346,0.0646664574742317,2.0619222395760675,0.1891679238847324,69,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,8.93981485365194,0.051084656306582515,0.0012581338981350653,7.189336560771802e-06,26.486879965539202,0.15135359980308116,0.1999999999999925,0.0011428571428571,0.6686184715084991,0.003820676980048566,0.0,0.0,0.5855870689158993,0.4851005852747975,0.5663075764876391,0.5041808767723186,0.5328977291392428,0.5557555324371372,0.66000304430191,0.07911539077758789,-0.24427171796560287,-1.7763568394002505e-15
6,20260512_144014_950712,175,174,carpet,0,0,6,5.049965565291252,5.049965565291254,0.028856946087378595,13.803651416085941,15.880458056926727,0.03930973763108662,6.879204085440158,2.021989345550537,2.022913694381714,0.1319517940282821,-0.0489831641316413,2.0492126328604563,0.079449060490754,79,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,6.879204085440158,0.03930973763108662,0.0,0.0,17.859464437512436,0.10205408250007106,0.1999999999999925,0.0011428571428571,0.7362652982732812,0.004207230275847322,0.0,0.0,0.4685409266584819,0.53754302006614,0.5118833432878767,0.49222266120570046,0.5328706360129374,0.5360643503123096,0.6051059238958572,0.0009243488311767578,-0.18093495815992341,-1.7763568394002505e-15
7,20260512_144014_950712,175,174,carpet,0,0,7,9.2594308928007,9.259430892800692,0.05291103367314681,21.593770358521496,21.420119144022465,0.05897830165945944,10.321202790405403,1.987467646598816,1.6515986919403076,0.2383685857057571,-0.004745939746499,1.8790699638639177,0.13787795524711585,60,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,10.321202790405403,0.05897830165945944,2.054509506037869,0.011740054320216393,3.7691213591347097,0.021537836337912626,0.1999999999999925,0.0011428571428571,0.5295001642253236,0.0030257152241447067,0.0,0.0,0.5326431053477738,0.5300596599280835,0.5213106161076575,0.5357836981224162,0.5236448763490521,0.5569865841391896,0.555256153584591,-0.3358689546585083,-0.24311452545225612,7.105427357601002e-15
8,20260512_144014_950712,175,174,carpet,0,0,8,9.479368346802454,9.479368346802454,0.05416781912458545,21.696171014996892,22.090994566679004,0.05953073209952034,10.417878117416059,1.923641562461853,1.4569916725158691,0.1294052451848983,-0.1001773029565811,1.7321179294586182,0.06646598936291408,41,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,10.417878117416059,0.05953073209952034,5.492050777925285,0.0313831473024302,0.2940714010633944,0.0016804080060765394,0.1999999999999925,0.0011428571428571,0.3393626461056638,0.0019392151206037932,0.0,0.0,0.5617803926925574,0.547332460050072,0.5307156308141671,0.5591528478690556,0.5377173185827476,0.5306990466187043,0.47923019404123934,-0.4666498899459839,-0.22958254814147938,0.0
9,20260512_144014_950712,175,174,carpet,0,0,9,-6.232866312551331,-6.232866312551331,-0.035616378928864746,-1.804554357064433,-1.4052435755729684,-0.006123071387712999,-1.0715374928497747,1.80376660823822,1.061817646026611,0.221116840839386,0.2195193618535995,1.3978351702008929,0.19779244312218258,109,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-1.0715374928497747,-0.006123071387712999,56.75895519481934,0.3243368868275391,0.0540848572305853,0.000309056327031916,0.1999999999999925,0.0011428571428571,0.9854977132026742,0.005631415504015281,0.0,0.0,0.5428186286932656,0.5377227250114083,0.5050167071499995,0.5501541464083961,0.49931127939373254,0.44822569183473077,0.43486520306074194,-0.7419489622116089,-0.0015974789857864935,0.0
