Episode,run_id,steps,last_timestep,terrain,terrain_id,terrain_block,episode_in_block,final_cumulative_reward,sum_reward,mean_reward_per_step,sum_progress_cm,sum_raw_progress_cm,mean_progress_reward,sum_progress_reward,start_x,final_x,start_y,final_y,mean_abs_x_position,mean_abs_y_position,no_progress_steps,backward_steps,scale_design_mode,design_config,a_width_ratio,a_attack_angle_deg,a_actual_width,b_width_ratio,b_attack_angle_deg,b_actual_width,width_delta,attack_angle_delta,sum_Progress_Reward,mean_Progress_Reward,sum_X_Drift_Penalty,mean_X_Drift_Penalty,sum_Heading_Penalty,mean_Heading_Penalty,sum_Living_Penalty,mean_Living_Penalty,sum_No_Progress_Penalty,mean_No_Progress_Penalty,sum_Backward_Penalty,mean_Backward_Penalty,mean_abs_Motor1_Action,mean_abs_Motor2_Action,mean_abs_Motor3_Action,mean_abs_Motor4_Action,mean_abs_Motor5_Action,mean_abs_Motor6_Action,mean_abs_Motor7_Action,delta_x,delta_y,reward_sum_delta
0,20260513_172211_373628,175,174,cardboard,1,0,0,-17.966691868461663,-17.966691868461673,-0.10266681067692385,-66.09496576687337,-56.49693757295609,-0.06195982372096968,-10.842969151169694,2.0372917652130127,3.0371131896972656,0.2544879615306854,0.8060823082923889,2.6731492464882987,0.6356819004671914,101,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-10.842969151169694,-0.06195982372096968,87.98297598183657,0.5027598627533518,28.34176752255162,0.16195295727172354,0.1999999999999925,0.0011428571428571,0.1980790481123851,0.0011318802749279149,0.0,0.0,0.4872650182628571,0.49904685473485705,0.48927369555428557,0.5172707891931427,0.4936071602542857,0.49112502006788566,0.5071921755314287,0.9998214244842529,0.5515943467617035,1.0658141036401503e-14
1,20260513_172211_373628,175,174,cardboard,1,0,1,-18.774517431684647,-18.774517431684647,-0.1072829567524837,-35.00618897801979,-35.443827509880066,-0.09065206053637631,-15.864110593865854,1.9221736192703247,2.671427965164185,0.2474256604909896,0.5410144329071045,2.2683366107940675,0.3394231833730425,129,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-15.864110593865854,-0.09065206053637631,33.710657832608526,0.19263233047204872,5.078611229435118,0.0290206355967721,0.1999999999999925,0.0011428571428571,0.2490885649474932,0.0014233632282713898,0.0,0.0,0.5376877330895513,0.5043074379259321,0.4977448713747851,0.4725621244231505,0.5144933029583523,0.49471801940617816,0.5183247622528246,0.7492543458938603,0.2935887724161149,0.0
2,20260513_172211_373628,175,174,cardboard,1,0,2,-30.544187517414148,-30.544187517414144,-0.17453821438522368,-53.486782531691716,-54.12466526031494,-0.14616983035603665,-25.579720312306414,1.8599379062652588,2.792494773864746,0.2878162860870361,0.760098397731781,2.4657289334705896,0.4962293457984924,143,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-25.579720312306414,-0.14616983035603665,63.84764763919521,0.3648437007954012,0.797417147849978,0.004556669416285589,0.1999999999999925,0.0011428571428571,0.279183527407065,0.0015953344423260856,0.0,0.0,0.5272692929900118,0.5383947423047253,0.5336338876586939,0.4647249007158514,0.49503162528920386,0.5088044671488128,0.398066772219858,0.9325568675994873,0.47228211164474493,-3.552713678800501e-15
3,20260513_172211_373628,175,174,cardboard,1,0,3,-18.132010933849298,-18.132010933849294,-0.1036114910505674,-30.68123436643947,-29.842989146709446,-0.0829401370072344,-14.51452397626602,1.9258933067321773,2.6920809745788574,0.2532398402690887,0.5079320073127747,2.3229899093082973,0.3859509571960994,128,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-14.51452397626602,-0.0829401370072344,45.23686475818965,0.258496370046798,0.0886223561329353,0.0005064134636167732,0.1999999999999925,0.0011428571428571,0.2491339773873391,0.001423622727927652,0.0,0.0,0.5443389807375414,0.514184875903385,0.5109966106340289,0.5153655638066785,0.5292865817142385,0.4969476203620434,0.4719546743801662,0.7661876678466801,0.25469216704368597,-3.552713678800501e-15
4,20260513_172211_373628,175,174,cardboard,1,0,4,-20.00692839467862,-20.006928394678617,-0.11432530511244925,-36.7489231862354,-37.61937618255615,-0.09402995167863273,-16.455241543760728,1.9831236600875848,2.6004574298858643,0.2120778113603592,0.5701225996017456,2.380293467385428,0.3532928422519139,140,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-16.455241543760728,-0.09402995167863273,43.990773885767574,0.2513758507758147,0.0075459143437167,4.3119510535524e-05,0.1999999999999925,0.0011428571428571,0.2721817606272842,0.0015553243464416242,0.0,0.0,0.48328344886324237,0.5197625920229725,0.5158045221013682,0.5431623479351402,0.5035062569843805,0.4737578172369727,0.4079610237851739,0.6173337697982795,0.3580447882413864,-3.552713678800501e-15
5,20260513_172211_373628,175,174,cardboard,1,0,5,-5.2084602696609466,-5.208460269660949,-0.02976263011234828,-8.347518409465579,-10.327287018299106,-0.022352919538741682,-3.9117609192797946,1.9493311643600464,2.28432846069336,0.2148655951023101,0.2896921634674072,2.2086728177751813,0.21923462305750166,112,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-3.9117609192797946,-0.022352919538741682,12.594464630777765,0.07196836931873009,0.0055900111454508,3.1942920831147424e-05,0.1999999999999925,0.0011428571428571,0.21497502600380042,0.0012284287200217167,0.0,0.0,0.5927780687569507,0.4929176989437214,0.5266982252749481,0.4930385808912771,0.5346200881286391,0.4454360951709428,0.3519810650171712,0.33499729633331343,0.07482656836509713,2.6645352591003757e-15
6,20260513_172211_373628,175,174,cardboard,1,0,6,-20.578043260479333,-20.578043260479337,-0.1175888186313105,-37.53303143308531,-37.69368231296539,-0.10162867125069444,-17.785017468871526,1.9769816398620603,2.6215269565582275,0.1370061933994293,0.504044234752655,2.320877286366054,0.3025812610558101,143,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-17.785017468871526,-0.10162867125069444,33.02219185459193,0.18869823916909675,0.0958293080075974,0.0005475960457576994,0.1999999999999925,0.0011428571428571,0.27955577562622386,0.0015974615750069935,0.0,0.0,0.4867107521596232,0.5445727618890149,0.5427226082501667,0.4924223605250674,0.5153035556684648,0.44608240052259396,0.31012076443992553,0.6445453166961672,0.3670380413532257,3.552713678800501e-15
7,20260513_172211_373628,175,174,cardboard,1,0,7,-11.73802834501156,-11.738028345011559,-0.06707444768578033,-25.599657612230686,-26.78634375333786,-0.056501792758888364,-9.887813732805464,1.9587218761444087,2.385547637939453,0.1976417601108551,0.4501314163208008,2.2578374923978535,0.33865289849894387,116,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-9.887813732805464,-0.056501792758888364,20.22794501056172,0.11558825720320982,0.6517682525792585,0.00372439001473862,0.1999999999999925,0.0011428571428571,0.2212230964151888,0.0012641319795153646,0.0,0.0,0.5271535829201873,0.5443409320798569,0.5199429838213006,0.5116636275712932,0.4778854868308242,0.4300770222302526,0.30745394998529396,0.4268257617950444,0.2524896562099457,-1.7763568394002505e-15
8,20260513_172211_373628,175,174,cardboard,1,0,8,-8.47795903676654,-8.477959036766542,-0.048445480210094524,-14.100569023353104,-14.607757329940794,-0.040320155132940155,-7.056027148264527,1.9287842512130733,2.532731533050537,0.1913499534130096,0.3198850154876709,2.2313518844332014,0.27992902874946596,117,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-7.056027148264527,-0.040320155132940155,14.31073572084717,0.08177563269055525,0.044901664183209,0.0002565809381897657,0.1999999999999925,0.0011428571428571,0.21928235475904911,0.0012530420271945663,0.0,0.0,0.5630916219364319,0.5381145120332284,0.5082054736531739,0.5288109813258052,0.485166352694588,0.4471503756833928,0.3355137129234416,0.6039472818374638,0.1285350620746613,1.7763568394002505e-15
9,20260513_172211_373628,175,174,cardboard,1,0,9,-7.555841891372523,-7.555841891372525,-0.04317623937927157,-12.468419459603396,-11.978292465209961,-0.0357392420198083,-6.254367353466452,1.99165678024292,2.631701946258545,0.2645845711231231,0.3522883653640747,2.294945186206273,0.2952314746379852,117,0,homogeneous,0.63|0|0.63|0,0.63,0.0,5.4,0.63,0.0,5.4,0.0,0.0,-6.254367353466452,-0.0357392420198083,12.673058352608123,0.07241747630061784,0.0327310725057984,0.00018703470003313374,0.1999999999999925,0.0011428571428571,0.2137058317733876,0.0012211761815622147,0.0,0.0,0.5515900151032422,0.5251790691034071,0.4999562817725486,0.5391758672121381,0.4857476743789656,0.39112496230086047,0.292564547797665,0.640045166015625,0.0877037942409516,1.7763568394002505e-15
