Episode,run_id,steps,last_timestep,terrain,terrain_id,terrain_block,episode_in_block,final_cumulative_reward,sum_reward,mean_reward_per_step,sum_progress_cm,sum_raw_progress_cm,mean_progress_reward,sum_progress_reward,start_x,final_x,start_y,final_y,mean_abs_x_position,mean_abs_y_position,no_progress_steps,backward_steps,scale_design_mode,design_config,a_width_ratio,a_attack_angle_deg,a_actual_width,b_width_ratio,b_attack_angle_deg,b_actual_width,width_delta,attack_angle_delta,sum_Progress_Reward,mean_Progress_Reward,sum_X_Drift_Penalty,mean_X_Drift_Penalty,sum_Heading_Penalty,mean_Heading_Penalty,sum_Living_Penalty,mean_Living_Penalty,sum_No_Progress_Penalty,mean_No_Progress_Penalty,sum_Backward_Penalty,mean_Backward_Penalty,mean_abs_Motor1_Action,mean_abs_Motor2_Action,mean_abs_Motor3_Action,mean_abs_Motor4_Action,mean_abs_Motor5_Action,mean_abs_Motor6_Action,mean_abs_Motor7_Action,delta_x,delta_y,reward_sum_delta
0,20260518_182230_697003,175,174,carpet,0,0,0,14.73667456167275,14.736674561672748,0.08420956892384428,36.12175467858303,40.58707803487778,0.09073282863212992,15.878245010622736,1.960627794265747,2.164111614227295,-0.029949864372611,-0.4364780485630035,2.115869429452079,0.1548915406893606,77,0,homogeneous,0.9|0|0.9|0,0.9,0.0,7.714285714285714,0.9,0.0,7.714285714285714,0.0,0.0,15.878245010622736,0.09073282863212992,3.2326317773298476,0.018472181584741988,28.320719820667932,0.16183268468953105,0.1999999999999925,0.0011428571428571,0.14887182812354188,0.0008506961607059536,0.0,0.0,0.4872650194806712,0.4990468552608841,0.4892736947323595,0.5172707894930084,0.49360715906934016,0.4911250213531561,0.5071921759151987,0.20348381996154785,-0.4065281841903925,1.7763568394002505e-15
1,20260518_182230_697003,175,174,carpet,0,0,1,25.571087015931933,25.571087015931937,0.14612049723389678,54.67671606299494,55.643847584724426,0.15272026082638387,26.72604564461718,2.067601442337036,2.2861666679382324,-0.1173208430409431,-0.7142137885093689,2.2913609422956194,0.3562683559421982,52,0,homogeneous,0.9|0|0.9|0,0.9,0.0,7.714285714285714,0.9,0.0,7.714285714285714,0.0,0.0,26.72604564461718,0.15272026082638387,8.045694794661854,0.04597539882663917,14.500379803127307,0.08285931316072748,0.1999999999999925,0.0011428571428571,0.1017523969963675,0.0005814422685506714,0.0,0.0,0.5376877330895513,0.5043074379259321,0.4977448713747851,0.4725621244231505,0.5144933029583523,0.49471801940617816,0.5183247622528246,0.2185652256011963,-0.5968929454684258,-3.552713678800501e-15
2,20260518_182230_697003,175,174,carpet,0,0,2,21.977255130441744,21.977255130441744,0.12558431503109568,45.52179657169226,46.45797610282898,0.1272764559705999,22.27337979485498,1.6008824110031128,1.7808767557144165,-0.0804688110947609,-0.6031752824783325,1.755550889968872,0.3651396261368479,24,0,homogeneous,0.9|0|0.9|0,0.9,0.0,7.714285714285714,0.9,0.0,7.714285714285714,0.0,0.0,22.27337979485498,0.1272764559705999,0.7420362184796462,0.004240206962740836,0.0105091029533601,6.005201687634343e-05,0.1999999999999925,0.0011428571428571,0.04397194706059,0.00025126826891765715,0.0,0.0,0.5264818375398006,0.5264337926930083,0.5337845813323344,0.46512972946145703,0.4953151133486868,0.511389678905585,0.4366306970268488,0.1799943447113037,-0.5227064713835716,0.0
3,20260518_182230_697003,175,174,carpet,0,0,3,16.239559307710557,16.239559307710554,0.09279748175834603,35.106765949697234,37.92935982346535,0.09749998191233396,17.062496834658443,1.7423737049102783,2.1506919860839844,-0.0249174498021602,-0.4492745697498321,2.0269845383507863,0.21354061644524336,49,0,homogeneous,0.9|0|0.9|0,0.9,0.0,7.714285714285714,0.9,0.0,7.714285714285714,0.0,0.0,17.062496834658443,0.09749998191233396,7.593740886543378,0.04339280506596216,0.0419179875202864,0.00023953135725877944,0.1999999999999925,0.0011428571428571,0.0905373051394481,0.0005173560293682749,0.0,0.0,0.5567688454900469,0.5115338050560759,0.5102303101335253,0.5262764506520969,0.5351167499653197,0.5157409932411142,0.5097162834741176,0.40831828117370605,-0.4243571199476719,3.552713678800501e-15
4,20260518_182230_697003,175,174,carpet,0,0,4,18.21495757784911,18.214957577849102,0.10408547187342344,35.21617403748854,37.45266571640968,0.10683026079443614,18.695295639026323,1.724517583847046,1.8864631652832031,-0.0665384456515312,-0.4606632590293884,1.8675986576080321,0.255335459964616,52,0,homogeneous,0.9|0|0.9|0,0.9,0.0,7.714285714285714,0.9,0.0,7.714285714285714,0.0,0.0,18.695295639026323,0.10683026079443614,2.304552804891509,0.013168873170808624,1.0254093522534695,0.005859482012876969,0.1999999999999925,0.0011428571428571,0.0985111777897448,0.0005629210159413989,0.0,0.0,0.478729094653723,0.5251755394440677,0.5273265282437205,0.5512172930328442,0.5127544011335288,0.5218570972180793,0.41525778997423396,0.16194558143615723,-0.3941248133778572,7.105427357601002e-15
5,20260518_182230_697003,175,174,carpet,0,0,5,8.51059445035523,8.510594450355235,0.0486319682877442,20.25631967595642,20.90587690472603,0.056143350982071925,9.825086421862586,1.952384114265442,2.326039552688598,-0.0532701425254344,-0.3022503554821014,2.1774283252443585,0.2008038060925901,67,0,homogeneous,0.9|0|0.9|0,0.9,0.0,7.714285714285714,0.9,0.0,7.714285714285714,0.0,0.0,9.825086421862586,0.056143350982071925,13.70234986225778,0.07829914207004446,1.360208563823983,0.0077726203647084735,0.1999999999999925,0.0011428571428571,0.1281233098728265,0.0007321331992732943,0.0,0.0,0.5683469159049647,0.49896955905881313,0.5263673116399773,0.4853626337860312,0.5130953297976937,0.5815685964216079,0.37840622097519894,0.3736554384231563,-0.248980212956667,-5.329070518200751e-15
6,20260518_182230_697003,175,174,carpet,0,0,6,10.762516315431215,10.762516315431217,0.06150009323103552,22.828435081860604,27.905426174402237,0.06763352134512252,11.835866235396441,1.7354415655136108,2.052544593811035,-0.0598215982317924,-0.3451492190361023,1.988206992149353,0.18882830051439148,64,0,homogeneous,0.9|0|0.9|0,0.9,0.0,7.714285714285714,0.9,0.0,7.714285714285714,0.0,0.0,11.835866235396441,0.06763352134512252,10.105479077096962,0.057745594726268355,1.9923234795208693,0.01138470559726211,0.1999999999999925,0.0011428571428571,0.1261199149780188,0.0007206852284458217,0.0,0.0,0.48930021228933973,0.5312065557403756,0.540087680422834,0.5301950739643403,0.5362887387110719,0.5862172504141927,0.4193296716335629,0.3171030282974243,-0.2853276208043099,-1.7763568394002505e-15
7,20260518_182230_697003,175,174,carpet,0,0,7,15.15812148409054,15.158121484090534,0.08661783705194591,35.23308326619616,36.02491468191147,0.09701486962278787,16.977602183987877,1.8405628204345703,2.322948217391968,-0.0376635454595088,-0.4077869057655334,2.163988869530814,0.20438461421124104,42,0,homogeneous,0.9|0|0.9|0,0.9,0.0,7.714285714285714,0.9,0.0,7.714285714285714,0.0,0.0,16.977602183987877,0.09701486962278787,22.019375192867606,0.1258250011021006,0.0151370591908821,8.649748109075486e-05,0.1999999999999925,0.0011428571428571,0.07782169521279084,0.0004446954012159476,0.0,0.0,0.5245467226792659,0.5249932201525994,0.5381204000627622,0.5269034088057066,0.515523047286884,0.6171109201705881,0.433255569816434,0.4823853969573979,-0.3701233603060246,5.329070518200751e-15
8,20260518_182230_697003,175,174,carpet,0,0,8,18.090068454101427,18.090068454101417,0.10337181973772239,38.83631306184168,37.2510202229023,0.1085658082548327,18.99901644459572,1.7642568349838257,2.29064679145813,-0.111750029027462,-0.4963039755821228,2.0014745487485612,0.3091668264354978,22,0,homogeneous,0.9|0|0.9|0,0.9,0.0,7.714285714285714,0.9,0.0,7.714285714285714,0.0,0.0,18.99901644459572,0.1085658082548327,9.582054785597563,0.05475459877484322,0.0977180611781552,0.0005583889210180297,0.1999999999999925,0.0011428571428571,0.0362497942789107,0.00020714168159377544,0.0,0.0,0.5515097297674844,0.5431518837676517,0.5141753438301384,0.5381680720299482,0.501789589662637,0.5995521733909845,0.3334138461242297,0.5263899564743042,-0.3845539465546608,1.0658141036401503e-14
9,20260518_182230_697003,175,174,carpet,0,0,9,21.20919716090985,21.20919716090985,0.12119541234805628,44.22167814283944,46.17219567298889,0.12317705282099502,21.55598424367413,1.7148083448410034,1.9769635200500488,-0.1238148733973503,-0.5954398512840271,1.9060111032213483,0.3457131266168186,24,0,homogeneous,0.9|0|0.9|0,0.9,0.0,7.714285714285714,0.9,0.0,7.714285714285714,0.0,0.0,21.55598424367413,0.12317705282099502,1.5697813192386896,0.008970178967078225,0.0,0.0,0.1999999999999925,0.0011428571428571,0.03690239041757016,0.0002108708023861152,0.0,0.0,0.5565825858592455,0.5412196048136269,0.523947331766997,0.5605631626503809,0.5122899815759488,0.5552941928058863,0.4107173026765564,0.2621551752090454,-0.4716249778866768,0.0
