Episode,run_id,steps,last_timestep,terrain,terrain_id,terrain_block,episode_in_block,final_cumulative_reward,sum_reward,mean_reward_per_step,sum_progress_cm,sum_raw_progress_cm,mean_progress_reward,sum_progress_reward,start_x,final_x,start_y,final_y,mean_abs_x_position,mean_abs_y_position,no_progress_steps,backward_steps,scale_design_mode,design_config,a_width_ratio,a_attack_angle_deg,a_actual_width,b_width_ratio,b_attack_angle_deg,b_actual_width,width_delta,attack_angle_delta,sum_Progress_Reward,mean_Progress_Reward,sum_X_Drift_Penalty,mean_X_Drift_Penalty,sum_Heading_Penalty,mean_Heading_Penalty,sum_Living_Penalty,mean_Living_Penalty,sum_No_Progress_Penalty,mean_No_Progress_Penalty,sum_Backward_Penalty,mean_Backward_Penalty,mean_abs_Motor1_Action,mean_abs_Motor2_Action,mean_abs_Motor3_Action,mean_abs_Motor4_Action,mean_abs_Motor5_Action,mean_abs_Motor6_Action,mean_abs_Motor7_Action,delta_x,delta_y,reward_sum_delta
0,20260521_141030_512659,175,174,cardboard,1,0,0,-5.049817368279774,-5.049817368279775,-0.028856099247313,-26.89512574577103,-23.730426281690598,0.020016958157276457,3.50296767752338,1.6602580547332764,2.583667755126953,0.0541795045137405,0.2113601416349411,2.163441026551383,0.14312973472023646,100,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,3.50296767752338,0.020016958157276457,99.3551543714647,0.5677437392655126,59.89621199003122,0.3422640685144641,0.1999999999999925,0.0011428571428571,0.2,0.001142857142857143,0.0,0.0,0.4630971222782856,0.49857942816000006,0.5079184161408572,0.5202109240382857,0.4865169530685714,0.5098522571885714,0.5473925827428571,0.9234097003936768,0.15718063712120062,8.881784197001252e-16
1,20260521_141030_512659,175,174,cardboard,1,0,1,-6.536168112090703,-6.536168112090705,-0.03734953206908974,-15.760134956617692,-13.85341361165045,0.003503940528401488,0.6131895924702604,1.5486270189285278,2.559999227523804,-0.0502865649759769,0.0835127383470535,2.0996390547071186,0.10021375025156881,103,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,0.6131895924702604,0.003503940528401488,82.83692865435775,0.4733538780249014,47.40251732236269,0.27087152755635824,0.1999999999999925,0.0011428571428571,0.2027223523086693,0.0011584134417638246,0.0,0.0,0.4917018608908568,0.5108380264057113,0.4988398157485894,0.4961956018422331,0.49632365807757844,0.494544617594885,0.5180251172717129,1.0113722085952763,0.13379930332303042,1.7763568394002505e-15
2,20260521_141030_512659,175,174,cardboard,1,0,2,23.42434110125798,23.424341101257966,0.1338533777214741,43.33406702438026,43.964193016290665,0.1400374779244548,24.50655863677959,1.5372413396835327,1.809351682662964,-0.0451655983924865,-0.5045847296714783,1.731557262284415,0.28582704597285813,48,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,24.50655863677959,0.1400374779244548,11.328723825167884,0.06473556471524505,0.2687987660107405,0.0015359929486328029,0.1999999999999925,0.0011428571428571,0.0838308924396586,0.00047903367108376345,0.0,0.0,0.5435303353212242,0.49959647320477024,0.5528950114581468,0.5087531174918902,0.4701005875957864,0.624690887252135,0.42558840353574073,0.2721103429794314,-0.45941913127899175,1.4210854715202004e-14
3,20260521_141030_512659,175,174,cardboard,1,0,3,33.43851213219289,33.438512132192876,0.1910772121839593,64.55244487600947,63.30182030797005,0.1924257966798905,33.674514418980834,1.4922025203704834,1.70686674118042,-0.0444275364279747,-0.685533344745636,1.5155186087744577,0.36382890450102945,16,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,33.674514418980834,0.1924257966798905,0.0982240283429489,0.000561280161959708,0.021190263949110798,0.00012108722256634742,0.1999999999999925,0.0011428571428571,0.0287027995249641,0.00016401599728550916,0.0,0.0,0.5332717063710359,0.5097975430105414,0.5327359475248626,0.5374931641242334,0.48147903532055875,0.7565149608547134,0.38916432381474547,0.21466422080993652,-0.6411058083176613,1.4210854715202004e-14
4,20260521_141030_512659,175,174,cardboard,1,0,4,26.47360148047442,26.473601480474418,0.1512777227455681,53.58817426701847,54.98618632555008,0.15255009790994345,26.696267134240106,1.3385010957717896,1.3369896411895752,0.0295507106930017,-0.5798751711845398,1.4401539421081544,0.30331246335059403,14,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,26.696267134240106,0.15255009790994345,0.0,0.0,0.0,0.0,0.1999999999999925,0.0011428571428571,0.022665653765687865,0.00012951802151821637,0.0,0.0,0.5214773808206831,0.5242666727517332,0.49595644720031745,0.5102826028496825,0.48174424011792455,0.6278673862240144,0.3939400619068848,-0.0015114545822143555,-0.6094258818775415,3.552713678800501e-15
5,20260521_141030_512659,175,174,cardboard,1,0,5,25.0703457069814,25.0703457069814,0.143259118325608,51.974827464506745,50.111571326851845,0.144627241378743,25.309767241280024,1.4501104354858398,1.47474467754364,0.0101311197504401,-0.5116205811500549,1.3943540722983223,0.2766336988604495,21,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,25.309767241280024,0.144627241378743,1.2367987469243932e-05,7.067421410996532e-08,0.0393339064778402,0.00022476517987337258,0.1999999999999925,0.0011428571428571,0.0386339904099443,0.000220765659485396,0.0,0.0,0.5090787194509592,0.5263449100468175,0.5101701439331685,0.5057896505243011,0.46567189589475416,0.6781893727502653,0.34563001678724375,0.02463424205780007,-0.521751700900495,0.0
6,20260521_141030_512659,175,174,cardboard,1,0,6,26.692313103542908,26.692313103542908,0.1525275034488166,53.753617360493905,55.32175172120333,0.15467806807182738,27.06866191256979,1.4268147945404053,1.7511048316955566,0.0238084662705659,-0.5735872387886047,1.62878317628588,0.2898345065303147,20,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,27.06866191256979,0.15467806807182738,1.9968500569435081,0.011410571753962904,0.0,0.0,0.1999999999999925,0.0011428571428571,0.03656930504083771,0.0002089674573762155,0.0,0.0,0.4920073951674359,0.49347660499757956,0.5322734453901649,0.475893783549379,0.5268666775790708,0.6432816179841757,0.36070255916099997,0.32429003715515137,-0.5973957050591706,0.0
7,20260521_141030_512659,175,174,cardboard,1,0,7,27.073830964199704,27.07383096419969,0.15470760550971252,56.56468182978998,58.180904388427734,0.15729472371497383,27.52657665012042,1.3495756387710571,1.0256344079971311,0.0197500772774219,-0.570293128490448,1.1786483699934822,0.25864542193577755,16,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,27.52657665012042,0.15729472371497383,3.1922431292718896,0.018241389310125082,0.0609588250170675,0.00034833614295467146,0.1999999999999925,0.0011428571428571,0.028069490371352,0.00016039708783629716,0.0,0.0,0.5472132752676095,0.4885370328862752,0.48216620792169124,0.4779229171840208,0.4403715045816664,0.7483297495224647,0.3114887092182679,-0.323941230773926,-0.59004320576787,1.4210854715202004e-14
8,20260521_141030_512659,175,174,cardboard,1,0,8,22.73146762196578,22.731467621965788,0.12989410069694735,46.79208783592507,48.5951928421855,0.1320527530122913,23.109231777150978,1.3795472383499146,0.9903621673583984,0.038770642131567,-0.4675513207912445,1.219988832133157,0.21689080570857705,35,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,23.109231777150978,0.1320527530122913,1.6397347078170785,0.009369912616097592,0.3369801325764835,0.001925600757579906,0.1999999999999925,0.0011428571428571,0.0562431229864627,0.0003213892742083583,0.0,0.0,0.4782852951420604,0.5126530886840608,0.5196456401369401,0.5069449668909822,0.4192624198079907,0.713996718611036,0.3155513733236252,-0.3891850709915161,-0.5063219629228115,-7.105427357601002e-15
9,20260521_141030_512659,175,174,cardboard,1,0,9,28.30469999386936,28.304699993869363,0.16174114282211063,58.873917911555736,60.76380908489227,0.16309073604879934,28.540878808539883,1.400004744529724,1.2734626531600952,-0.0550259836018085,-0.6713767051696777,1.2381665284293037,0.3577911380678415,6,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,28.540878808539883,0.16309073604879934,0.36778544499257215,0.0021016311142432694,0.0114894822611166,6.565418434923772e-05,0.1999999999999925,0.0011428571428571,0.0102040438758183,5.8308822147533136e-05,0.0,0.0,0.535460764473038,0.529632606461112,0.5172661716357938,0.5466179438573974,0.5071212566271425,0.7449805740852441,0.31040150666343314,-0.12654209136962868,-0.6163507215678692,-3.552713678800501e-15
10,20260521_141030_512659,175,174,cardboard,1,0,10,29.37324559168502,29.373245591685013,0.1678471176667715,60.54645820112125,61.26156114041805,0.16913413413461267,29.598473473557217,1.2757952213287354,1.3031526803970337,0.0169837903231382,-0.6330294609069824,1.2919468062264579,0.3442800271032112,14,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,29.598473473557217,0.16913413413461267,0.0009471257917780986,5.412147381589135e-06,0.0,0.0,0.1999999999999925,0.0011428571428571,0.025161583066778202,0.000143780474667304,0.0,0.0,0.5014274671786864,0.5446675392612815,0.5302991897200368,0.5026758618958826,0.4595911830184715,0.7059473978195872,0.2851343846041709,0.02735745906829834,-0.6500132512301207,7.105427357601002e-15
11,20260521_141030_512659,175,174,cardboard,1,0,11,26.31200464289305,26.312004642893058,0.15035431224510318,53.82455271802268,54.08022738993168,0.1516622074980538,26.540886312159415,1.4438375234603882,1.1592084169387815,-0.0181708447635173,-0.5830813646316528,1.2874937111990792,0.3013046001975558,14,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,26.540886312159415,0.1516622074980538,0.06778535701172483,0.0003873448972098562,0.0,0.0,0.1999999999999925,0.0011428571428571,0.02413669427553532,0.00013792396728877325,0.0,0.0,0.5296930075383612,0.47314462800643275,0.5454056170423116,0.4927191216445395,0.515973982949342,0.7369259486507093,0.31762671967535944,-0.28462910652160667,-0.5649105198681356,-7.105427357601002e-15
12,20260521_141030_512659,175,174,cardboard,1,0,12,25.516519172203,25.51651917220301,0.1458086809840172,51.65656235222586,51.481737941503525,0.1470982009734441,25.742185170352716,1.2818176746368408,1.316733956336975,-0.0208781640976667,-0.5642865300178528,1.396241124016898,0.33195601382425854,13,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,25.742185170352716,0.1470982009734441,0.0,0.0,0.0,0.0,0.1999999999999925,0.0011428571428571,0.0256659981497032,0.00014666284656973257,0.0,0.0,0.5302155822861407,0.509498840464013,0.5235602801239916,0.5340419919842055,0.4524561480964933,0.7006515688156443,0.29828922099699934,0.03491628170013428,-0.543408365920186,-1.0658141036401503e-14
13,20260521_141030_512659,175,174,cardboard,1,0,13,28.52529347757788,28.525293477577844,0.16300167701473053,58.936621281722914,58.28061364591122,0.16422613851053366,28.73957423934339,1.4018759727478027,1.3854539394378662,-0.0411908403038978,-0.6325981020927429,1.3894999095371792,0.34375439779034683,8,0,homogeneous,0.9|30|0.9|30,0.9,30.0,7.714285714285714,0.9,30.0,7.714285714285714,0.0,0.0,28.73957423934339,0.16422613851053366,0.0,0.0,0.0,0.0,0.1999999999999925,0.0011428571428571,0.0142807617655475,8.160435294598571e-05,0.0,0.0,0.5648686538254177,0.5171287399264318,0.4985054407428418,0.4874823125498369,0.4896820207711841,0.6870954317652753,0.2681892281837229,-0.016422033309936523,-0.5914072617888451,3.552713678800501e-14
