Episode,run_id,steps,last_timestep,terrain,terrain_id,terrain_block,episode_in_block,final_cumulative_reward,sum_reward,mean_reward_per_step,sum_progress_cm,sum_raw_progress_cm,mean_progress_reward,sum_progress_reward,start_x,final_x,start_y,final_y,mean_abs_x_position,mean_abs_y_position,no_progress_steps,backward_steps,scale_design_mode,design_config,a_width_ratio,a_attack_angle_deg,a_actual_width,b_width_ratio,b_attack_angle_deg,b_actual_width,width_delta,attack_angle_delta,sum_Progress_Reward,mean_Progress_Reward,sum_X_Drift_Penalty,mean_X_Drift_Penalty,sum_Heading_Penalty,mean_Heading_Penalty,sum_Living_Penalty,mean_Living_Penalty,sum_No_Progress_Penalty,mean_No_Progress_Penalty,sum_Backward_Penalty,mean_Backward_Penalty,mean_abs_Motor1_Action,mean_abs_Motor2_Action,mean_abs_Motor3_Action,mean_abs_Motor4_Action,mean_abs_Motor5_Action,mean_abs_Motor6_Action,mean_abs_Motor7_Action,delta_x,delta_y,reward_sum_delta
0,20260522_162227_094285,175,174,cardboard,1,0,0,12.925497235196245,12.925497235196245,0.0738599842011214,-3.5080431038098134,2.0765306428074943,0.07989975178399343,13.98245656219885,1.468371868133545,1.662090301513672,0.0348445922136306,-0.0446005500853061,1.6101145846503122,0.07236520804930474,75,0,heterogeneous,0.9|30|0.63|0,0.9,30.0,7.714285714285714,0.63,0.0,5.4,0.27,30.0,13.98245656219885,0.07989975178399343,5.841052753585565,0.03337744430620323,14.968150858363458,0.08553229061921976,0.1999999999999925,0.0011428571428571,0.14872261708434711,0.0008498435261962693,0.0,0.0,0.4822840111114286,0.4793411180028571,0.49738745005314283,0.5047354403000001,0.48567863342,0.4926556171091428,0.5172617679117714,0.19371843338012718,-0.0794451422989367,0.0
1,20260522_162227_094285,175,174,cardboard,1,0,1,5.412813496519719,5.412813496519717,0.030930362837255525,-11.385447818156237,-8.726731641218063,0.036246522240069134,6.3431413920120985,1.5131765604019165,1.6971615552902222,0.0443834066390991,0.0798834264278411,1.608710082599095,0.14547405378893016,90,0,heterogeneous,0.9|30|0.63|0,0.9,30.0,7.714285714285714,0.63,0.0,5.4,0.27,30.0,6.3431413920120985,0.036246522240069134,1.3095170876305202,0.007482954786460116,23.049190383785913,0.1317096593359195,0.1999999999999925,0.0011428571428571,0.1776778916825277,0.0010153022381858725,0.0,0.0,0.5323889304218548,0.4883301228896848,0.49705156722239086,0.5372710809750216,0.4705827609383102,0.5108135798427144,0.5141996864375792,0.18398499488830566,0.035500019788742,2.6645352591003757e-15
2,20260522_162227_094285,175,174,cardboard,1,0,2,6.962536010456394,6.962536010456395,0.039785920059750825,15.099351198962795,15.238215774297714,0.04156349103178045,7.273610930561578,1.423016905784607,1.471887707710266,-0.022174634039402,-0.1786421984434127,1.4622523266928538,0.07106981547981762,61,0,heterogeneous,0.9|30|0.63|0,0.9,30.0,7.714285714285714,0.63,0.0,5.4,0.27,30.0,7.273610930561578,0.04156349103178045,0.0008649693736558,4.942682135176e-06,0.0199374656174034,0.00011392837495659087,0.1999999999999925,0.0011428571428571,0.11061562293667927,0.0006320892739238816,0.0,0.0,0.5255865828890819,0.5132237084795321,0.5251080279451396,0.5175168895827872,0.4783602666788335,0.6969743930920959,0.3888473927868264,0.04887080192565896,-0.1564675644040107,-8.881784197001252e-16
3,20260522_162227_094285,175,174,cardboard,1,0,3,8.702776409584226,8.70277640958423,0.04973015091190988,17.559562597790517,16.879393719136722,0.05169436661407756,9.046514157463573,1.3755784034729004,1.4223413467407229,0.0697011575102806,-0.1506709158420562,1.4698397970199586,0.06847757669830958,64,0,heterogeneous,0.9|30|0.63|0,0.9,30.0,7.714285714285714,0.63,0.0,5.4,0.27,30.0,9.046514157463573,0.05169436661407756,0.0,0.0,1.2005086774971414,0.006860049585697951,0.1999999999999925,0.0011428571428571,0.1197275743294,0.0006841575675965714,0.0,0.0,0.5057437020965985,0.5668615440332464,0.5403209243887769,0.522090667954513,0.49618255509994924,0.7509925968785371,0.4767506630958191,0.04676294326782249,-0.22037207335233677,-3.552713678800501e-15
4,20260522_162227_094285,175,174,cardboard,1,0,4,3.913935431540055,3.9139354315400547,0.02236534532308603,6.385031995792317,7.744252937845886,0.03304724743076326,5.78326830038357,1.5984421968460083,1.9710676670074463,0.0688818991184234,-0.0737558230757713,1.8194744225910733,0.03668579387744618,73,0,heterogeneous,0.9|30|0.63|0,0.9,30.0,7.714285714285714,0.63,0.0,5.4,0.27,30.0,5.78326830038357,0.03304724743076326,21.29333679522013,0.12167621025840075,1.9075460683960996,0.010900263247977712,0.1999999999999925,0.0011428571428571,0.1406483718101853,0.0008037049817724874,0.0,0.0,0.5243446320561426,0.5443986960287605,0.503242485026962,0.542359196144389,0.49678108549543787,0.7091050672211817,0.3954590195613647,0.372625470161438,-0.1426377221941947,4.440892098500626e-16
5,20260522_162227_094285,175,174,cardboard,1,0,5,3.6745808562165534,3.6745808562165534,0.02099760489266602,7.9726082925854485,7.706429436802864,0.0230496294073925,4.033685146293688,1.3053656816482544,1.461624264717102,0.0194786693900823,-0.1026673316955566,1.4635135568891253,0.07415537238985828,86,0,heterogeneous,0.9|30|0.63|0,0.9,30.0,7.714285714285714,0.63,0.0,5.4,0.27,30.0,4.033685146293688,0.0230496294073925,0.016935300780945114,9.677314731968637e-05,0.0,0.0,0.1999999999999925,0.0011428571428571,0.15791881902246824,0.0009023932515569614,0.0,0.0,0.5195848459298057,0.5453444898660694,0.5416046058685918,0.5423010929640648,0.5148315979833049,0.6476116215730352,0.3755801187888054,0.15625858306884766,-0.1221460010856389,0.0
6,20260522_162227_094285,175,174,cardboard,1,0,6,5.309112408983668,5.309112408983667,0.030337785194192383,11.372514184147573,7.318453118205069,0.03224901354526979,5.6435773704222125,1.4798790216445925,1.6787159442901611,0.0706364288926124,-0.0229585357010364,1.513783174242292,0.047616092614563406,59,0,heterogeneous,0.9|30|0.63|0,0.9,30.0,7.714285714285714,0.63,0.0,5.4,0.27,30.0,5.6435773704222125,0.03224901354526979,0.025100968157695,0.00014343410375825715,1.3958619951275015,0.007976354257871437,0.1999999999999925,0.0011428571428571,0.1047906537649558,0.0005988037357997475,0.0,0.0,0.49974640700167844,0.5166495802020654,0.48889804162949857,0.48488526746364574,0.5062939976165737,0.7001099711150995,0.35399717371179057,0.19883692264556863,-0.0935949645936488,8.881784197001252e-16
7,20260522_162227_094285,175,174,cardboard,1,0,7,6.602487059441269,6.602487059441266,0.03772849748252152,12.924310656366016,15.067633613944055,0.03963010561677593,6.935268482935787,1.4118683338165283,1.501691460609436,-0.0144630884751677,-0.1980522722005844,1.4882951470783778,0.06566289838137367,74,0,heterogeneous,0.9|30|0.63|0,0.9,30.0,7.714285714285714,0.63,0.0,5.4,0.27,30.0,6.935268482935787,0.03963010561677593,0.046228026167949736,0.00026416014953114137,0.01068933263371,6.108190076405714e-05,0.1999999999999925,0.0011428571428571,0.1293316750100894,0.0007390381429147967,0.0,0.0,0.5044322677528752,0.5785419270183358,0.5182760110071727,0.5124218052678875,0.5222587350649494,0.6598604359903506,0.33161717465812607,0.08982312679290771,-0.18358918372541672,2.6645352591003757e-15
8,20260522_162227_094285,175,174,cardboard,1,0,8,0.5489758642779137,0.5489758642779108,0.0031370049387309186,-0.8405629552632682,2.1266704425215632,0.00543788322797511,0.9516295648956443,1.5448274612426758,1.7206792831420898,0.0452173091471195,-0.0470272414386272,1.553295933178493,0.04759605039243713,93,0,heterogeneous,0.9|30|0.63|0,0.9,30.0,7.714285714285714,0.63,0.0,5.4,0.27,30.0,0.9516295648956443,0.00543788322797511,0.36496530792929155,0.0020855160453102373,0.3710395999861096,0.002120226285634912,0.1999999999999925,0.0011428571428571,0.1696853370629603,0.0009696304975026302,0.0,0.0,0.5190732026472687,0.5281117165035435,0.5153967396193184,0.49380816207666484,0.5270089286140033,0.6385259508847126,0.3019935321235763,0.17585182189941406,-0.09224455058574671,2.886579864025407e-15
9,20260522_162227_094285,175,174,cardboard,1,0,9,4.935960515054277,4.935960515054279,0.028205488657453023,12.012316915137815,11.724764853715895,0.0314013400633115,5.495234511079513,1.2662394046783447,1.7319622039794922,0.0014814150054007,-0.1548746526241302,1.4802477175848825,0.11503878267348873,72,0,heterogeneous,0.9|30|0.63|0,0.9,30.0,7.714285714285714,0.63,0.0,5.4,0.27,30.0,5.495234511079513,0.0314013400633115,3.323302119519939,0.01899029782582822,0.0,0.0,0.1999999999999925,0.0011428571428571,0.1266428476588361,0.0007236734151933492,0.0,0.0,0.572698375380465,0.5210423546816622,0.5557345182475235,0.5053198550604949,0.48210877794107154,0.6123241619818977,0.28995126823628586,0.46572279930114746,-0.1563560676295309,-1.7763568394002505e-15
10,20260522_162227_094285,175,174,cardboard,1,0,10,1.8627879244495025,1.8627879244495027,0.01064450242542573,2.825963991117276,-3.5852618515491486,0.013023188996786667,2.2790580744376667,1.4259226322174072,1.809791922569275,-0.0186484027653932,0.0125626809895038,1.563930974006653,0.06035678958237566,79,0,heterogeneous,0.9|30|0.63|0,0.9,30.0,7.714285714285714,0.63,0.0,5.4,0.27,30.0,2.2790580744376667,0.013023188996786667,0.8575782521527886,0.004900447155158792,0.22889159629625822,0.0013079519788357613,0.1999999999999925,0.0011428571428571,0.1516618404115432,0.0008666390880659612,0.0,0.0,0.531691749964874,0.5180875866301358,0.5069037776430404,0.49379946263440483,0.4643570327226605,0.5465777562132903,0.3040234535453575,0.3838692903518677,0.031211083754897,-2.220446049250313e-16
